メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2001,ＣＡＴ,186,3 - 普通,26 ～ 32,nan,2025年09月,デナリ,6000,8.7,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,1998,ＡＴ,66,3 - 普通,40 ～ 45,nan,2025年09月,ベースグレード,5700,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2005,ＡＴ,127,4 - きれい,46 ～ 50,nan,2025年09月,ベースグレード,5700,,白,AC
ＧＭＣ,ＧＭＣ Ｋ－１５００ 2D 4WD,1999,ＣＡＴ,167,3 - 普通,97 ～ 100,nan,2025年08月,ベースグレード,5700,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 2WD,2004,ＣＡＴ,160,3 - 普通,24 ～ 27,nan,2025年08月,デナリ,6000,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣ Ｃ－１５００ 2D 2WD,1999,ＣＡＴ,151,4 - きれい,142 ～ 145,nan,2025年08月,ＥＸキャブ,5700,7.9,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,1997,ＡＴ,169,3 - 普通,28 ～ 31,nan,2025年08月,,5700,7.10,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 2WD,2004,ＡＴ,87,3 - 普通,25 ～ 28,nan,2025年08月,,6000,,白,AC
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2005,ＣＡＴ,185,3 - 普通,16 ～ 20,nan,2025年08月,,6000,7.11,白,AC SR 革
ＧＭＣ,ＧＭＣサバーバン 5D 2WD,2004,ＣＡＴ,124,3 - 普通,38 ～ 43,nan,2025年07月,ベースグレード,5700,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 4WD,2013,ＣＡＴ,61,4 - きれい,499 ～ 503,nan,2025年07月,,5700,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2005,ＣＡＴ,160,3 - 普通,9 ～ 13,nan,2025年07月,,6000,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2005,ＣＡＴ,159,3 - 普通,9 ～ 13,nan,2025年07月,,6000,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2005,ＡＴ,129,3 - 普通,18 ～ 22,nan,2025年07月,デナリ,6000,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサファリ 4D 2WD,1996,ＡＴ,108,3 - 普通,27 ～ 33,nan,2025年07月,ベースグレード,4300,,シルバー,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2001,ＡＴ,150,3 - 普通,28 ～ 32,nan,2025年06月,,5300,,黒,AC SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2001,ＡＴ,156,3 - 普通,29 ～ 33,nan,2025年06月,,5300,,黒,AC SR 革
ＧＭＣ,ＧＭＣユーコン 5D 2WD,2011,ＡＴ,103,3 - 普通,20 ～ 26,nan,2025年06月,,6000,,シルバー,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2010,ＣＡＴ,108,3 - 普通,12 ～ 16,nan,2025年06月,,6000,,白,AC SR 革
ＧＭＣ,ＧＭＣサバーバン 5D 2WD,2000,ＣＡＴ,93,4 - きれい,54 ～ 56,nan,2025年05月,ベースグレード,5700,7.6,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2005,ＡＴ,211,3 - 普通,17 ～ 19,nan,2025年05月,,6000,,ゴールド,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2007,ＣＡＴ,141,3 - 普通,17 ～ 21,nan,2025年05月,デナリ,6000,,黒,AC SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,1998,ＡＴ,66,3 - 普通,58 ～ 61,nan,2025年05月,,5700,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,2000,ＣＡＴ,246,3 - 普通,17 ～ 21,nan,2025年05月,,5700,,白,AC 革
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,2000,ＣＡＴ,240,3 - 普通,24 ～ 26,nan,2025年04月,,5700,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 2WD,2005,ＡＴ,116,3 - 普通,7 ～ 11,nan,2025年04月,,6000,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣアカディア 5D 2WD,2008,ＡＴ,132,4 - きれい,22 ～ 24,nan,2025年03月,ＳＬＴ,3600,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサファリ 4D 2WD,1997,ＣＡＴ,127,3 - 普通,26 ～ 31,nan,2025年03月,ベースグレード,4300,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 2WD,2003,ＡＴ,151,3 - 普通,20 ～ 22,nan,2025年02月,,6000,,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 4WD,2007,ＣＡＴ,170,3 - 普通,139 ～ 143,nan,2025年02月,,5700,8.12,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣアカディア 5D 2WD,2010,ＡＴ,108,4 - きれい,29 ～ 32,nan,2025年02月,ＳＬＴ,3600,,パール,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサファリ 4D 2WD,1996,ＡＴ,78,4 - きれい,28 ～ 32,nan,2025年02月,カリフォルニアスター,4300,,白,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサファリ 4D 2WD,1997,ＡＴ,89,3 - 普通,18 ～ 22,nan,2025年02月,キャンピング,4300,,,AC 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2003,ＣＡＴ,120,-1 - 修復歴あり,13 ～ 19,nan,2025年01月,デナリ,6000,,ゴールド,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣユーコン 5D 4WD,2001,ＣＡＴ,190,3 - 普通,34 ～ 36,nan,2025年01月,ＳＬＴ,5700,7.5,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2016,ＡＴ,54,4 - きれい,472 ～ 476,nan,2025年01月,ベージュＭ,5700,7.7,,AC AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2016,ＡＴ,58,4 - きれい,473 ～ 475,nan,2025年01月,ベージュＭ,5700,7.7,,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2016,ＡＴ,56,4 - きれい,471 ～ 475,nan,2025年01月,ベージュＭ,5700,7.3,,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣアカディア 2WD,2014,ＡＴ,157,3 - 普通,46 ～ 50,nan,2025年01月,,3600,8.1,黒,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣアカディア 5D 2WD,2010,ＡＴ,110,4 - きれい,27 ～ 31,nan,2025年01月,ＳＬＴ,3600,7.12,パール,AC NV TV AW 革
ＧＭＣ,ＧＭＣアカディア 2WD,2014,ＡＴ,155,3 - 普通,38 ～ 43,nan,2025年01月,,3600,7.10,黒,AC SR 革
ＧＭＣ,ＧＭＣ Ｃ－１５００ 2WD,1994,ＣＡＴ,128,3 - 普通,105 ～ 107,nan,2024年11月,,5700,,グレー,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣ Ｃ－１５００ 2WD,1994,ＣＡＴ,133,3 - 普通,105 ～ 109,nan,2024年11月,,5700,,グレー,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣ Ｃ－１５００ 2WD,1994,ＣＡＴ,132,3 - 普通,105 ～ 109,nan,2024年11月,,5700,,グレー,AC NV TV AW SR 革
ＧＭＣ,ＧＭＣサファリ 2WD,1998,ＣＡＴ,70,3 - 普通,17 ～ 20,nan,2024年09月,,4300,,パール,AC 革
ＧＭＣ,ＧＭＣサファリ 2WD,1998,ＣＡＴ,65,3 - 普通,17 ～ 21,nan,2024年09月,,4300,,パール,AC 革
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1995,ＡＴ,106,-1 - 修復歴あり,55 ～ 59,nan,2024年09月,黒II,5700,,,AC
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1995,ＡＴ,104,-1 - 修復歴あり,53 ～ 57,nan,2024年09月,黒II,5700,,,AC
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1995,ＡＴ,110,-1 - 修復歴あり,53 ～ 57,nan,2024年09月,黒II,5700,,,AC NV TV AW 革
ＧＭＣ,ＧＭＣバンデューラ 4D 2WD,1992,ＡＴ,97,3 - 普通,79 ～ 83,nan,2024年08月,,5700,,白,AC AW 革
ＧＭＣ,ＧＭＣバンデューラ 4D 2WD,1992,ＡＴ,100,3 - 普通,78 ～ 82,nan,2024年08月,,5700,,白,AC AW 革
ＧＭＣ,ＧＭＣバンデューラ 4D 2WD,1992,ＡＴ,97,3 - 普通,79 ～ 84,nan,2024年08月,,5700,,白,AC AW 革
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1995,ＡＴ,109,3 - 普通,66 ～ 70,nan,2024年08月,黒II,5700,6.6,,AC
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1995,ＡＴ,105,3 - 普通,67 ～ 72,nan,2024年08月,黒II,5700,6.11,,AC SR 革
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1995,ＡＴ,109,3 - 普通,68 ～ 70,nan,2024年08月,黒II,5700,6.5,,AC
ＧＭＣ,ＧＭＣサバナ 4D 2WD,1997,ＡＴ,74,3 - 普通,20 ～ 24,nan,2024年08月,,5700,,白,AC 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,1997,ＡＴ,73,3 - 普通,22 ～ 26,nan,2024年08月,,5700,,白,AC 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2000,ＣＡＴ,82,3 - 普通,75 ～ 80,nan,2024年04月,ベースグレード,5700,,緑,AC AW 革
ＧＭＣ,ＧＭＣバンデューラ 4D 2WD,1991,ＣＡＴ,94,3 - 普通,100 ～ 102,nan,2024年04月,5700,2500,6.10,白,AC NV TV AW 革
ＧＭＣ,ＧＭＣサバーバン 5D 2WD,2003,ＣＡＴ,100,3 - 普通,43 ～ 48,nan,2024年04月,ベースグレード,5700,,黒,AC AW 革
ＧＭＣ,ＧＭＣサファリ 4D 2WD,1996,ＡＴ,60,3 - 普通,9 ～ 13,nan,2024年03月,キャンピング,4300,7.10,シルバー,AC
ＧＭＣ,ＧＭＣサバナ 4D 2WD,1997,ＣＡＴ,78,3 - 普通,31 ～ 34,nan,2024年02月,ベースグレード,5700,,シルバー,AC AW 革
ＧＭＣ,ＧＭＣ Ｃ－１５００ 2D 2WD,1996,ＡＴ,141,3 - 普通,125 ～ 130,nan,2024年02月,ベースグレード,5700,6.1,白,AC NV TV
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,1996,ＣＡＴ,230,3 - 普通,54 ～ 58,nan,2024年02月,ベースグレード,5700,6.9,青,AC
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2004,ＣＡＴ,136,3 - 普通,109 ～ 112,nan,2024年02月,ベースグレード,5700,7.1,黒,AC
ＧＭＣ,ＧＭＣサファリ 2WD,1996,ＣＡＴ,79,4 - きれい,33 ～ 36,nan,2024年02月,,4300,5.12,白,AC 革
ＧＭＣ,ＧＭＣサファリ 2WD,1996,ＣＡＴ,84,4 - きれい,32 ～ 38,nan,2024年02月,,4300,6.4,白,AC 革
ＧＭＣ,ＧＭＣサファリ 4D 4WD,1997,ＣＡＴ,94,4 - きれい,30 ～ 35,nan,2024年02月,キャンピング,4300,,,AC 革
ＧＭＣ,ＧＭＣサバナ 4D 2WD,2004,ＣＡＴ,132,3 - 普通,67 ～ 71,nan,2024年02月,ベースグレード,5700,7.2,黒,NV TV
ＧＭＣ,ＧＭＣサバーバン 5D 4WD,2001,ＣＡＴ,187,3 - 普通,23 ～ 28,nan,2024年01月,ベースグレード,5700,6.8,ゴールド,AC 革
