メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ＵＤトラックス,コンドル 2WD,1996,６ＭＴ,137,3 - 普通,138 ～ 142,,2025年08月,0,,,白,AC NV TV
ＵＤトラックス,コンドル 2WD,1996,６ＭＴ,138,3 - 普通,137 ～ 140,,2025年08月,0,,,白,AC AW
ＵＤトラックス,カゼット 2WD,2015,５ＭＴ,223,3 - 普通,321 ～ 323,,2025年08月,0,,,,AC AW
ＵＤトラックス,カゼット 2WD,2015,５ＭＴ,303,3 - 普通,161 ～ 165,,2025年05月,0,,,,AC NV TV AW SR 革
ＵＤトラックス,カゼット 2WD,2017,５ＭＴ,195,3 - 普通,235 ～ 239,,2024年11月,0,,,白,AC NV TV AW SR 革
ＵＤトラックス,コンドル 2WD,1997,６ＭＴ,335,3 - 普通,130 ～ 135,,2024年10月,0,,7.3,白,AC
ＵＤトラックス,コンドル 2WD,1997,６ＭＴ,338,3 - 普通,131 ～ 134,,2024年10月,0,,7.2,白,AC
ＵＤトラックス,コンドル 2WD,1996,６ＭＴ,118,3 - 普通,145 ～ 150,,2024年07月,0,,,白,AC
ＵＤトラックス,コンドル 2WD,1996,６ＭＴ,119,3 - 普通,144 ～ 149,,2024年07月,0,,,白,AC
