メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
アバルト,アバルト５００ 3D 2WD,2016,５ＭＴ,62,312141,5 - すごくきれい,69 ～ 73,2025年09月,ベースグレード,1400,,白,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2016,ＡＴ,94,312142,3 - 普通,20 ～ 23,2025年09月,コンペティツィオーネ,1400,,グレー,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2014,ＡＴ,40,312142,4 - きれい,41 ～ 43,2025年09月,コンペティツィオーネ,1400,9.6,,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2015,ＡＴ,33,312142,4 - きれい,51 ～ 55,2025年09月,コンペティツィオーネ,1400,9.2,白,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2019,５ＭＴ,68,31214T,5 - すごくきれい,133 ～ 138,2025年09月,コンペティツィオーネ,1400,8.3,グレー,AC AW 革
アバルト,アバルト５００ 3D 2WD,2009,５ＭＴ,101,312141,3 - 普通,22 ～ 28,2025年09月,ベースグレード,1400,9.2,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2019,５ＭＴ,14,31214T,5 - すごくきれい,214 ～ 217,2025年09月,コンペティツィオーネ,1400,8.5,白,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2014,ＡＴ,92,312142,5 - すごくきれい,38 ～ 43,2025年09月,ツーリズモ,1400,9.5,グレー,AC NV TV 革
アバルト,アバルト５９５ 3D 2WD,2015,ＡＴ,73,312142,5 - すごくきれい,42 ～ 44,2025年09月,コンペティツィオーネ,1400,8.12,シルバー,AC NV TV AW
アバルト,アバルト５００ 3D 2WD,2013,５ＭＴ,57,312141,3 - 普通,45 ～ 48,2025年09月,ベースグレード,1400,8.4,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2021,５ＭＴ,14,31214T,5 - すごくきれい,186 ～ 191,2025年09月,ベースグレード,1400,8.8,グレー,AC AW
アバルト,アバルト５９５ 3D 2WD,2019,ＡＴ,22,31214T,5 - すごくきれい,168 ～ 171,2025年09月,コンペティツィオーネ,1400,8.7,グレー,AC AW 革
アバルト,アバルト５００ 3D 2WD,2013,ＡＴ,33,312142,4 - きれい,26 ～ 32,2025年09月,,1400,7.12,白,AC NV TV AW 革
アバルト,アバルト５９５Ｃ 2WD,2020,ＡＴ,15,31214T,5 - すごくきれい,141 ～ 143,2025年09月,,1400,,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2013,ＡＴ,70,312142,5 - すごくきれい,44 ～ 46,2025年09月,ツーリズモ,1400,8.9,,AC NV TV 革
アバルト,アバルト５９５ 3D 2WD,2014,ＡＴ,47,312142,4 - きれい,36 ～ 41,2025年09月,ツーリズモ,1400,,,AW 革
アバルト,アバルト５９５ 3D 2WD,2015,ＡＴ,31,312142,5 - すごくきれい,64 ～ 69,2025年09月,ツーリズモ,1400,9.2,グレー,AC 革
アバルト,アバルト５００ 3D 2WD,2013,５ＭＴ,100,312141,4 - きれい,36 ～ 40,2025年09月,ベースグレード,1400,7.12,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 2WD,2022,５ＭＴ,53,31214T,5 - すごくきれい,198 ～ 203,2025年09月,,1400,9.4,青,AC AW
アバルト,アバルト６９５ トリブートフェラーリ 3D 2WD,2011,ＡＴ,39,312142,5 - すごくきれい,244 ～ 250,2025年09月,ベースグレード,1400,,赤,AC NV TV AW SR 革
アバルト,アバルト５９５Ｃ 3D 2WD,2020,５ＭＴ,12,31214T,5 - すごくきれい,326 ～ 330,2025年09月,エッセエッセ,1400,,グレー,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2020,ＡＴ,18,31214T,5 - すごくきれい,134 ～ 137,2025年09月,ベースグレード,1400,,白,AC AW
アバルト,アバルト５９５ 3D 2WD,2017,ＡＴ,19,31214T,5 - すごくきれい,99 ～ 102,2025年09月,ベースグレード,1400,,白,AC AW
アバルト,アバルト１２４ スパイダー オープン 2WD,2018,ＡＴ,13,NF2EK,5 - すごくきれい,334 ～ 337,2025年09月,ベースグレード,1400,8.1,白,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2020,ＡＴ,38,31214T,5 - すごくきれい,170 ～ 173,2025年09月,コンペティツィオーネ,1400,9.6,黒,AC AW
アバルト,アバルト５９５ 3D 2WD,2015,ＡＴ,34,312142,3 - 普通,37 ～ 40,2025年09月,コンペティツィオーネ,1400,8.11,白,AC AW
アバルト,アバルト５９５ 3D 2WD,2021,ＡＴ,20,31214T,5 - すごくきれい,183 ～ 185,2025年09月,ツーリズモ,1400,9.1,白,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2022,５ＭＴ,22,31214T,5 - すごくきれい,165 ～ 169,2025年09月,ベースグレード,1400,9.1,白,AC AW
アバルト,アバルト５９５ 3D 2WD,2020,ＡＴ,33,31214T,5 - すごくきれい,231 ～ 236,2025年09月,エッセエッセ,1400,8.1,グレー,AC AW
アバルト,アバルト５９５ 3D 2WD,2017,５ＭＴ,32,31214T,5 - すごくきれい,193 ～ 196,2025年09月,コンペティツィオーネ,1400,8.5,グレー,AC AW
アバルト,アバルト５９５Ｃ 3D 2WD,2021,ＡＴ,8,31214T,5 - すごくきれい,231 ～ 234,2025年09月,ツーリズモ,1400,,白,AC AW 革
アバルト,アバルト５９５Ｃ 3D 2WD,2022,ＡＴ,35,31214T,5 - すごくきれい,167 ～ 170,2025年09月,ツーリズモ,1400,9.5,グレー,AC AW SR 革
アバルト,アバルト５９５Ｃ 3D 2WD,2019,ＡＴ,11,31214T,5 - すごくきれい,121 ～ 124,2025年09月,ツーリズモ,1400,8.4,グレー,AC AW 革
アバルト,アバルト５００ 3D 2WD,2011,５ＭＴ,92,312141,4 - きれい,42 ～ 45,2025年09月,ベースグレード,1400,,白,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2019,ＡＴ,35,31214T,5 - すごくきれい,133 ～ 135,2025年09月,ツーリズモ,1400,8.1,グレー,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2017,ＡＴ,28,31214T,4 - きれい,138 ～ 141,2025年09月,コンペティツィオーネ,1400,8.6,黄,AC NV TV AW
アバルト,アバルト５９５ 3D 2WD,2020,ＡＴ,30,31214T,5 - すごくきれい,144 ～ 148,2025年09月,ツーリズモ,1400,9.4,グレー,AC AW 革
アバルト,アバルト５００ 3D 2WD,2016,５ＭＴ,44,312141,5 - すごくきれい,90 ～ 94,2025年09月,ベースグレード,1400,,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2017,５ＭＴ,22,31214T,5 - すごくきれい,198 ～ 201,2025年09月,コンペティツィオーネ,1400,,黒,AC AW
アバルト,アバルト６９５ 3D 2WD,2023,ＡＴ,11,31214T,5 - すごくきれい,232 ～ 235,2025年09月,ツーリズモ,1400,8.1,白,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2018,ＡＴ,97,31214T,3 - 普通,32 ～ 36,2025年09月,ツーリズモ,1400,,白,AC NV TV AW 革
アバルト,アバルト１２４ スパイダー オープン 2WD,2020,６ＭＴ,31,NF2EK,5 - すごくきれい,387 ～ 393,2025年09月,ベースグレード,1400,9.7,黒,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2023,５ＭＴ,24,31214T,5 - すごくきれい,286 ～ 289,2025年09月,コンペティツィオーネ,1400,8.4,黄,AC AW
アバルト,アバルト５９５ 3D 2WD,2020,ＡＴ,47,31214T,5 - すごくきれい,127 ～ 132,2025年09月,コンペティツィオーネ,1400,9.7,グレー,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2019,５ＭＴ,13,31214T,5 - すごくきれい,198 ～ 202,2025年09月,コンペティツィオーネ,1400,8.2,白,AC NV TV AW
アバルト,アバルト５９５ 3D 2WD,2021,ＡＴ,13,31214T,5 - すごくきれい,213 ～ 218,2025年09月,コンペティツィオーネ,1400,8.8,グレー,AC AW
アバルト,アバルト６９５ エッセエッセ 3D 2WD,2022,５ＭＴ,20,31214T,5 - すごくきれい,308 ～ 314,2025年09月,ベースグレード,1400,,黒,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2021,５ＭＴ,16,31214T,5 - すごくきれい,222 ～ 227,2025年09月,コンペティツィオーネ,1400,8.3,黒,AC AW
アバルト,アバルト５９５ 3D 2WD,2019,５ＭＴ,56,31214T,5 - すごくきれい,164 ～ 168,2025年09月,コンペティツィオーネ,1400,7.12,白,AC AW
アバルト,アバルト５００ 3D 2WD,2014,５ＭＴ,77,312141,5 - すごくきれい,70 ～ 74,2025年09月,ベースグレード,1400,8.7,白,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2020,５ＭＴ,22,31214T,5 - すごくきれい,205 ～ 210,2025年09月,コンペティツィオーネ スティーレ,1400,8.12,グレー,AC AW 革
アバルト,アバルト６９５ 3D 2WD,2023,ＡＴ,4,31214T,5 - すごくきれい,228 ～ 232,2025年09月,コンペティツィオーネ,1400,8.9,白,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2019,５ＭＴ,73,31214T,5 - すごくきれい,168 ～ 171,2025年09月,コンペティツィオーネ,1400,8.2,グレー,AC AW
アバルト,アバルト５９５ 3D 2WD,2013,ＡＴ,154,312142,3 - 普通,16 ～ 21,2025年09月,ツーリズモ,1400,8.6,グレー,AC AW 革
アバルト,アバルト５９５ 2WD,2019,ＡＴ,94,31214T,5 - すごくきれい,62 ～ 66,2025年09月,,1400,8.4,白,AC
アバルト,アバルト５９５ 3D 2WD,2021,５ＭＴ,21,31214T,5 - すごくきれい,207 ～ 213,2025年09月,コンペティツィオーネ,1400,,黄,AC AW
アバルト,アバルト５９５ 3D 2WD,2019,５ＭＴ,47,31214T,5 - すごくきれい,174 ～ 178,2025年09月,コンペティツィオーネ,1400,8.1,グレー,AC 革
アバルト,アバルト５９５ 3D 2WD,2018,５ＭＴ,50,31214T,5 - すごくきれい,159 ～ 165,2025年09月,コンペティツィオーネ,1400,,グレー,AC NV TV AW SR
アバルト,アバルト５９５ 3D 2WD,2014,ＡＴ,94,312142,4 - きれい,26 ～ 29,2025年09月,コンペティツィオーネ,1400,,グレー,AC
アバルト,アバルト５９５ 3D 2WD,2019,ＡＴ,15,31214T,5 - すごくきれい,141 ～ 145,2025年09月,ベースグレード,1400,9.8,赤,AC AW
アバルト,アバルト５９５ 3D 2WD,2021,５ＭＴ,21,31214T,5 - すごくきれい,229 ～ 232,2025年09月,スコルピオーネオーロ,1400,,黒,AC AW 革
アバルト,アバルト５９５Ｃ 3D 2WD,2014,ＡＴ,67,312142,4 - きれい,42 ～ 48,2025年09月,ツーリズモ,1400,8.12,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2020,ＡＴ,53,31214T,5 - すごくきれい,136 ～ 138,2025年09月,コンペティツィオーネ スティーレ,1400,9.2,赤,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2016,ＡＴ,30,312142,5 - すごくきれい,108 ～ 112,2025年09月,コンペティツィオーネ,1400,,黒,AC NV TV AW SR 革
アバルト,アバルト５９５ 3D 2WD,2020,５ＭＴ,60,31214T,5 - すごくきれい,144 ～ 147,2025年09月,コンペティツィオーネ スティーレ,1400,,白,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2021,５ＭＴ,43,31214T,5 - すごくきれい,199 ～ 205,2025年09月,コンペティツィオーネ,1400,8.8,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 2WD,2019,５ＭＴ,56,31214T,5 - すごくきれい,182 ～ 185,2025年09月,,1400,,グレー,AC
アバルト,アバルト６９５Ｃ 3D 2WD,2024,ＡＴ,7,31214T,5 - すごくきれい,281 ～ 285,2025年09月,ツーリズモ,1400,9.8,白,AC NV TV AW SR 革
アバルト,アバルト５００ 3D 2WD,2009,５ＭＴ,147,312141,3 - 普通,16 ～ 22,2025年09月,ベースグレード,1400,8.6,グレー,AC NV TV AW 革
アバルト,アバルト５９５ 3D 2WD,2017,ＡＴ,26,31214T,4 - きれい,130 ～ 133,2025年09月,コンペティツィオーネ,1400,8.3,黄,AC NV TV AW
アバルト,アバルト５９５ 3D 2WD,2022,ＡＴ,17,31214T,5 - すごくきれい,178 ～ 180,2025年09月,ツーリズモ,1400,,黒,AC AW 革
アバルト,アバルト５９５ 3D 2WD,2021,５ＭＴ,18,31214T,5 - すごくきれい,248 ～ 254,2025年09月,コンペティツィオーネ,1400,8.7,黒,AW
