メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2012,ＡＴ,75,ZA16,3 - 普通,12 ～ 16,2025年09月,ワン クロスオーバー,1600,,黄,AC NV TV AW SR 革
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2016,ＡＴ,170,LR20,3 - 普通,22 ～ 25,2025年09月,クーパーＳＤ クラブマン,2000,,シルバー,AC NV TV AW SR 革
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2005,ＡＴ,110,RE16,3 - 普通,6 ～ 10,2025年09月,クーパーＳ,1600,,,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2012,ＡＴ,93,SU16,4 - きれい,10 ～ 16,2025年09月,クーパー,1600,9.4,赤,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2018,ＡＴ,27,XM15,5 - すごくきれい,97 ～ 102,2025年09月,クーパー サザーク,1500,,黒,AC 革
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2024,ＡＴ,12,XU15MW,5 - すごくきれい,251 ～ 253,2025年09月,クーパー カムデン・エディション,1500,9.5,ベージュ,AC
ＭＩＮＩ,ＭＩＮＩ オープン 2WD,2008,ＡＴ,70,RH16,3 - 普通,7 ～ 12,2025年09月,クーパーＳ コンバーチブル,1600,,,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2021,ＡＴ,65,XY15MW,4 - きれい,123 ～ 127,2025年09月,クーパーＤ クラシック・トリム,1500,8.4,グレー,AC
ＭＩＮＩ,ＭＩＮＩ 2WD,2020,ＡＴ,44,YT20,5 - すごくきれい,203 ～ 209,2025年09月,,2000,,黒,AC
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2022,ＡＴ,21,XU15MW,5 - すごくきれい,208 ～ 214,2025年09月,クーパー クラシック・トリム,1500,,赤,AC
ＭＩＮＩ,ＭＩＮＩ 2WD,2008,ＡＴ,171,ML16,3 - 普通,3 ～ 7,2025年09月,,1600,,茶,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2013,ＡＴ,12,SU16,5 - すごくきれい,40 ～ 44,2025年09月,クーパー,1600,,青,AC
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2015,ＡＴ,64,XS15,3 - 普通,25 ～ 31,2025年09月,クーパー,1500,8.3,赤,AC NV TV
ＭＩＮＩ,ＭＩＮＩ 2WD,2013,ＡＴ,44,SU16,3 - 普通,5 ～ 7,2025年09月,緑／白,1600,,,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2006,ＡＴ,66,RA16,4 - きれい,2 ～ 7,2025年09月,クーパー,1600,,青,AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2006,ＡＴ,94,RE16,3 - 普通,11 ～ 15,2025年09月,クーパーＳ パークレーン,1600,9.1,グレー,AC 革
ＭＩＮＩ,ＭＩＮＩ 2WD,2010,ＡＴ,74,ME14,3 - 普通,3 ～ 8,2025年09月,,1400,,白,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2011,ＡＴ,88,SU16,4 - きれい,7 ～ 9,2025年09月,クーパー,1600,,,AC
ＭＩＮＩ,ＭＩＮＩ オープン 2WD,2006,ＡＴ,91,RF16,3 - 普通,4 ～ 10,2025年09月,,1600,,赤,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2012,ＡＴ,58,SR16,3 - 普通,7 ～ 9,2025年09月,ワン,1600,,赤,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2012,ＡＴ,91,ZF16,4 - きれい,5 ～ 11,2025年09月,クーパー クラブマン,1600,,白,AC SR
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2017,ＡＴ,42,XM12,4 - きれい,40 ～ 43,2025年09月,ワン,1200,,赤,AC NV TV AW
ＭＩＮＩ,ＭＩＮＩ 2WD,2018,ＡＴ,29,YT20,5 - すごくきれい,166 ～ 170,2025年09月,,2000,,赤,AC
ＭＩＮＩ,ＭＩＮＩ オープン 2WD,2008,ＡＴ,39,RF16,4 - きれい,18 ～ 22,2025年09月,クーパー コンバーチブル サイドウォーク,1600,,白,AC AW 革
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2007,ＡＴ,82,MF16,3 - 普通,13 ～ 17,2025年09月,クーパー,1600,7.10,,AW 革
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2014,ＡＴ,62,XS15,3 - 普通,27 ～ 29,2025年09月,クーパー,1500,,白,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2010,ＡＴ,24,SU16,4 - きれい,25 ～ 31,2025年09月,５０ カムデン,1600,,,AC AW
ＭＩＮＩ,ＭＩＮＩ 2WD,2012,ＡＴ,165,ZA16,3 - 普通,7 ～ 10,2025年09月,ツートン,1600,,,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2017,ＡＴ,37,XM15,4 - きれい,60 ～ 62,2025年09月,クーパー,1500,,,AC NV TV AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2017,ＡＴ,79,XN20,4 - きれい,71 ～ 73,2025年09月,クーパーＳＤ,2000,,,AC NV TV
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2018,ＡＴ,52,XT20,5 - すごくきれい,96 ～ 101,2025年09月,クーパーＳＤ,2000,,赤,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2010,ＡＴ,148,SU16,4 - きれい,7 ～ 11,2025年09月,クーパー,1600,,,AC AW 革
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2011,６ＭＴ,112,SV16,3 - 普通,9 ～ 13,2025年09月,クーパーＳ,1600,,,AC
ＭＩＮＩ,ＭＩＮＩ 2WD,2015,ＡＴ,65,XS20,-1 - 修復歴あり,29 ～ 32,2025年09月,赤II,2000,,,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2010,ＡＴ,82,ZF16,5 - すごくきれい,4 ～ 9,2025年09月,クーパー クラブマン,1600,8.3,,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2010,ＡＴ,104,SR16,4 - きれい,3 ～ 8,2025年09月,ワン,1600,,黒,AC
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2019,ＡＴ,50,XR15M,3 - 普通,87 ～ 93,2025年09月,クーパー,1500,8.7,,AC
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2012,ＡＴ,95,ZA16,4 - きれい,18 ～ 24,2025年09月,クーパー クロスオーバー,1600,,,AC AW
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2022,ＡＴ,23,XV15MW,5 - すごくきれい,215 ～ 217,2025年09月,クーパーＤ ブリック・レーン・エディション,1500,,グレー,AC 革
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2012,ＡＴ,126,ZA16,3 - 普通,7 ～ 10,2025年09月,ワン クロスオーバー,1600,8.11,青,AC AW
ＭＩＮＩ,ＭＩＮＩ 5D 2WD,2022,ＡＴ,21,XU15MW,5 - すごくきれい,200 ～ 205,2025年09月,クーパー クラシック・トリム,1500,,黒,AC
ＭＩＮＩ,ＭＩＮＩ 5D 4WD,2012,ＡＴ,79,ZC16A,4 - きれい,24 ～ 29,2025年09月,クーパーＳ クロスオーバー オール４,1600,,青,AC AW
ＭＩＮＩ,ＭＩＮＩ 3D 4WD,2013,ＡＴ,70,SSJCW,-1 - 修復歴あり,33 ～ 38,2025年09月,ジョンクーパーワークス ペースマン,1600,9.9,,AC AW
ＭＩＮＩ,ＭＩＮＩ 2WD,2024,ＡＴ,11,LV20M,5 - すごくきれい,326 ～ 328,2025年09月,,2000,9.10,黒,AC NV TV AW 革
ＭＩＮＩ,ＭＩＮＩ オープン 2WD,2007,ＡＴ,87,RF16,4 - きれい,4 ～ 9,2025年09月,クーパー コンバーチブル,1600,,青,AC NV TV AW
ＭＩＮＩ,ＭＩＮＩ 3D 2WD,2011,ＡＴ,87,ZF16,4 - きれい,16 ～ 20,2025年09月,クーパー クラブマン,1600,8.10,,AC NV TV 革
