メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
いすゞ,エルフトラック 2D 2WD,1995,ＡＴ,140,3 - 普通,88 ～ 93,nan,2025年09月,ベースグレード,3100,8.3,白,AC
いすゞ,エルフトラック 2D 2WD,1995,５ＭＴ,255,NKR66ED,-1 - 修復歴あり,62 ～ 66,2025年09月,ダンプ,4300,,白,AC
いすゞ,フォワード 2WD,2020,６ＭＴ,60,FRR90S1,3 - 普通,452 ～ 457,2025年09月,,5200,,白,AC NV TV AW SR 革
いすゞ,エルフトラック 2WD,2009,６ＭＴ,104,NPR85AN,3 - 普通,234 ～ 238,2025年09月,,3000,,白,AC
いすゞ,エルフトラック 2D 2WD,1997,５ＭＴ,403,NKR66EA,3 - 普通,45 ～ 49,2025年09月,ベースグレード,4300,,白,AC
いすゞ,エルフトラック 2WD,2018,ＡＴ,39,NPR85AN,4 - きれい,535 ～ 537,2025年09月,,3000,,シルバー,AC NV TV
いすゞ,エルフトラック 2WD,2007,ＡＴ,223,NPR85AN,3 - 普通,186 ～ 190,2025年09月,,3000,8.2,白,AC NV TV
いすゞ,エルフトラック 2D 2WD,1996,５ＭＴ,53,NKR66ED,3 - 普通,120 ～ 124,2025年09月,ダンプ,4300,,白,AC
いすゞ,フォワード 2WD,2014,６ＭＴ,112,FRR90S1,-1 - 修復歴あり,299 ～ 303,2025年09月,,5200,,白,AC
いすゞ,エルフトラック 4D 4WD,2002,５ＭＴ,268,NHS69EA,-1 - 修復歴あり,19 ～ 21,2025年09月,Ｗキャブ,3100,,白,AC
いすゞ,エルフトラック 2WD,2006,５ＭＴ,275,NHR69,3 - 普通,26 ～ 31,2025年09月,,3100,,白,AC
いすゞ,エルフトラック 2WD,2013,５ＭＴ,181,NJR85A,3 - 普通,49 ～ 52,2025年09月,,3000,,グレー,AC
いすゞ,フォワード 2WD,2020,６ＭＴ,45,FRR90S1,3 - 普通,416 ～ 418,2025年09月,,5200,,白,AC
いすゞ,エルフトラック 2WD,2016,６ＭＴ,170,NKR85AN,3 - 普通,147 ～ 151,2025年09月,,3000,,白,AC
いすゞ,エルフトラック 2D 2WD,2002,５ＭＴ,115,NKR81LR,3 - 普通,34 ～ 39,2025年09月,ロング,4800,,青,AC
いすゞ,エルフトラック 2D 2WD,2006,６ＭＴ,1000,NPR81AR,3 - 普通,43 ～ 47,2025年09月,フルフラットロー,4800,,白,AC
いすゞ,エルフトラック 2WD,2014,５ＭＴ,296,NJR85A,3 - 普通,33 ～ 37,2025年09月,,3000,,白,AC
いすゞ,エルフトラック 2WD,1998,５ＭＴ,57,NKR71EA,3 - 普通,78 ～ 80,2025年09月,,4600,,白,AC
いすゞ,エルフトラック 2D 2WD,1989,５ＭＴ,119,NKR58ED,3 - 普通,121 ～ 124,2025年09月,ダンプ,3600,,青,AC
いすゞ,エルフトラック 2D 2WD,2018,ＡＴ,146,3 - 普通,275 ～ 279,nan,2025年09月,ベースグレード,3000,8.1,白,AC
いすゞ,エルフトラック 2WD,2014,５ＭＴ,56,NJR85AD,3 - 普通,124 ～ 128,2025年09月,,3000,,白,AC
いすゞ,フォワード 2WD,2006,６ＭＴ,997,3 - 普通,58 ～ 63,nan,2025年09月,,,,,000 AC
いすゞ,エルフトラック 2D 2WD,1997,５ＭＴ,289,NHR69E,3 - 普通,44 ～ 48,2025年09月,ロングフラットロー,3100,,白,AC
いすゞ,エルフトラック 4D 2WD,2007,５ＭＴ,236,NJR85A,3 - 普通,28 ～ 33,2025年09月,Ｗキャブ,3000,,白,AC
いすゞ,フォワード 2D 2WD,2013,６ＭＴ,996,FRR90S2,-1 - 修復歴あり,110 ～ 113,2025年09月,ベースグレード,5200,,白,AC
いすゞ,エルフトラック 2D 2WD,2007,５ＭＴ,78,NKR81AN,3 - 普通,59 ～ 62,2025年09月,ベースグレード,4800,,白,AC
いすゞ,エルフトラック 2D 2WD,1999,５ＭＴ,134,NKR66ED,3 - 普通,69 ～ 71,2025年09月,ダンプ,4300,,白,AC
いすゞ,エルフトラック 2WD,2003,ＡＴ,425,NKR81EP,-1 - 修復歴あり,39 ～ 45,2025年09月,,4800,,白,AC
いすゞ,エルフトラック 2WD,2009,５ＭＴ,396,NHR85A,3 - 普通,32 ～ 37,2025年09月,,3000,,白,AC
いすゞ,フォワード 2WD,2002,６ＭＴ,157,3 - 普通,132 ～ 135,nan,2025年09月,,,7.12,白,000 AC
いすゞ,エルフトラック 2D 2WD,2013,５ＭＴ,119,NJR85A,3 - 普通,72 ～ 76,2025年09月,ベースグレード,3000,,白,AC
