メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
アキュラ,ＭＤＸ 5D 4WD,2013,ＡＴ,84,5 - すごくきれい,102 ～ 108,,2025年09月,ベースグレード,3700,8.8,黒,AC NV TV AW SR 革
アキュラ,ＭＤＸ 5D 4WD,2013,ＡＴ,89,5 - すごくきれい,97 ～ 103,,2025年07月,ベースグレード,3700,8.12,黒,AC NV TV AW SR 革
アキュラ,ＴＬ 4D 2WD,2018,６ＭＴ,191,3 - 普通,67 ～ 73,,2025年07月,ベースグレード,3200,8.1,黒,AC NV TV AW SR 革
アキュラ,ＮＳＸ クーペ 2WD,1993,５ＭＴ,69,4 - きれい,809 ～ 813,,2025年06月,ベースグレード,3000,,黒,AC NV TV AW SR 革
アキュラ,ＭＤＸ 5D 2WD,2012,ＡＴ,72,3 - 普通,79 ～ 81,,2025年04月,ベースグレード,3700,,黒,AC NV TV AW SR 革
アキュラ,ＭＤＸ 5D 4WD,2011,ＡＴ,116,3 - 普通,86 ～ 90,,2025年01月,ベースグレード,3700,9.1,黒,AC NV TV AW SR 革
アキュラ,ＲＤＸ 5D 2WD,2006,ＡＴ,136,3 - 普通,33 ～ 35,,2024年06月,,2300,6.5,ガンＭ,AC SR 革
アキュラ,ＲＤＸ 5D 2WD,2006,ＡＴ,131,3 - 普通,33 ～ 37,,2024年06月,,2300,6.5,ガンＭ,AC SR 革
アキュラ,ＲＤＸ 5D 2WD,2006,ＡＴ,135,3 - 普通,33 ～ 37,,2024年06月,,2300,6.10,ガンＭ,AC SR 革
アキュラ,ＴＬ 4D 2WD,2006,ＡＴ,90,3 - 普通,24 ～ 27,,2024年03月,ベースグレード,3200,7.3,パール,AC NV TV AW SR 革
アキュラ,ＭＤＸ 5D 4WD,2013,ＡＴ,261,3 - 普通,57 ～ 61,,2024年03月,ベースグレード,3700,,黒,AC NV TV AW SR 革
アキュラ,ＮＳＸ クーペ 2WD,1991,５ＭＴ,60,3 - 普通,803 ～ 807,,2024年03月,ベースグレード,3000,8.1,赤,
アキュラ,ＺＤＸ 5D 4WD,2012,ＡＴ,67,5 - すごくきれい,118 ～ 122,,2024年02月,ベースグレード,3700,,黒,AC NV TV AW SR 革
