メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
インフィニティ,ＦＸ４５ 5D 4WD,2006,ＡＴ,154,3 - 普通,45 ～ 49,nan,2025年09月,ベースグレード,4500,,黒,AC NV TV AW SR 革
インフィニティ,ＪＸ３５ 5D 2WD,2012,ＡＴ,100,4 - きれい,55 ～ 60,nan,2025年09月,ベースグレード,3500,,黒,AC NV TV AW SR 革
インフィニティ,ＦＸ５０ 5D 4WD,2008,ＡＴ,213,3 - 普通,105 ～ 109,nan,2025年09月,,5000,,オレンジ,AC NV TV AW SR 革
インフィニティ,ＥＸ３５ 5D 2WD,2011,ＡＴ,146,4 - きれい,68 ～ 74,nan,2025年09月,ベースグレード,3500,,黒,AC NV TV AW SR 革
インフィニティ,ＦＸ３５ 5D 2WD,2012,ＡＴ,131,4 - きれい,75 ～ 79,nan,2025年08月,ベースグレード,3500,,黒,AC NV TV AW SR 革
インフィニティ,ＱＸ５６ 5D 4WD,2012,ＡＴ,110,4 - きれい,29 ～ 34,nan,2025年08月,ベースグレード,5600,,白,AC NV TV AW SR 革
インフィニティ,ＦＸ３５ 5D 2WD,2012,ＡＴ,121,4 - きれい,73 ～ 76,nan,2025年08月,ベースグレード,3500,,黒,AC SR 革
インフィニティ,ＦＸ３５ 5D 4WD,2007,ＡＴ,76,3 - 普通,53 ～ 57,nan,2025年08月,ベースグレード,3500,,黒,AC AW SR 革
インフィニティ,ＱＸ５６ 5D 2WD,2009,ＡＴ,88,4 - きれい,56 ～ 59,nan,2025年08月,ベースグレード,5600,,黒,AC NV TV AW SR 革
インフィニティ,ＱＸ５６ 5D 4WD,2011,ＡＴ,111,4 - きれい,184 ～ 187,nan,2025年08月,ベースグレード,5600,,黒,AC NV TV AW SR 革
インフィニティ,ＦＸ３５ 5D 4WD,2011,ＡＴ,128,4 - きれい,70 ～ 74,nan,2025年08月,ベースグレード,3500,9.4,黒,AC AW SR
インフィニティ,ＱＸ５６ 5D 4WD,2011,ＡＴ,68,4 - きれい,242 ～ 247,nan,2025年08月,ベースグレード,5600,8.5,パール,AC AW SR 革
インフィニティ,ＱＸ５６ 5D 4WD,2012,ＡＴ,103,4 - きれい,205 ～ 207,nan,2025年07月,ベースグレード,5600,8.8,黒,AC NV TV AW SR 革
インフィニティ,Ｑ４５ 4D 2WD,2007,ＡＴ,79,3 - 普通,20 ～ 25,nan,2025年07月,ベースグレード,4500,,黒,AC NV TV AW SR 革
インフィニティ,ＱＸ５６ 5D 4WD,2011,ＡＴ,189,3 - 普通,37 ～ 42,nan,2025年07月,ベースグレード,5600,,パール,NV TV SR 革
インフィニティ,Ｇ３５ クーペ 2WD,2006,ＡＴ,140,3 - 普通,25 ～ 29,nan,2025年07月,ベースグレード,3500,,黒,AC NV TV AW SR 革
インフィニティ,ＦＸ３５ 5D 2WD,2008,ＡＴ,131,4 - きれい,27 ～ 33,nan,2025年07月,ベースグレード,3500,,黒,AC NV TV AW SR 革
インフィニティ,ＦＸ３５ 5D 2WD,2009,ＡＴ,125,3 - 普通,43 ～ 46,nan,2025年07月,ベースグレード,3500,,黒,AC NV TV AW SR 革
