メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
オペル,ベクトラ 4D 2WD,1996,ＡＴ,8,XH200,3 - 普通,6 ～ 10,2025年09月,ＣＤ,2000,,緑,AC NV TV AW SR 革
オペル,アストラ オープン 2WD,2002,ＡＴ,80,XK220,3 - 普通,15 ～ 21,2025年09月,カブリオ,2200,,シルバー,AC NV TV AW SR 革
オペル,アストラ 5D 2WD,2000,ＡＴ,32,XK200,3 - 普通,13 ～ 18,2025年09月,スポーツ,2000,,シルバー,AC
オペル,ヴィータ 3D 2WD,2002,ＡＴ,59,XN140,3 - 普通,5 ～ 9,2025年08月,スウィング,1400,,青,AC NV TV AW SR 革
オペル,ベクトラ 4D 2WD,2003,ＡＴ,1001,Z02Z22,3 - 普通,5 ～ 10,2025年08月,2.2,2200,8.1,シルバー,AC NV TV AW SR 革
オペル,ヴィータ 5D 2WD,2000,ＡＴ,70,XG142,3 - 普通,5 ～ 9,2025年08月,ＧＬＳ １６Ｖ,1400,,青,AC NV TV AW SR 革
オペル,アストラ オープン 2WD,1994,ＡＴ,51,XD200K,3 - 普通,5 ～ 9,2025年08月,カブリオ,2000,,黒,AC NV TV AW SR 革
オペル,アストラ 2WD,2000,ＡＴ,112,XK180,3 - 普通,9 ～ 13,2025年08月,,1800,,青,AC
オペル,アストラ 5D 2WD,1999,ＡＴ,126,XK160,-1 - 修復歴あり,3 ～ 7,2025年06月,ＬＳ,1600,,シルバー,AC NV TV AW SR 革
オペル,アストラ 2WD,2003,ＡＴ,72,XK220,3 - 普通,5 ～ 10,2025年06月,,2200,,シルバー,AC NV TV AW SR 革
オペル,アストラ オープン 2WD,2002,ＡＴ,74,XK220,4 - きれい,6 ～ 9,2025年06月,カブリオ,2200,,青,AC NV TV AW 革
オペル,ザフィーラ 2WD,2006,ＡＴ,98,AH05Z22,-1 - 修復歴あり,20 ～ 24,2025年06月,,2200,,黒,AC NV TV AW SR 革
オペル,アストラ オープン 2WD,2002,ＡＴ,81,XK220,3 - 普通,10 ～ 13,2025年06月,カブリオ,2200,,黒,AC NV TV AW 革
オペル,アストラ オープン 2WD,1995,ＡＴ,90,XD200K,4 - きれい,5 ～ 9,2025年06月,カブリオ,2000,,パープル,AC AW
オペル,アストラ 2WD,1994,ＡＴ,210,XD200,3 - 普通,6 ～ 11,2025年06月,,2000,,赤,AC SR
オペル,アストラ 5D 2WD,2006,ＡＴ,44,AH04Z18,4 - きれい,20 ～ 24,2025年06月,１．８ＣＤ,1800,,シルバー,AC AW
オペル,アストラ 5D 2WD,2005,ＡＴ,100,AH04Z18W,3 - 普通,19 ～ 23,2025年06月,ワゴン１．８ＣＤ,1800,,黒,AC
オペル,ヴィータ 2WD,2000,ＡＴ,70,XG161,3 - 普通,4 ～ 10,2025年05月,,1600,,赤,AC NV TV AW SR 革
オペル,アストラ 5D 2WD,2006,ＡＴ,30,AH04Z18,3 - 普通,15 ～ 21,2025年05月,１．８スポーツ,1800,,シルバー,AC NV TV AW SR 革
オペル,アストラ 2WD,2000,ＡＴ,205,XK180,3 - 普通,6 ～ 8,2025年05月,,1800,,シルバー,AC 革
オペル,アストラ 2WD,1999,ＡＴ,61,XK180,3 - 普通,7 ～ 9,2025年04月,,1800,8.9,シルバー,AC
オペル,アストラ 5D 2WD,2000,ＡＴ,28,XK180,4 - きれい,10 ～ 14,2025年04月,ＣＤ,1800,,紺,AC NV TV AW SR 革
オペル,ヴィータ 5D 2WD,1998,ＡＴ,17,XG141,4 - きれい,3 ～ 6,2025年04月,ＧＬＳ,1400,,グレー,AC NV TV AW SR 革
オペル,アストラ 5D 2WD,2005,ＡＴ,61,AH04Z18,4 - きれい,13 ～ 16,2025年04月,１．８スポーツ,1800,8.2,シルバー,AC AW
オペル,アストラ 2WD,2006,ＡＴ,121,AH04Z18,3 - 普通,4 ～ 8,2025年03月,,1800,,赤,AC
オペル,アストラ 2WD,2006,ＡＴ,121,AH04Z18,3 - 普通,6 ～ 8,2025年03月,,1800,,赤,AC
オペル,アストラ 5D 2WD,2000,ＡＴ,85,XK180,3 - 普通,11 ～ 15,2025年03月,ワゴンＣＤ,1800,,緑,AC
オペル,アストラ 5D 2WD,2000,ＡＴ,86,XK180,3 - 普通,2 ～ 7,2025年03月,ワゴンＣＤ,1800,,緑,AC
オペル,カリブラ クーペ 2WD,1997,ＡＴ,29,XE200,3 - 普通,25 ～ 29,2025年03月,１６Ｖ,2000,,赤,AC NV TV AW SR 革
