メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
キャデラック,キャデラックエスカレード 5D 4WD,2023,ＡＴ,13,T1UL,5 - すごくきれい,973 ～ 978,2025年09月,プラチナム,6200,7.11,黒,AC NV TV AW SR 革
キャデラック,キャデラックＤＴＳ 4D 2WD,2007,ＡＴ,11,X272,4 - きれい,96 ～ 98,2025年09月,４．６Ｌ,4600,,黒,AC NV TV AW SR 革
キャデラック,キャデラックセビル 2WD,1996,ＡＴ,81,AK34K,3 - 普通,15 ～ 20,2025年09月,,4600,,青,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2007,ＡＴ,116,3 - 普通,57 ～ 59,nan,2025年09月,ベースグレード,6200,,パール,AC AW SR
キャデラック,キャデラックＣＴ６ 4D 4WD,2018,ＡＴ,122,O1SL,4 - きれい,137 ～ 141,2025年09月,プラチナム,3600,9.6,パール,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2014,ＣＡＴ,1000,3 - 普通,71 ～ 76,nan,2025年09月,プラチナム,6200,8.7,パール,AC SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2013,ＡＴ,91,T166C,4 - きれい,23 ～ 27,2025年09月,プレミアム,3000,,黒,AC SR 革
キャデラック,キャデラックＳＴＳ 2WD,2009,ＡＴ,121,X295S,-1 - 修復歴あり,19 ～ 24,2025年09月,,3600,,グレー,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2014,ＡＴ,82,T166C,4 - きれい,57 ～ 63,2025年09月,ラグジュアリー,3000,9.8,黒,AC NV TV AW SR 革
キャデラック,キャデラックＡＴＳ 4D 2WD,2016,ＡＴ,49,A1SL,4 - きれい,86 ～ 90,2025年09月,プレミアム,2000,9.7,,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ６ 5D 4WD,2024,ＡＴ,6,C1TL,5 - すごくきれい,597 ～ 603,2025年09月,プラチナム,3600,9.7,パール,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2011,ＡＴ,128,T166C,4 - きれい,30 ～ 33,2025年09月,プレミアム,3000,8.4,黒,AC NV TV AW SR 革
キャデラック,キャデラックＡＴＳ 4D 2WD,2013,ＡＴ,33,A1SL,4 - きれい,83 ～ 86,2025年09月,パフォーマンス,2000,9.7,赤,AC NV TV AW SR 革
キャデラック,キャデラックＸＴＳ 4D 2WD,2014,ＡＴ,73,4 - きれい,65 ～ 71,nan,2025年09月,プラチナム,3600,9.3,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 4WD,2008,ＡＴ,122,4 - きれい,34 ～ 37,nan,2025年09月,,6000,8.1,ゴールド,AC AW SR 革
キャデラック,キャデラックエスカレードＥＸＴ 4D 4WD,2006,ＡＴ,79,3 - 普通,26 ～ 29,nan,2025年09月,ベースグレード,6000,,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2017,ＡＴ,47,5 - すごくきれい,589 ～ 594,nan,2025年09月,プラチナム,6200,8.5,白,AC AW SR 革
キャデラック,キャデラックＡＴＳ 4D 2WD,2015,ＡＴ,55,A1SL,4 - きれい,88 ～ 91,2025年09月,パフォーマンス,2000,,黒,AC NV TV AW 革
キャデラック,キャデラックＸＴ５ 5D 4WD,2022,ＡＴ,15,C1UL,5 - すごくきれい,263 ～ 269,2025年09月,プレミアム,3600,9.3,黒,AC NV TV AW SR 革
キャデラック,キャデラックＣＴ５ 4D 2WD,2023,ＡＴ,27,A2LL,5 - すごくきれい,368 ～ 371,2025年09月,プラチナム,2000,8.7,白,AC NV TV AW SR 革
キャデラック,キャデラックＣＴ６ 4D 4WD,2018,ＡＴ,108,O1SL,4 - きれい,171 ～ 174,2025年09月,プラチナム,3600,9.6,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2014,ＣＡＴ,1002,3 - 普通,119 ～ 123,nan,2025年09月,プラチナム,6200,8.6,黒,AC AW SR 革
キャデラック,キャデラックＸＴ６ 5D 4WD,2022,ＡＴ,22,C1TL,5 - すごくきれい,486 ～ 489,2025年09月,プラチナム,3600,,ピンク,AC NV TV AW SR 革
キャデラック,キャデラックＣＴ５ 4D 4WD,2021,ＡＴ,39,A2LL,5 - すごくきれい,288 ～ 293,2025年09月,スポーツ,2000,8.5,青,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 4WD,2012,ＡＴ,50,T166C,5 - すごくきれい,71 ～ 74,2025年09月,,3000,,ゴールド,AC SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2006,ＣＡＴ,73,5 - すごくきれい,174 ～ 177,nan,2025年09月,ラグジュアリー,6200,,パール,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2015,ＡＴ,107,T166C,4 - きれい,58 ～ 60,2025年09月,プレミアム,3000,,パール,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2015,ＣＡＴ,67,5 - すごくきれい,487 ～ 493,nan,2025年09月,プラチナム,6200,9.1,パール,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ４ 5D 4WD,2022,ＡＴ,21,E2UL,5 - すごくきれい,259 ～ 264,2025年09月,スポーツ,2000,,白,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2018,ＣＡＴ,90,4 - きれい,430 ～ 434,nan,2025年09月,プラチナム,6200,,黒,AC AW SR 革
キャデラック,キャデラックＡＴＳ 2WD,2013,ＡＴ,79,A1SL,5 - すごくきれい,60 ～ 64,2025年09月,,2000,,パール,AC 革
キャデラック,キャデラックエスカレード 5D 4WD,2011,ＣＡＴ,63,3 - 普通,62 ～ 67,nan,2025年09月,ベースグレード,6200,7.12,黒,AC NV TV AW SR 革
キャデラック,キャデラックＣＴ６ 4D 4WD,2017,ＡＴ,27,O1SL,5 - すごくきれい,319 ～ 321,2025年09月,プラチナム,3600,8.11,黒,AC NV TV AW SR 革
キャデラック,キャデラックＣＴＳ 4D 2WD,2015,ＡＴ,59,A1LL,5 - すごくきれい,123 ～ 126,2025年09月,ラグジュアリー,2000,8.4,黒,AC NV TV AW SR 革
キャデラック,キャデラックＣＴＳ 4D 2WD,2008,ＡＴ,106,X322A,4 - きれい,10 ～ 15,2025年09月,2.8,2800,,白,AC NV TV AW SR 革
キャデラック,キャデラックＡＴＳ 4D 2WD,2014,ＡＴ,113,A1SL,3 - 普通,42 ～ 48,2025年09月,ダイヤモンドスペシャル,2000,9.5,黒,AC NV TV AW 革
キャデラック,キャデラックＳＴＳ 2WD,2008,ＡＴ,65,X295E,3 - 普通,31 ～ 35,2025年09月,,4600,,黒,AC SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2013,ＡＴ,76,T166C,-1 - 修復歴あり,39 ～ 44,2025年09月,ラグジュアリー,3000,8.3,パール,AC 革
キャデラック,キャデラックエスカレード 5D 4WD,2022,ＡＴ,13,T1UL,5 - すごくきれい,1059 ～ 1063,2025年09月,ホワイトスポーツエディション,6200,7.9,パール,AC AW SR 革
キャデラック,キャデラックＸＴ４ 5D 4WD,2023,ＡＴ,10,E2UL,5 - すごくきれい,339 ～ 342,2025年09月,スポーツ,2000,8.7,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2010,ＡＴ,98,4 - きれい,68 ～ 72,nan,2025年09月,ベースグレード,6200,8.5,パール,AC AW SR 革
キャデラック,キャデラックＣＴ６ 4D 4WD,2019,ＡＴ,59,O1SL,5 - すごくきれい,356 ～ 359,2025年09月,プラチナム,3600,8.11,シルバー,AC AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2008,ＡＴ,161,3 - 普通,66 ～ 71,nan,2025年09月,ラグジュアリー,6200,8.4,パール,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 2WD,2013,ＡＴ,120,3 - 普通,48 ～ 50,nan,2025年09月,ベースグレード,6200,,黒,AC SR
キャデラック,キャデラックエスカレード 5D 4WD,2011,ＡＴ,79,3 - 普通,84 ～ 88,nan,2025年09月,ＥＳＶ,6200,,パール,AC AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2009,ＡＴ,130,4 - きれい,53 ～ 55,nan,2025年09月,ベースグレード,6200,,黒,AC AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2024,ＡＴ,8,T1UL,5 - すごくきれい,1080 ～ 1084,2025年09月,スポーツ,6200,9.9,パール,AC SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2011,ＡＴ,108,4 - きれい,71 ～ 76,nan,2025年09月,ベースグレード,6200,,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2012,ＣＡＴ,92,5 - すごくきれい,103 ～ 106,nan,2025年09月,ラグジュアリー,6200,,パール,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ５クロスオーバー 5D 4WD,2018,ＡＴ,45,C1UL,4 - きれい,159 ～ 163,2025年09月,ラグジュアリー,3600,,黒,AC NV TV AW SR 革
キャデラック,キャデラックＡＴＳ 2WD,2013,ＡＴ,102,A1SL,4 - きれい,52 ～ 57,2025年09月,,2000,7.8,黒,AC AW 革
キャデラック,キャデラックエスカレード 4WD,2007,ＡＴ,79,4 - きれい,133 ～ 137,nan,2025年09月,,6200,,ゴールド,AC SR
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2011,ＡＴ,78,T166C,-1 - 修復歴あり,34 ～ 37,2025年09月,プレミアム,3000,,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2013,ＡＴ,116,3 - 普通,53 ～ 57,nan,2025年09月,ベースグレード,6200,7.9,白,AC SR 革
キャデラック,キャデラックＣＴＳ 4D 2WD,2008,ＡＴ,136,X322A,3 - 普通,6 ～ 9,2025年09月,2.8,2800,,シルバー,AC NV TV AW SR 革
キャデラック,キャデラックＳＴＳ 2WD,2007,ＡＴ,76,X295E,4 - きれい,12 ～ 16,2025年09月,,4600,,パール,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2016,ＡＴ,46,T166C,5 - すごくきれい,44 ～ 48,2025年09月,スポーツエディション,3000,,白,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ５クロスオーバー 5D 4WD,2017,ＡＴ,40,C1UL,4 - きれい,176 ～ 180,2025年09月,プラチナム,3600,8.9,白,AC NV TV AW SR 革
キャデラック,キャデラックＣＴＳ 2WD,2014,ＡＴ,76,A1LL,4 - きれい,68 ～ 72,2025年09月,,2000,,白,AC AW SR 革
キャデラック,キャデラックＣＴＳ 4D 2WD,2008,ＡＴ,90,X322B,5 - すごくきれい,18 ～ 22,2025年09月,3.6,3600,,シルバー,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ５ 5D 4WD,2020,ＡＴ,87,C1UL,4 - きれい,144 ～ 147,2025年09月,プレミアム,3600,,黒,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ５ 5D 4WD,2022,ＡＴ,3,C1UL,5 - すごくきれい,358 ～ 362,2025年09月,プラチナムスポーツ,3600,,白,AC
キャデラック,キャデラックＡＴＳ 4D 2WD,2014,ＡＴ,74,A1SL,3 - 普通,47 ～ 49,2025年09月,ラグジュアリー,2000,,パール,AC 革
キャデラック,キャデラックエスカレード 5D 4WD,2016,ＡＴ,163,3 - 普通,308 ～ 313,nan,2025年09月,プラチナム,6200,8.1,パール,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2014,ＡＴ,189,T166C,3 - 普通,32 ～ 35,2025年09月,プレミアム,3000,9.5,黒,AC NV TV AW SR 革
キャデラック,キャデラックＸＴ５クロスオーバー 5D 4WD,2018,ＡＴ,48,C1UL,5 - すごくきれい,191 ～ 195,2025年09月,プラチナム,3600,8.2,パール,AC NV TV AW SR 革
キャデラック,キャデラックＳＲＸクロスオーバー 5D 4WD,2016,ＡＴ,58,T166C,5 - すごくきれい,72 ～ 78,2025年09月,ラグジュアリー,3000,,白,AC AW 革
キャデラック,キャデラックＣＴＳスポーツワゴン 5D 2WD,2011,ＡＴ,81,X322C,4 - きれい,31 ～ 34,2025年09月,３．０プレミアム,3000,8.2,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 4WD,2015,ＡＴ,102,4 - きれい,417 ～ 421,nan,2025年09月,,6200,9.11,黒,AC SR 革
キャデラック,キャデラックＸＴ６ 5D 4WD,2021,ＡＴ,32,C1TL,5 - すごくきれい,494 ～ 496,2025年09月,プラチナム,3600,9.9,黒,AC NV TV AW SR 革
キャデラック,キャデラックエスカレード 5D 4WD,2024,ＡＴ,3,T1UL,5 - すごくきれい,1139 ～ 1143,2025年09月,スポーツ,6200,9.12,黒,AC NV TV AW SR 革
