メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
サーブ,９００シリーズ 4D 2WD,2006,ＡＴ,160,EB235,3 - 普通,15 ～ 18,2025年09月,９－５ セダン エアロ,2300,,黒,AC NV TV AW SR 革
サーブ,９－５シリーズ 4D 2WD,2006,ＡＴ,161,EB235,3 - 普通,16 ～ 18,2025年09月,９－５ セダン エアロ,2300,,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ オープン 2WD,2001,ＡＴ,19,DB204,5 - すごくきれい,97 ～ 102,2025年09月,９－３ ２．０ｔカブリオレ,2000,,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ 4WD,2009,ＡＴ,39,FB284,5 - すごくきれい,136 ～ 139,2025年09月,,2800,8.9,黒,AC NV TV AW SR 革
サーブ,９００シリーズ 2WD,1998,ＡＴ,94,EB235,3 - 普通,22 ～ 26,2025年09月,,2300,,グレー,AC NV TV AW SR 革
サーブ,９－５シリーズ 2WD,1998,ＡＴ,100,EB235,3 - 普通,21 ～ 26,2025年09月,,2300,,グレー,AC NV TV AW SR 革
サーブ,９－５シリーズ 2WD,2001,ＡＴ,122,EB235,4 - きれい,22 ～ 27,2025年09月,,2300,,黒,AC AW 革
サーブ,９００シリーズ 2WD,2001,ＡＴ,121,EB235,4 - きれい,23 ～ 28,2025年09月,,2300,,黒,AC AW 革
サーブ,９－５シリーズ 4D 2WD,1999,ＡＴ,109,EB235,4 - きれい,21 ～ 25,2025年09月,９－５ ＳＥ２．３ｔ,2300,,紺,AC
サーブ,９００シリーズ 4D 2WD,1999,ＡＴ,110,EB235,4 - きれい,21 ～ 24,2025年09月,９－５ ＳＥ２．３ｔ,2300,,紺,AC
サーブ,９－５シリーズ 4D 4WD,2011,ＡＴ,4,GA28,4 - きれい,124 ～ 126,2025年09月,９－５ セダン エアロＸＷＤ,2800,,黒,AC NV TV AW SR 革
サーブ,９００シリーズ 4D 4WD,2011,ＡＴ,9,GA28,4 - きれい,122 ～ 128,2025年09月,９－５ セダン エアロＸＷＤ,2800,,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 2WD,2008,ＡＴ,80,FB284,4 - きれい,27 ～ 33,2025年08月,９－３ スポーツエステート エアロ,2800,8.3,青,AC AW 革
サーブ,９００シリーズ 4D 2WD,1993,ＡＴ,201,AB20S,3 - 普通,37 ～ 41,2025年08月,９００ターボ１６,2000,7.8,青,AC NV TV AW SR 革
サーブ,９００シリーズ 4D 2WD,1987,ＡＴ,45,AB20S,4 - きれい,171 ～ 174,2025年08月,９００ターボ１６,2000,9.2,,AC NV TV AW SR 革
サーブ,９００シリーズ 4D 2WD,2012,ＡＴ,17,GA20,5 - すごくきれい,79 ～ 82,2025年08月,９－５ セダン ヴェクター,2000,,黒,AC NV TV AW SR 革
サーブ,９－５シリーズ 4D 2WD,2012,ＡＴ,15,GA20,5 - すごくきれい,77 ～ 81,2025年08月,９－５ セダン ヴェクター,2000,,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 4WD,2021,ＡＴ,50,LB420XCPA,5 - すごくきれい,376 ～ 379,2025年07月,リチャージ ＰＨＶ Ｔ８ ＡＷＤ インスクリプション,2000,7.12,紺,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 4WD,2016,ＡＴ,87,LB420XC,5 - すごくきれい,189 ～ 193,2025年07月,Ｔ６ ＡＷＤ Ｒデザイン,2000,8.12,青,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 4WD,2020,ＡＴ,69,LD4204TXC,5 - すごくきれい,327 ～ 331,2025年07月,Ｄ５ ＡＷＤ インスクリプション,2000,,,AC NV TV AW SR 革
サーブ,９－３シリーズ 4WD,2008,ＡＴ,49,CB6324AW,4 - きれい,20 ～ 24,2025年07月,,3200,,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 4WD,2016,ＡＴ,75,LB420XC,5 - すごくきれい,206 ～ 210,2025年07月,Ｔ６ ＡＷＤ インスクリプション,2000,,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ 4WD,2011,ＡＴ,126,FB207,4 - きれい,31 ～ 34,2025年07月,,2000,9.6,シルバー,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 4WD,2021,ＡＴ,54,LB420TXCM,5 - すごくきれい,387 ～ 390,2025年07月,Ｂ６ ＡＷＤ Ｒデザイン,2000,7.12,黒,AC NV TV AW SR 革
サーブ,９－３シリーズ 5D 4WD,2023,ＡＴ,12,LB420XCP2A,5 - すごくきれい,549 ～ 553,2025年07月,リチャージアルテメットＴ８ＡＷＤプラグインハイブリド,2000,8.3,シルバー,AC NV TV AW SR 革
