メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
スズキ,ハスラー 5D 2WD,2016,ＡＴ,48,MR41S,-1 - 修復歴あり,26 ～ 31,2025年09月,Ｇ,,,パール,660 AC NV TV AW
スズキ,キャリイトラック 2D 4WD,2001,５ＭＴ,153,DA62T,-1 - 修復歴あり,8 ～ 11,2025年09月,ＫＵ,,,白,660 AC NV TV AW 革
スズキ,スイフト 5D 2WD,2010,ＡＴ,188,ZC72S,3 - 普通,10 ～ 13,2025年09月,ＸＧ,1200,,白,AC NV TV AW 革
スズキ,スペーシアカスタム 5D 2WD,2014,ＡＴ,228,MK32S,3 - 普通,4 ～ 8,2025年09月,ＸＳ,,,黒,660 AC NV TV AW 革
スズキ,パレットＳＷ 5D 2WD,2011,ＡＴ,109,MK21S,3 - 普通,1 ～ 7,2025年09月,リミテッド,,,パール,660 AC NV TV AW 革
スズキ,スイフト 2WD,2012,ＡＴ,97,ZC72S,3 - 普通,9 ～ 15,2025年09月,,1200,,青,AC NV TV AW 革
スズキ,スイフト 2WD,2010,ＡＴ,65,ZC72S,-1 - 修復歴あり,12 ～ 17,2025年09月,,1200,,パール,AC
スズキ,パレット 5D 2WD,2011,ＡＴ,147,MK21S,3 - 普通,4 ～ 7,2025年09月,リミテッド,,,青,660 AC NV TV AW 革
スズキ,ワゴンＲ 2WD,2011,ＡＴ,98,MH23S,3 - 普通,7 ～ 9,2025年09月,,,8.6,黒,660 AC NV TV AW 革
スズキ,スイフト 2WD,2013,ＡＴ,121,ZC72S,3 - 普通,11 ～ 15,2025年09月,,1200,8.5,赤,AC NV TV AW 革
スズキ,ワゴンＲ 5D 4WD,2012,ＡＴ,73,MH34S,3 - 普通,16 ～ 18,2025年09月,ＦＸリミテッド,,,シルバー,660 AC NV TV AW 革
スズキ,ハスラー 5D 2WD,2021,ＡＴ,25,MR92S,4 - きれい,135 ～ 138,2025年09月,Ｊスタイル,,8.11,,660 AC NV TV AW 革
スズキ,ハスラー 5D 2WD,2016,５ＭＴ,56,MR31S,4 - きれい,59 ～ 64,2025年09月,オレンジII,,9.10,,660 AC NV TV AW 革
スズキ,ワゴンＲスティングレー 5D 4WD,2011,ＡＴ,106,MH23S,3 - 普通,6 ～ 10,2025年09月,Ｘ,,,黒,660 AC NV TV AW 革
スズキ,スプラッシュ 2WD,2009,ＡＴ,54,XB32S,4 - きれい,11 ～ 16,2025年09月,,1200,8.3,青,AC NV TV AW 革
スズキ,ジムニー 3D 4WD,2012,５ＭＴ,37,JB23W,3 - 普通,64 ～ 70,2025年09月,ＸＧ,,,青,660 AC NV TV AW 革
スズキ,ランディ 5D 4WD,2012,ＡＴ,198,SNC26,-1 - 修復歴あり,5 ～ 11,2025年09月,ライトブルー,2000,,,AC NV TV AW 革
スズキ,キャリイトラック 2D 4WD,2005,５ＭＴ,122,DA63T,2 - 修復必要,13 ～ 16,2025年09月,ＫＣ,,,白,660 AC NV TV AW 革
スズキ,スイフト 2WD,2011,ＡＴ,119,ZC72S,3 - 普通,9 ～ 15,2025年09月,,1200,,青,AC NV TV AW 革
スズキ,スペーシアギア 5D 2WD,2020,ＡＴ,43,MK53S,5 - すごくきれい,108 ～ 113,2025年09月,ハイブリッドＸＺ,,,赤,660 AC NV TV AW 革
スズキ,ワゴンＲ 5D 2WD,2009,ＡＴ,51,MH23S,3 - 普通,6 ～ 10,2025年09月,ＦＸリミテッド,,8.5,パープル,660 AC AW
スズキ,パレットＳＷ 5D 2WD,2009,ＡＴ,102,MK21S,-1 - 修復歴あり,1 ～ 6,2025年09月,ＸＳ,,,黒,660 AC NV TV AW 革
スズキ,スイフト 5D 2WD,2024,ＡＴ,1,ZCDDS,5 - すごくきれい,121 ～ 127,2025年09月,ＸＧ,1200,9.4,シルバー,AC NV TV AW 革
スズキ,パレット 5D 2WD,2009,ＡＴ,166,MK21S,3 - 普通,1 ～ 5,2025年09月,Ｔ,,8.9,黒,660 AC NV TV AW 革
スズキ,ワゴンＲ 5D 2WD,2010,ＡＴ,135,MH23S,3 - 普通,0 ～ 5,2025年09月,ＦＸリミテッドII,,,黒,660 AC NV TV AW 革
スズキ,パレットＳＷ 5D 4WD,2010,ＡＴ,110,MK21S,3 - 普通,12 ～ 17,2025年09月,ＸＳ,,,パール,660 AC NV TV AW 革
スズキ,スーパーキャリイ 2D 4WD,2018,ＡＴ,5,DA16T,4 - きれい,80 ～ 84,2025年09月,Ｌグリーン,,8.7,,660 AC NV TV AW 革
スズキ,ワゴンＲ 5D 2WD,2013,ＡＴ,75,MH34S,3 - 普通,13 ～ 17,2025年09月,ＦＸリミテッド,,8.11,黒,660 AC AW
スズキ,キャリイトラック 2D 4WD,1997,５ＭＴ,133,DD51T,3 - 普通,11 ～ 15,2025年09月,ＫＵ,,8.5,白,660 AC AW 革
スズキ,ハスラー 5D 2WD,2024,ＡＴ,1,MR52S,5 - すごくきれい,128 ～ 134,2025年09月,ハイブリッドＧターボ,,9.2,,660 AC NV TV AW 革
スズキ,ワゴンＲ 5D 4WD,2017,ＡＴ,160,MH55S,3 - 普通,27 ～ 33,2025年09月,ハイブリッドＦＺ,,8.1,パール,660 AC
スズキ,スペーシアベース 5D 4WD,2023,ＡＴ,14,MK33V,-1 - 修復歴あり,78 ～ 84,2025年09月,ＸＦ,,,グレー,660 AC NV TV AW 革
スズキ,キャリイトラック 2D 4WD,1999,５ＭＴ,104,DB52T,3 - 普通,9 ～ 13,2025年09月,ＫＡ,,,白,660 AC
