メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
スバル,インプレッサスポーツ 5D 4WD,2012,ＡＴ,120,GP3,4 - きれい,14 ～ 18,2025年09月,１．６ｉ－Ｌ,1600,,パール,AC NV TV AW 革
スバル,フォレスター 4WD,2011,ＡＴ,74,SHJ,3 - 普通,36 ～ 40,2025年09月,,2000,,シルバー,AC NV TV AW SR 革
スバル,インプレッサＧ４ 4WD,2016,ＡＴ,99,GJ3,3 - 普通,6 ～ 9,2025年09月,,1600,,黒,AC NV TV AW 革
スバル,ＸＶハイブリッド 5D 4WD,2013,ＡＴ,259,GPE,3 - 普通,11 ～ 14,2025年09月,２．０ｉ－Ｌ アイサイト,2000,8.11,シルバー,AC NV TV AW 革
スバル,レガシィＢ４ 4D 4WD,2016,ＡＴ,170,BN9,3 - 普通,27 ～ 30,2025年09月,ベースグレード,2500,,パール,AC NV TV AW SR 革
スバル,サンバートラック 2D 2WD,2014,ＡＴ,117,S201J,3 - 普通,14 ～ 19,2025年09月,ＴＣ,,8.5,シルバー,660 AC NV TV AW SR 革
スバル,インプレッサ 4DHT 2WD,2007,ＡＴ,55,GDC,-1 - 修復歴あり,14 ～ 17,2025年09月,１．５Ｒ,1500,8.4,青,AC NV TV AW 革
スバル,インプレッサ 4DHT 4WD,2004,ＡＴ,216,GD3,2 - 修復必要,6 ～ 11,2025年09月,１５ｉ ５０ｔｈアニバーサリー,1500,,緑,AC NV TV AW SR 革
スバル,フォレスター 5D 4WD,2010,５ＭＴ,147,SH5,3 - 普通,22 ～ 26,2025年09月,２．０ＸＳ,2000,,グレー,AC AW
スバル,インプレッサスポーツ 5D 2WD,2013,ＡＴ,121,GP2,-1 - 修復歴あり,18 ～ 24,2025年09月,１．６ｉ－Ｌ,1600,8.5,パール,AC NV TV AW 革
スバル,レガシィＢ４ 4D 4WD,2014,ＡＴ,148,BN9,3 - 普通,17 ～ 22,2025年09月,リミテッド,2500,8.2,紺,AC NV TV AW SR 革
スバル,ＸＶ 5D 4WD,2019,ＡＴ,45,GT7,4 - きれい,120 ～ 123,2025年09月,２．０ｉ－Ｌ アイサイト,2000,8.8,青,AC NV TV AW 革
スバル,ＸＶ 5D 4WD,2012,ＡＴ,65,GP7,3 - 普通,36 ～ 41,2025年09月,２．０ｉ－Ｌ アイサイト,2000,,オレンジ,AC NV TV AW 革
スバル,ルクラ 5D 4WD,2010,ＣＡＴ,92,L465F,2 - 修復必要,0 ～ 6,2025年09月,Ｌ,,,シルバー,660 AC NV TV AW SR 革
スバル,ステラ 5D 2WD,2011,ＡＴ,91,RN1,3 - 普通,0 ～ 4,2025年09月,カスタムＲリミテッド,,8.9,黒,660 AC NV TV AW SR 革
スバル,シフォン 5D 4WD,2019,ＡＴ,87,LA610F,3 - 普通,55 ～ 58,2025年09月,カスタムＲ スペシャル スマートアシスト,,,パープル,660 AC NV TV AW SR 革
スバル,ステラ 5D 4WD,2022,ＡＴ,24,LA160F,3 - 普通,78 ～ 82,2025年09月,Ｌ スマートアシスト,,,黒,660 AC NV TV AW SR 革
スバル,レヴォーグ 5D 4WD,2014,ＡＴ,56,VM4,4 - きれい,94 ～ 99,2025年09月,１．６ＧＴ－Ｓアイサイト,1600,,グレー,AC NV TV AW SR 革
スバル,ＸＶ 5D 4WD,2015,ＡＴ,26,GP7,4 - きれい,55 ～ 58,2025年09月,２．０ｉ,2000,,シルバー,AC NV TV AW SR 革
スバル,インプレッサ 5D 4WD,2011,５ＭＴ,30,GH8,-1 - 修復歴あり,39 ～ 44,2025年09月,２．０ＧＴ,2000,8.1,パール,AC NV TV AW 革
スバル,インプレッサスポーツ 5D 2WD,2020,ＡＴ,66,GT2,4 - きれい,69 ～ 73,2025年09月,１．６ｉ－Ｌアイサイト,1600,,シルバー,AC NV TV AW SR 革
スバル,レガシィツーリングワゴン 5D 4WD,2013,ＡＴ,119,BRM,4 - きれい,16 ～ 19,2025年09月,２．５ｉアイサイト,2500,8.6,パール,AC NV TV AW SR 革
スバル,インプレッサスポーツ 5D 2WD,2020,ＡＴ,36,GT2,4 - きれい,80 ～ 84,2025年09月,１．６ｉ－Ｌアイサイト,1600,,シルバー,AC NV TV AW SR 革
スバル,フォレスター 5D 4WD,2020,ＡＴ,30,SKE,4 - きれい,215 ～ 221,2025年09月,アドバンス,2000,,パール,AC NV TV AW SR 革
スバル,エクシーガ 5D 4WD,2015,ＡＴ,119,YAM,-1 - 修復歴あり,16 ～ 21,2025年09月,２．５ｉスペックＢ アイサイト,2500,7.11,紺,AC NV TV AW 革
スバル,ＸＶハイブリッド 5D 4WD,2014,ＡＴ,80,GPE,3 - 普通,29 ～ 31,2025年09月,２．０ｉ－Ｌ アイサイト,2000,,シルバー,AC NV TV AW SR 革
スバル,インプレッサアネシス 4D 4WD,2010,ＡＴ,100,GE3,3 - 普通,6 ～ 10,2025年09月,１．５ｉ,1500,7.11,シルバー,AC NV TV AW 革
スバル,インプレッサ 5D 4WD,2010,ＡＴ,84,GH3,2 - 修復必要,5 ～ 11,2025年09月,１．５ｉ,1500,,黒,AC NV TV AW SR 革
スバル,ステラ 5D 2WD,2010,ＡＴ,121,RN1,-1 - 修復歴あり,2 ～ 5,2025年09月,リベスタ,,7.9,パール,660 AC NV TV AW SR 革
スバル,インプレッサスポーツ 5D 4WD,2016,ＡＴ,104,GP3,4 - きれい,50 ～ 53,2025年09月,１．６ｉ－Ｌアイサイト,1600,,グレー,AC NV TV AW 革
スバル,フォレスター 5D 4WD,2013,ＡＴ,119,SJ5,4 - きれい,54 ～ 58,2025年09月,２．０ｉ－Ｓ アイサイト,2000,,パール,AC NV TV AW SR 革
スバル,インプレッサスポーツ 5D 2WD,2013,ＡＴ,49,GP2,-1 - 修復歴あり,6 ～ 11,2025年09月,１．６ｉ－Ｌ,1600,8.8,シルバー,AC NV TV AW 革
スバル,レヴォーグ 5D 4WD,2015,ＡＴ,235,VM4,3 - 普通,20 ～ 22,2025年09月,１．６ＧＴ－Ｓアイサイト,1600,,グレー,AC NV TV AW SR 革
スバル,フォレスター 5D 4WD,2008,ＡＴ,68,SH5,3 - 普通,31 ～ 36,2025年09月,２．０ＸＳ,2000,9.1,パール,AC AW
スバル,サンバートラック 2D 2WD,1995,５ＭＴ,8,KS3,3 - 普通,12 ～ 16,2025年09月,ベースグレード,,,白,660 AC NV TV AW SR 革
スバル,ＢＲＺ クーペ 2WD,2012,ＡＴ,93,ZC6,3 - 普通,53 ～ 59,2025年09月,Ｓ,2000,,パール,AC NV TV AW 革
スバル,インプレッサＧ４ 4D 4WD,2016,ＡＴ,133,GK7,3 - 普通,29 ～ 32,2025年09月,２．０ｉ－Ｌ アイサイト,2000,,赤,AC NV TV AW SR 革
スバル,レガシィランカスター 5D 4WD,2000,ＡＴ,108,BHE,3 - 普通,22 ～ 25,2025年09月,ランカスター６,3000,,パール,AC NV TV AW SR 革
スバル,インプレッサＧ４ 4D 2WD,2013,ＡＴ,86,GJ2,-1 - 修復歴あり,14 ～ 18,2025年09月,１．６ｉ－Ｌ,1600,,紺,AC NV TV AW SR 革
スバル,フォレスター 5D 4WD,2002,ＡＴ,136,SG5,3 - 普通,20 ～ 23,2025年09月,ＸＴ,2000,,白,AC AW
スバル,インプレッサスポーツ 5D 2WD,2016,ＡＴ,97,GT6,5 - すごくきれい,49 ～ 53,2025年09月,２．０ｉ－Ｌアイサイト,2000,,シルバー,AC NV TV AW SR 革
スバル,サンバーバン 5D 2WD,2009,ＡＴ,109,TV1,3 - 普通,8 ～ 12,2025年09月,ディアス,,,ベージュ,660 AC NV TV AW SR 革
スバル,ＸＶ 5D 4WD,2018,ＡＴ,58,GT7,3 - 普通,109 ～ 112,2025年09月,２．０ｉ－Ｓ アイサイト,2000,,グレー,AC NV TV AW SR 革
スバル,ステラ 5D 2WD,2013,ＡＴ,88,LA100F,4 - きれい,5 ～ 7,2025年09月,Ｌリミテッド,,8.3,シルバー,660 AC NV TV AW SR 革
スバル,レガシィツーリングワゴン 5D 4WD,2008,ＡＴ,103,BPE,3 - 普通,21 ～ 26,2025年09月,３．０Ｒ ＳＩクルーズ,3000,,グレー,AC NV TV AW SR 革
スバル,ＸＶ 5D 4WD,2013,ＡＴ,115,GP7,2 - 修復必要,13 ～ 18,2025年09月,２．０ｉ－Ｌ アイサイト,2000,,パール,AC NV TV AW 革
スバル,インプレッサ 5D 2WD,2009,ＡＴ,88,GH2,-1 - 修復歴あり,8 ～ 11,2025年09月,１．５ｉ－Ｌ,1500,,シルバー,AC NV TV AW SR 革
スバル,レガシィＢ４ 4D 4WD,2015,ＡＴ,80,BN9,-1 - 修復歴あり,40 ～ 43,2025年09月,リミテッド,2500,8.9,パール,AC NV TV AW SR 革
スバル,プレオ 5D 2WD,2006,５ＭＴ,38,RV1,4 - きれい,5 ～ 10,2025年09月,Ａ,,8.6,シルバー,660 AC NV TV AW SR 革
スバル,フォレスター 5D 4WD,2021,ＡＴ,41,SK5,-1 - 修復歴あり,293 ～ 295,2025年09月,スポーツ,1800,8.6,パール,AC NV TV AW SR 革
スバル,サンバートラック 2D 4WD,1997,５ＭＴ,77,KS4,3 - 普通,6 ～ 10,2025年09月,ベースグレード,,,白,660 AC
スバル,インプレッサスポーツ 5D 2WD,2016,ＡＴ,27,GT2,5 - すごくきれい,50 ～ 53,2025年09月,１．６ｉ－Ｌアイサイト,1600,8.1,赤,AC NV TV AW
