メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備,グレード_fixed,排気量_fixed,車検_fixed,色_fixed,装備_fixed
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備,グレード,,,,排気量
テスラ,モデル３ 4WD,2020,ＡＴ,3L23,4.5,nan,nan,null年 月,,0,,パール,AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,29,YL1YT,5 - すごくきれい,252 ～ 256,2025年09月,ガンＭ,,,,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2023,ＣＡＴ,17,3L23T,3 - 普通,220 ～ 223,2025年09月,,,8.4,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,23,3L23,4 - きれい,195 ～ 199,2025年09月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2020,ＣＡＴ,158,3L23,3 - 普通,119 ～ 122,2025年09月,,,,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 4WD,2020,ＣＡＴ,50,3L23P,5 - すごくきれい,191 ～ 197,2025年09月,パフォーマンス,,,黒,000 AC SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＣＡＴ,28,3L23T,5 - すごくきれい,233 ～ 238,2025年09月,,,,青,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2023,ＣＡＴ,33,3L13T,5 - すごくきれい,238 ～ 243,2025年09月,,,9.2,白,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＣＡＴ,15,3L13T,5 - すごくきれい,195 ～ 199,2025年09月,ガンＭ,,,,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＳ 2WD,2019,ＡＴ,46,5 - すごくきれい,230 ～ 234,nan,2025年09月,,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,40,3L23,5 - すごくきれい,203 ～ 207,2025年09月,,,8.7,グレー,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,90,3L13,5 - すごくきれい,140 ～ 144,2025年09月,スタンダードレンジプラス,,,パール,000 AC NV TV AW,,,,,
テスラ,モデル３ 4WD,2024,ＡＴ,3,3L23T,5 - すごくきれい,394 ～ 400,2025年09月,,,9.7,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2021,ＡＴ,91,3L23,4 - きれい,138 ～ 142,2025年09月,,,,パール,000 AC NV TV AW 革,,,,,
テスラ,モデル３ 5D 2WD,2021,ＡＴ,47,3L13B,5 - すごくきれい,177 ～ 182,2025年09月,スタンダードレンジプラス,,8.8,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,34,YL1YT,5 - すごくきれい,275 ～ 278,2025年09月,,,7.9,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 2WD,2022,ＡＴ,32,3L13T,5 - すごくきれい,214 ～ 217,2025年09月,,,,パール,000 AC NV TV AW SR,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,33,YL1YT,5 - すごくきれい,268 ～ 273,2025年09月,,,,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2022,ＣＡＴ,57,YL1YT,5 - すごくきれい,231 ～ 236,2025年09月,ＲＷＤ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 5D 2WD,2022,ＣＡＴ,20,YL1YT,5 - すごくきれい,280 ～ 284,2025年09月,ＲＷＤ,,,パール,000 AC NV TV AW SR 革,,,,,
テスラ,モデルＹ 2WD,2022,ＣＡＴ,53,YL1YT,5 - すごくきれい,250 ～ 253,2025年09月,,,,黒,000 AC NV TV AW SR 革,,,,,
テスラ,モデル３ 4WD,2022,ＡＴ,51,3L23T,5 - すごくきれい,227 ～ 231,2025年09月,,,7.10,白,000 AC NV TV AW 革,,,,,
