メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ビュイック,ビュイックリーガル 5D 2WD,1995,ＣＡＴ,126,BA43CW,3 - 普通,35 ～ 39,2025年09月,エステートワゴン,3100,,青,AC NV TV AW SR 革
ビュイック,ビュイックリーガル 5D 2WD,1996,ＣＡＴ,164,BA43CW,3 - 普通,47 ～ 51,2025年09月,,3100,8.1,白II,AC AW
ビュイック,ビュイックリーガル 5D 2WD,1994,ＣＡＴ,83,BA43CW,3 - 普通,120 ～ 123,2025年08月,,3100,7.8,ライトブルーII,AC
ビュイック,ビュイックパークアベニュー 2WD,1994,ＣＡＴ,87,BC33D,3 - 普通,38 ～ 44,2025年05月,,3800,8.2,紺,AC NV TV AW SR 革
ビュイック,ビュイックパークアベニュー 2WD,1994,ＣＡＴ,82,BC33D,3 - 普通,38 ～ 44,2025年05月,,3800,7.9,紺,AC NV TV AW SR 革
ビュイック,ビュイックリーガル 5D 2WD,1994,ＣＡＴ,998,BA43CW,3 - 普通,7 ～ 10,2025年03月,エステートワゴン,3100,,緑,AC NV TV AW SR 革
ビュイック,ビュイックパークアベニュー 2WD,1993,ＣＡＴ,32,BC33D,3 - 普通,55 ～ 60,2025年03月,,3800,,黒,AC NV TV AW SR 革
ビュイック,ビュイックリーガル 4D 2WD,1993,ＡＴ,44,BA43B,4 - きれい,48 ～ 50,2025年02月,セダン,3300,,シルバー,AC AW
ビュイック,ビュイックリーガル 5D 2WD,1996,ＡＴ,167,3 - 普通,27 ～ 32,,2025年02月,エステートワゴン,3100,7.1,白II,AC NV TV AW SR 革
ビュイック,ビュイックロードマスター 5D 2WD,2001,ＣＡＴ,126,-1 - 修復歴あり,11 ～ 15,,2025年02月,ワゴン,5700,,白II,AC NV TV AW SR 革
ビュイック,ビュイックリーガル 4D 2WD,1992,ＡＴ,121,BA43B,4 - きれい,31 ～ 36,2025年01月,セダン,3300,,青,AC NV TV AW SR 革
ビュイック,ビュイックリーガル 2WD,2022,ＣＡＴ,140,-1 - 修復歴あり,120 ～ 126,,2025年01月,,3800,,青,
ビュイック,ビュイックパークアベニュー 4D 2WD,2002,ＡＴ,122,3 - 普通,10 ～ 13,,2025年01月,ウルトラ,3800,7.6,白,AC NV TV AW SR 革
ビュイック,ビュイック アンクレイブ 4WD,2009,ＡＴ,86,4 - きれい,22 ～ 28,,2024年04月,,3600,,黒,AC NV TV AW SR 革
ビュイック,ビュイック アンクレイブ 4WD,2009,ＡＴ,84,4 - きれい,24 ～ 28,,2024年04月,,3600,,黒,AC NV TV AW SR 革
ビュイック,ビュイック アンクレイブ 4WD,2009,ＡＴ,86,4 - きれい,24 ～ 28,,2024年04月,,3600,,黒,AC NV TV AW SR 革
ビュイック,ビュイックロードマスター 4D 2WD,1998,ＣＡＴ,157,3 - 普通,79 ～ 83,,2024年02月,ベースグレード,5700,6.4,白II,AC 革
