メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
フィアット,５００ 3D 2WD,2008,ＡＴ,49,31214,5 - すごくきれい,10 ～ 16,2025年09月,１．４ １６Ｖ ラウンジ ＳＳ,1400,,白,AC NV TV AW SR 革
フィアット,パンダ 5D 4WD,2014,６ＭＴ,79,13909,4 - きれい,12 ～ 18,2025年09月,４×４,,,赤,900 AC NV TV AW 革
フィアット,５００ 3D 2WD,2013,ＡＴ,82,31209,4 - きれい,22 ～ 26,2025年09月,ツインエア ラウンジ,,,白,900 AC NV TV AW SR 革
フィアット,５００ 3D 2WD,2010,ＡＴ,63,31212,-1 - 修復歴あり,6 ～ 11,2025年09月,１．２ ラウンジ,1200,,,AC SR
フィアット,５００Ｃ 3D 2WD,2023,ＡＴ,19,31209,5 - すごくきれい,212 ～ 215,2025年09月,ツインエア ドルチェヴィータ,,8.4,グレー,900 AC NV TV AW SR 革
フィアット,パンダ 5D 4WD,2015,６ＭＴ,101,13909,4 - きれい,15 ～ 17,2025年09月,４×４,,8.5,赤,900 AC NV TV AW SR 革
フィアット,５００ 3D 2WD,2012,５ＭＴ,139,31209,4 - きれい,11 ～ 14,2025年09月,ツインエア スポーツプラス,,,,900 AC AW
フィアット,５００Ｘ 5D 2WD,2016,ＡＴ,50,33414,3 - 普通,32 ～ 37,2025年09月,ポップスター,1400,,赤,AC NV TV AW SR 革
フィアット,５００ 3D 2WD,2010,ＡＴ,98,31212,3 - 普通,6 ～ 12,2025年09月,１．２ ８Ｖ ラウンジ,1200,9.3,白,AC SR
フィアット,５００ 3D 2WD,2018,ＡＴ,55,31209,5 - すごくきれい,69 ～ 75,2025年09月,ツインエア ラウンジ,,8.11,白,900 AC AW SR
フィアット,５００ 3D 2WD,2015,ＡＴ,40,31212,4 - きれい,30 ～ 34,2025年09月,スーパーポップ アウグーリ！,1200,,白,AC NV TV
フィアット,５００ 3D 2WD,2024,ＡＴ,7,31212,3 - 普通,128 ～ 133,2025年09月,１．２ カルト,1200,9.2,赤,AC AW
フィアット,５００ 2WD,2010,ＡＴ,72,31212,4 - きれい,6 ～ 11,2025年09月,ライトブルー,1200,,,AC
フィアット,５００ 2WD,2018,ＡＴ,59,31212,5 - すごくきれい,51 ～ 55,2025年09月,,1200,7.9,白,AC
フィアット,５００Ｘ 5D 4WD,2018,ＡＴ,63,33414,4 - きれい,89 ～ 95,2025年09月,エクストリーム,1400,8.1,黒,AC NV TV AW SR 革
フィアット,５００ 3D 2WD,2018,ＡＴ,55,31209,4 - きれい,50 ～ 54,2025年09月,ツインエア ラウンジ,,8.12,赤,900 AC AW SR
フィアット,５００Ｘ 5D 2WD,2022,ＡＴ,5,33413PM,5 - すごくきれい,176 ～ 180,2025年09月,インフィニート,1300,,白,AC NV TV AW 革
フィアット,パンダ 2WD,2001,５ＭＴ,117,2 - 修復必要,12 ～ 17,nan,2025年09月,,1100,8.3,青,AC
フィアット,５００Ｃ 2WD,2016,ＡＴ,59,31212,4 - きれい,21 ～ 26,2025年09月,,1200,,白,AC AW
フィアット,５００ 2WD,2015,ＡＴ,20,31212,4 - きれい,30 ～ 35,2025年09月,,1200,8.9,白,AC
フィアット,５００ 3D 2WD,2018,ＡＴ,48,31212,4 - きれい,53 ～ 55,2025年09月,スーパーポップ １０ｔｈアニバーサリー,1200,,,AC
フィアット,５００ 2WD,2017,ＡＴ,71,31209,-1 - 修復歴あり,26 ～ 30,2025年09月,,,9.9,白,900 AC SR 革
フィアット,５００ 3D 2WD,2017,ＡＴ,37,31209,5 - すごくきれい,65 ～ 68,2025年09月,ツインエア ラウンジ,,,白,900 AC NV TV AW SR
フィアット,５００ 3D 2WD,2017,ＡＴ,103,31209,4 - きれい,19 ～ 21,2025年09月,ツインエア ポップ,,8.12,黄,900 AC
フィアット,パンダ 5D 2WD,2019,ＡＴ,39,13909,4 - きれい,21 ～ 25,2025年09月,イージー,,8.1,白,900 AC NV TV AW SR 革
フィアット,５００ 3D 2WD,2014,ＡＴ,94,31212,4 - きれい,13 ～ 17,2025年09月,１．２ ポップ,1200,8.4,白,AC AW
フィアット,５００ 3D 2WD,2013,ＡＴ,93,-1 - 修復歴あり,13 ～ 16,nan,2025年09月,バイ グッチ,1200,8.10,パール,AC AW SR 革
