メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
フェラーリ,ローマ 2WD,2024,ＡＴ,1,F164BAA,5 - すごくきれい,3248 ～ 3253,2025年09月,,3900,9.12,パール,AC NV TV AW SR 革
フェラーリ,２９６ＧＴＢ 2WD,2025,ＡＴ,2,171K,5 - すごくきれい,2750 ～ 2752,2025年09月,,3000,9.12,赤,AC NV TV AW SR 革
フェラーリ,２９６ＧＴＢ 2WD,2023,ＡＴ,3,171K,5 - すごくきれい,2592 ～ 2596,2025年09月,,3000,8.3,赤,AC NV TV AW 革
フェラーリ,２９６ＧＴＳ 2WD,2024,ＡＴ,1,171K,5 - すごくきれい,3286 ～ 3292,2025年09月,,3000,9.5,白,AC NV TV AW SR 革
フェラーリ,２９６ＧＴＢ 2WD,2024,ＡＴ,2,171K,5 - すごくきれい,2749 ～ 2752,2025年09月,,3000,9.8,赤,AC NV TV AW 革
フェラーリ,３６０ クーペ 2WD,1999,ＡＴ,61,F360,4 - きれい,728 ～ 731,2025年09月,モデナ,3600,7.12,黒,AC NV TV AW SR 革
フェラーリ,ＳＦ９０ストラダーレ クーペ 4WD,2022,ＡＴ,4,173H,5 - すごくきれい,3775 ～ 3778,2025年09月,アセットフィオラノ,4000,,赤,AC NV TV AW SR 革
フェラーリ,Ｆ１２ベルリネッタ クーペ 2WD,2015,ＡＴ,10,F152,5 - すごくきれい,2582 ～ 2588,2025年09月,ベースグレード,6300,8.12,白,AC NV TV AW SR 革
フェラーリ,Ｆ１２ベルリネッタ クーペ 2WD,2013,ＡＴ,28,F152,4 - きれい,2227 ～ 2231,2025年09月,ベースグレード,6300,9.4,白,AC NV TV AW 革
フェラーリ,ＳＦ９０スパイダー オープン 4WD,2025,ＡＴ,1,173H,5 - すごくきれい,4696 ～ 4701,2025年09月,ベースグレード,4000,9.12,黒,AC NV TV AW SR 革
フェラーリ,ローマ クーペ 2WD,2022,ＡＴ,3,F164BAA,5 - すごくきれい,2389 ～ 2392,2025年09月,ベースグレード,3900,,,AC NV TV AW
フェラーリ,ローマ 2WD,2022,ＡＴ,24,F164BAA,5 - すごくきれい,1753 ～ 1757,2025年09月,,3900,9.5,,AC NV TV AW 革
フェラーリ,５９９ クーペ 2WD,2009,ＡＴ,52,F599,4 - きれい,1249 ～ 1254,2025年09月,Ｆ１,6000,8.9,シルバー,AC NV TV AW SR 革
フェラーリ,２９６ＧＴＢ 2WD,2024,ＡＴ,6,171K,5 - すごくきれい,2669 ～ 2673,2025年09月,,3000,9.8,赤,AC NV TV AW 革
フェラーリ,ポルトフィーノＭ オープン 2WD,2023,ＡＴ,5,F164BCA,5 - すごくきれい,2666 ～ 2669,2025年09月,ベースグレード,3900,7.12,白,AC NV TV AW SR 革
フェラーリ,ＧＴＣ４ルッソ クーペ 4WD,2017,ＡＴ,11,F151BME,5 - すごくきれい,1949 ～ 1953,2025年09月,ベースグレード,6300,8.9,白,AC NV TV AW SR 革
フェラーリ,ポルトフィーノ オープン 2WD,2020,ＡＴ,11,5 - すごくきれい,1848 ～ 1852,nan,2025年09月,ベースグレード,3900,7.6,白,AC NV TV AW SR 革
フェラーリ,カリフォルニア オープン 2WD,2011,ＡＴ,30,F149,5 - すごくきれい,904 ～ 907,2025年09月,ベースグレード,4300,9.1,白,AC NV TV AW SR 革
フェラーリ,Ｆ８スパイダー オープン 2WD,2022,ＡＴ,3,F142CE,5 - すごくきれい,3721 ～ 3723,2025年09月,ベースグレード,3900,,白,AC NV TV AW SR 革
フェラーリ,５７５ クーペ 2WD,2003,ＡＴ,25,F575M,4 - きれい,906 ～ 910,2025年09月,Ｍ マラネロ Ｆ１,5700,7.11,シルバー,AC NV TV AW SR 革
フェラーリ,２９６ＧＴＢ クーペ 2WD,2024,ＡＴ,3,171K,5 - すごくきれい,2894 ～ 2900,2025年09月,ベースグレード,3000,9.10,グレー,AC NV TV AW 革
フェラーリ,ＧＴＣ４ルッソ クーペ 2WD,2020,ＡＴ,6,F151CME,5 - すごくきれい,2054 ～ 2058,2025年09月,Ｔ,3900,9.5,黄,AC NV TV AW SR 革
フェラーリ,８１２ＧＴＳ 2WD,2020,ＡＴ,5,F152BE,5 - すごくきれい,4894 ～ 4897,2025年09月,,6500,8.2,赤,AC NV TV AW SR 革
フェラーリ,４８８ＧＴＢ クーペ 2WD,2016,ＡＴ,38,F142B,5 - すごくきれい,1798 ～ 1803,2025年09月,ベースグレード,3900,7.12,白,AC NV TV AW SR 革
フェラーリ,カリフォルニア オープン 2WD,2009,ＡＴ,11,F149,5 - すごくきれい,932 ～ 934,2025年09月,ベースグレード,4300,7.10,赤,AC NV TV AW 革
フェラーリ,カリフォルニア オープン 2WD,2010,ＡＴ,33,F149,5 - すごくきれい,924 ～ 928,2025年09月,ベースグレード,4300,7.12,赤,AC NV TV AW 革
フェラーリ,４８８スパイダー オープン 2WD,2016,ＡＴ,40,F142B,5 - すごくきれい,2239 ～ 2243,2025年09月,ベースグレード,3900,8.3,パール,AC NV TV AW SR 革
フェラーリ,３６０ オープン 2WD,2004,ＡＴ,18,F360S,4 - きれい,724 ～ 729,2025年09月,Ｆ１スパイダー,3600,,赤,AC 革
フェラーリ,ローマ 2WD,2024,ＡＴ,2,F164BAA,5 - すごくきれい,3172 ～ 3177,2025年09月,,3900,9.7,青,AC NV TV AW 革
フェラーリ,３６０ クーペ 2WD,2002,６ＭＴ,33,5 - すごくきれい,1515 ～ 1517,nan,2025年09月,モデナ,3600,7.8,赤,AC AW
フェラーリ,２９６ＧＴＢ クーペ 2WD,2025,ＡＴ,1,171K,5 - すごくきれい,2798 ～ 2802,2025年09月,ベースグレード,3000,10.10,赤,AC NV TV AW 革
フェラーリ,４３０スクーデリア クーペ 2WD,2008,ＡＴ,19,F430SC,4 - きれい,2771 ～ 2775,2025年09月,,4300,,黒,AC NV TV AW SR 革
フェラーリ,３６０ オープン 2WD,2001,ＡＴ,30,F360S,5 - すごくきれい,712 ～ 716,2025年09月,Ｆ１スパイダー,3600,8.7,,AC AW 革
フェラーリ,ポルトフィーノ オープン 2WD,2018,ＡＴ,6,F164BCA,5 - すごくきれい,1826 ～ 1830,2025年09月,ベースグレード,3900,7.9,緑,AC
フェラーリ,ローマ クーペ 2WD,2023,ＡＴ,0,F164BAA,5 - すごくきれい,1999 ～ 2003,2025年09月,ベースグレード,3900,8.3,黒,AC NV TV AW 革
フェラーリ,ローマ クーペ 2WD,2022,ＡＴ,6,F164BAA,5 - すごくきれい,2087 ～ 2090,2025年09月,ベースグレード,3900,8.1,白,AC NV TV AW 革
フェラーリ,カリフォルニアＴ オープン 2WD,2015,ＡＴ,6,F149DD,5 - すごくきれい,1268 ～ 1273,2025年09月,ベースグレード,3900,9.1,赤,AC NV TV AW SR 革
フェラーリ,ＧＴＣ４ルッソ クーペ 2WD,2017,ＡＴ,22,F151CME,5 - すごくきれい,1854 ～ 1857,2025年09月,Ｔ,3900,9.2,黒,AC NV TV AW 革
フェラーリ,ポルトフィーノ オープン 2WD,2019,ＡＴ,6,F164BCA,5 - すごくきれい,1876 ～ 1881,2025年09月,ベースグレード,3900,8.3,赤,AC NV TV AW 革
フェラーリ,ＧＴＣ４ルッソ クーペ 2WD,2017,ＡＴ,25,F151CME,5 - すごくきれい,1706 ～ 1712,2025年09月,Ｔ,3900,8.7,白,AC NV TV AW 革
フェラーリ,ローマ 2WD,2025,ＡＴ,3,F164BAA,5 - すごくきれい,3183 ～ 3185,2025年09月,,3900,9.11,青,AC NV TV AW 革
フェラーリ,４８８スパイダー オープン 2WD,2016,ＡＴ,14,5 - すごくきれい,2030 ～ 2033,nan,2025年09月,ベースグレード,3900,,青,AC AW
フェラーリ,ローマ クーペ 2WD,2021,ＡＴ,5,F164BAA,5 - すごくきれい,2029 ～ 2032,2025年09月,ベースグレード,3900,,ゴールド,AC NV TV AW 革
フェラーリ,８１２スーパーファスト クーペ 2WD,2018,ＡＴ,37,F152BCE,5 - すごくきれい,2900 ～ 2903,2025年09月,ベースグレード,6500,9.4,グレー,AC NV TV AW SR 革
フェラーリ,プロサングエ 5D 4WD,2025,ＡＴ,3,F175AHA,5 - すごくきれい,7384 ～ 7388,2025年09月,,6500,10.9,白,AC NV TV AW SR 革
フェラーリ,カリフォルニアＴ オープン 2WD,2017,ＡＴ,36,F149DD,5 - すごくきれい,1161 ～ 1163,2025年09月,ベースグレード,3900,8.12,,AC NV TV AW 革
フェラーリ,Ｆ１２ベルリネッタ クーペ 2WD,2015,ＡＴ,21,F152,5 - すごくきれい,2380 ～ 2385,2025年09月,ベースグレード,6300,8.9,黒,AC NV TV AW 革
フェラーリ,ローマ 2WD,2021,ＡＴ,39,F164BAA,5 - すごくきれい,1757 ～ 1761,2025年08月,,3900,8.12,黒,AC NV TV AW 革
フェラーリ,２９６ＧＴＢ 2WD,2023,ＡＴ,1,171K,5 - すごくきれい,2797 ～ 2801,2025年08月,,3000,8.5,赤,AC NV TV AW SR 革
