メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
フォード,マスタング 2WD,2013,ＡＴ,112,4 - きれい,166 ～ 170,nan,2025年09月,,5000,8.4,黒,AC NV TV AW SR 革
フォード,エコスポーツ 5D 2WD,2015,ＡＴ,63,MAJUEJ,3 - 普通,20 ～ 24,2025年09月,タイタニアム,1500,,白,AC NV TV AW SR 革
フォード,エスケープ 5D 4WD,2006,ＡＴ,170,LFAL3,3 - 普通,9 ～ 14,2025年09月,赤II,2300,,,AC NV TV AW SR 革
フォード,エクスプローラー 5D 4WD,2011,ＡＴ,109,1FMEU74P,4 - きれい,21 ～ 26,2025年09月,ＸＬＴ,4000,,黒,AC NV TV AW SR 革
ヨーロッパフォード,フォーカス 5D 2WD,2013,ＡＴ,67,MPBMGD,4 - きれい,26 ～ 31,2025年09月,スポーツ,2000,9.5,赤,AC NV TV AW SR 革
ヨーロッパフォード,フィエスタ 5D 2WD,2015,ＡＴ,91,WF0SFJ,3 - 普通,14 ～ 19,2025年09月,１．０エコブースト スポーツプレミアム,1000,8.12,,AC NV TV AW SR 革
ヨーロッパフォード,フォーカス 5D 2WD,2013,ＡＴ,111,MPBMGD,4 - きれい,18 ～ 22,2025年09月,スポーツ,2000,8.3,赤,AC AW
フォード,エクスプローラー 5D 2WD,2013,ＡＴ,167,1FMHK9,3 - 普通,32 ～ 35,2025年09月,ＸＬＴ エコブースト,2000,,黒,AC AW 革
フォード,エクスプローラー 5D 4WD,2012,ＡＴ,90,1FMHK8,4 - きれい,61 ～ 65,2025年09月,ＸＬＴ,3500,7.11,黒,AC AW
フォード,エクスプローラー 5D 2WD,2015,ＡＴ,147,1FMHK9,3 - 普通,47 ～ 51,2025年09月,ＸＬＴ エコブースト,2000,8.11,黒,AC NV TV 革
フォード,エクスプローラー 5D 2WD,2013,ＡＴ,89,1FMHK9,5 - すごくきれい,61 ～ 66,2025年09月,ＸＬＴ エコブースト,2000,,パール,AC AW 革
フォード,エコスポーツ 5D 2WD,2015,ＡＴ,171,MAJUEJ,3 - 普通,11 ～ 15,2025年09月,タイタニアム,1500,,オレンジ,AC NV TV AW SR 革
フォード,エクスプローラースポーツトラック 4D 4WD,2009,ＡＴ,102,1FM8U53,3 - 普通,57 ～ 61,2025年09月,,4600,,黒,AC NV TV AW SR 革
フォード,エクスプローラー 5D 2WD,2016,ＡＴ,116,1FM5KH,3 - 普通,70 ～ 74,2025年09月,ＸＬＴ エコブースト,2300,9.5,黒,AC 革
フォード,エクスプローラー 5D 4WD,2008,ＡＴ,136,1FMWU74,4 - きれい,20 ～ 25,2025年09月,Ｖ８エディーバウアー,4600,8.8,白,AC NV TV AW SR 革
フォード,エスケープ 4WD,2011,ＡＴ,151,LFAL3P,-1 - 修復歴あり,9 ～ 14,2025年09月,,2300,,黒,AC
フォード,エクスプローラー 5D 2WD,2013,ＡＴ,105,1FMHK9,4 - きれい,54 ～ 56,2025年09月,リミテッド エコブースト,2000,8.1,黒,AC 革
