メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ボルボ,Ｃ３０ クーペ 2WD,2010,ＡＴ,100,MB4204S,3 - 普通,4 ～ 10,2025年09月,２．０ｅアクティブ,2000,,黒,AC NV TV AW SR 革
ボルボ,Ｖ７０ 5D 2WD,2012,ＡＴ,116,BB4204TW,3 - 普通,10 ～ 14,2025年09月,,2000,,白,AC NV TV AW SR 革
ボルボ,ＸＣ９０ 5D 4WD,2009,ＡＴ,202,CB6324AW,3 - 普通,16 ～ 19,2025年09月,ノルディック,3200,,白,AC NV TV AW SR 革
ボルボ,Ｖ６０ 5D 4WD,2016,ＡＴ,111,FB525XC,3 - 普通,10 ～ 13,2025年09月,,2500,,パール,AC NV TV AW SR 革
ボルボ,Ｖ６０ 5D 4WD,2023,ＡＴ,13,ZB420P2,5 - すごくきれい,391 ～ 393,2025年09月,リチャジアルティメットＴ６ＡＷＤプラグインハイブリド,2000,8.11,パール,AC NV TV AW SR 革
ボルボ,Ｖ５０ 5D 2WD,2012,ＡＴ,53,MB4204S,4 - きれい,22 ～ 24,2025年09月,２．０クラシック,2000,,白,AC NV TV AW SR 革
ボルボ,Ｖ９０ 4WD,2020,ＡＴ,121,PD4204T,4 - きれい,183 ～ 188,2025年09月,,2000,,白,AC NV TV AW SR 革
ボルボ,ＸＣ６０ 5D 2WD,2013,ＡＴ,101,DB4204TXC,4 - きれい,18 ～ 21,2025年09月,Ｔ５ ＳＥ,2000,8.3,,AC NV TV AW SR 革
ボルボ,Ｖ６０ 5D 4WD,2024,ＡＴ,2,ZB420TM2,5 - すごくきれい,357 ～ 362,2025年09月,クロスカントリー プラス Ｂ５ ＡＷＤ,2000,9.1,パール,AC NV TV AW SR 革
ボルボ,ＸＣ９０ 5D 4WD,2007,ＡＴ,109,CB6324AW,3 - 普通,20 ～ 23,2025年09月,3.2,3200,,白,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 4WD,2013,ＡＴ,83,MB5204T,4 - きれい,22 ～ 25,2025年09月,クロスカントリー Ｔ５ ＡＷＤ,2000,,茶,AC NV TV AW 革
ボルボ,Ｖ６０ 5D 2WD,2022,ＡＴ,59,ZB420TM,5 - すごくきれい,231 ～ 235,2025年09月,Ｂ５ Ｒデザイン,2000,,シルバー,AC NV TV AW SR 革
ボルボ,ＸＣ９０ 4WD,2011,ＡＴ,106,CB6324AW,4 - きれい,8 ～ 13,2025年09月,,3200,,白,AC NV TV AW SR 革
ボルボ,Ｖ４０ 2WD,2015,ＡＴ,82,MB4164T,4 - きれい,19 ～ 24,2025年09月,,1600,8.4,白,AC NV TV AW SR 革
ボルボ,ＸＣ９０ 5D 4WD,2004,ＡＴ,157,CB5254AW,3 - 普通,16 ～ 19,2025年09月,ベースグレード,2500,,ベージュ,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 2WD,2017,ＡＴ,61,MD4204T,3 - 普通,47 ～ 51,2025年09月,Ｄ４ インスクリプション,2000,8.6,,AC NV TV AW SR 革
ボルボ,ＸＣ９０ 5D 4WD,2019,ＡＴ,62,LB420XC,4 - きれい,241 ～ 247,2025年09月,Ｔ５ ＡＷＤ モーメンタム,2000,8.11,青,AC NV TV AW SR 革
ボルボ,ＸＣ７０ 5D 4WD,2009,ＡＴ,85,BB6324XC,3 - 普通,14 ～ 18,2025年09月,３．２ＳＥ ＡＷＤ,3200,,黒,AC NV TV AW SR 革
ボルボ,Ｖ６０ 4WD,2020,ＡＴ,25,ZB420PT6,5 - すごくきれい,249 ～ 253,2025年09月,,2000,,グレー,AC NV TV AW 革
ボルボ,Ｖ６０ 5D 2WD,2013,ＡＴ,37,FB4164T,4 - きれい,40 ～ 43,2025年09月,Ｔ４,1600,,シルバー,AC NV TV AW SR 革
ボルボ,ＸＣ６０ 5D 2WD,2015,ＡＴ,84,DB420XC,-1 - 修復歴あり,26 ～ 31,2025年09月,Ｔ５ ＳＥ,2000,,黒,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 2WD,2014,ＡＴ,71,MB4164T,4 - きれい,15 ～ 17,2025年09月,Ｔ４,1600,,青,AC NV TV AW SR 革
ボルボ,クロスカントリー 5D 4WD,2002,ＡＴ,144,SB5244AWL,-1 - 修復歴あり,15 ～ 18,2025年09月,２．４Ｔ,2400,9.6,ベージュ,AC NV TV AW SR 革
ボルボ,Ｖ７０ 4WD,2011,ＡＴ,156,BB6304TW,3 - 普通,4 ～ 8,2025年09月,,3000,,黒,AC NV TV AW SR 革
ボルボ,Ｖ７０ 2WD,2003,ＡＴ,173,SB5244W,3 - 普通,6 ～ 10,2025年09月,,2400,8.4,紺,AC NV TV AW SR 革
ボルボ,Ｖ７０ 5D 2WD,2013,ＡＴ,84,BB4164TW,4 - きれい,28 ～ 32,2025年09月,Ｔ４ ＳＥ,1600,8.11,黒,AC NV TV AW SR 革
ボルボ,ＸＣ４０ 5D 4WD,2021,ＡＴ,24,XB420TXCM,4 - きれい,225 ～ 227,2025年09月,Ｂ４ ＡＷＤ インスクリプション,2000,8.7,青,AC NV TV AW SR 革
ボルボ,Ｖ６０ 5D 2WD,2016,ＡＴ,125,FD4204T,4 - きれい,33 ～ 38,2025年09月,Ｄ４ ＳＥ,2000,,黒,AC NV TV AW SR 革
ボルボ,Ｖ６０ 5D 2WD,2012,ＡＴ,112,FB4164T,3 - 普通,6 ～ 10,2025年09月,,1600,7.11,白,AC NV TV AW 革
ボルボ,ＸＣ６０ 2WD,2016,ＡＴ,180,DD4204TXC,3 - 普通,44 ～ 49,2025年09月,,2000,,茶,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 2WD,2014,ＡＴ,64,MB4164T,5 - すごくきれい,26 ～ 29,2025年09月,Ｔ４ ＳＥ,1600,7.10,白,AC NV TV AW SR 革
ボルボ,Ｖ５０ 5D 2WD,2010,ＡＴ,27,MB4204S,3 - 普通,15 ～ 17,2025年09月,２．０ｅノルディック,2000,,黒,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 2WD,2018,ＡＴ,100,MD4204T,5 - すごくきれい,51 ～ 57,2025年09月,Ｄ４ ナビエディション,2000,,黒,AC NV TV AW SR 革
ボルボ,Ｖ５０ 2WD,2011,ＡＴ,110,MB4204S,4 - きれい,6 ～ 9,2025年09月,,2000,8.2,黒,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 4WD,2014,ＡＴ,115,MB5204T,3 - 普通,16 ～ 21,2025年09月,クロスカントリー Ｔ５ ＡＷＤ,2000,9.4,白,AC NV TV AW SR 革
ボルボ,Ｖ６０ 5D 4WD,2020,ＡＴ,113,ZB420PT6,4 - きれい,146 ～ 149,2025年09月,Ｔ６ ツインエンジン ＡＷＤ インスクリプション,2000,,パール,AC NV TV AW SR 革
ボルボ,Ｖ４０ 2WD,2019,ＡＴ,13,MD4204T,5 - すごくきれい,108 ～ 113,2025年09月,,2000,7.10,シルバー,AC NV TV AW SR 革
ボルボ,Ｖ４０ 5D 2WD,2014,ＡＴ,98,MB4164T,4 - きれい,14 ～ 16,2025年09月,Ｔ４,1600,,白,AC NV TV AW SR 革
