メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ポンテアック,ポンテアックファイヤーバード 2WD,1988,ＡＴ,160,3 - 普通,92 ～ 96,,2024年11月,,5700,,黒,AC NV TV AW SR 革
ポンテアック,ポンテアックファイヤーバード 2WD,1988,ＡＴ,159,3 - 普通,92 ～ 97,,2024年11月,,5700,,黒,AC NV TV AW SR 革
ポンテアック,ポンテアックファイヤーバード 2WD,1988,ＡＴ,165,3 - 普通,93 ～ 95,,2024年11月,,5700,,黒,AC NV TV AW SR 革
ポンテアック,ポンテアックファイヤーバード クーペ 2WD,1993,ＡＴ,32,PF25B,3 - 普通,87 ～ 92,2024年10月,,5700,,ライトブルー,AC
ポンテアック,ポンテアックファイヤーバード クーペ 2WD,1993,ＡＴ,31,PF25B,3 - 普通,87 ～ 91,2024年10月,,5700,,ライトブルー,AC
ポンテアック,ポンテアックファイヤーバード クーペ 2WD,1993,ＡＴ,28,PF25B,3 - 普通,89 ～ 92,2024年10月,,5700,,ライトブルー,AC
ポンテアック,ポンテアックファイヤーバード クーペ 2WD,2003,５ＭＴ,24,3 - 普通,668 ～ 672,,2024年09月,,6600,,黒,AC
ポンテアック,ポンテアックファイヤーバード クーペ 2WD,2003,５ＭＴ,24,3 - 普通,669 ～ 673,,2024年09月,,6600,,黒,AC
ポンテアック,ポンテアックファイヤーバード クーペ 2WD,2003,５ＭＴ,20,3 - 普通,668 ～ 671,,2024年09月,,6600,,黒,AC
