メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備,グレード_fixed,排気量_fixed,車検_fixed,色_fixed,装備_fixed
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備,グレード,,,,排気量
マセラティ,グラントゥーリズモ クーペ 2WD,2009,ＡＴ,69,MGTS,4 - きれい,189 ～ 191,2025年09月,,4700,,白,AC AW 革,,,,,
マセラティ,グラントゥーリズモ 2WD,2016,ＡＴ,60,MGTA1,4 - きれい,369 ～ 373,2025年09月,,4700,8.12,パール,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,41,MLE30D,5 - すごくきれい,399 ～ 402,2025年09月,グランスポーツ,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2021,ＡＴ,44,MG30,5 - すごくきれい,431 ～ 434,2025年09月,,3000,8.9,パール,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2022,ＡＴ,14,MG20,3 - 普通,359 ～ 364,2025年09月,ＧＴハイブリッド,2000,9.6,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2021,ＡＴ,27,MG20,4 - きれい,405 ～ 409,2025年09月,ハイブリッド グランスポーツ,2000,,白,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2009,ＡＴ,89,MQPG,4 - きれい,247 ～ 251,2025年09月,スポーツＧＴ Ｓ,4700,9.4,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,38,MG30B,5 - すごくきれい,173 ～ 178,2025年09月,ベースグレード,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,101,MLE30D,4 - きれい,272 ～ 275,2025年09月,ベースグレード,3000,8.1,青,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,8,MLE30D,5 - すごくきれい,417 ～ 421,2025年09月,グランスポーツ,3000,,青,AC NV TV AW SR 革,,,,,
