メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
マツダ,プレマシー 5D 2WD,2010,ＡＴ,150,CWEFW,-1 - 修復歴あり,5 ～ 10,2025年09月,２０Ｅ,2000,,シルバー,AC NV TV AW 革
マツダ,デミオ 5D 4WD,2018,ＡＴ,44,DJLAS,4 - きれい,49 ～ 52,2025年09月,１５Ｃ,1500,,シルバー,AC NV TV AW SR 革
マツダ,デミオ 5D 4WD,2015,ＡＴ,73,DJ5AS,-1 - 修復歴あり,32 ～ 35,2025年09月,ＸＤ,1500,8.7,グレー,AC AW 革
マツダ,プレマシー 5D 2WD,2015,ＡＴ,48,CWFFW,4 - きれい,36 ～ 40,2025年09月,２０Ｓ－スカイアクティブ,2000,,,AC NV TV AW SR 革
マツダ,ＣＸ－５ 5D 4WD,2019,ＡＴ,63,KF2P,5 - すごくきれい,103 ～ 107,2025年09月,ＸＤ,2200,,シルバー,AC NV TV AW SR 革
マツダ,キャロル 5D 2WD,2012,ＡＴ,86,HB25S,3 - 普通,5 ～ 10,2025年09月,ＧＳ,,,白,660 AC NV TV AW SR 革
マツダ,ＡＺワゴンカスタムスタイル 5D 4WD,2011,ＡＴ,75,MJ23S,3 - 普通,6 ～ 10,2025年09月,ＸＳ,,8.10,グレー,660 AC NV TV AW SR 革
マツダ,プレマシー 5D 2WD,2012,ＡＴ,112,CWEFW,3 - 普通,6 ～ 12,2025年09月,ライトブルー,2000,9.4,,AC NV TV AW
マツダ,デミオ 5D 4WD,2018,ＡＴ,43,DJ3AS,-1 - 修復歴あり,71 ～ 75,2025年09月,１３Ｓテーラードブラウン,1300,,赤,AC AW
マツダ,デミオ 5D 4WD,2018,ＡＴ,212,DJ5AS,3 - 普通,32 ～ 35,2025年09月,ＸＤ,1500,,グレー,AC AW
マツダ,ＣＸ－３ 5D 2WD,2020,ＡＴ,20,DKLFW,4 - きれい,145 ～ 150,2025年09月,１５Ｓ ツーリング,1500,,パール,AC NV TV AW SR 革
マツダ,ＣＸ－５ 5D 4WD,2020,ＡＴ,75,KF2P,4 - きれい,182 ～ 188,2025年09月,ＸＤ エクスクルーシブモード,2200,,パール,AC NV TV AW SR 革
マツダ,ＣＸ－３０ 5D 2WD,2020,ＡＴ,152,DM8P,4 - きれい,97 ～ 103,2025年09月,ＸＤ プロアクティブ ツーリングセレクション,1800,9.8,茶,AC NV TV AW SR 革
マツダ,デミオ 5D 2WD,2012,ＡＴ,92,DE3FS,3 - 普通,10 ～ 14,2025年09月,１３Ｃ,1300,9.4,グレー,AC
マツダ,ＣＸ－３０ 5D 4WD,2021,ＡＴ,46,DMEP,5 - すごくきれい,165 ～ 169,2025年09月,２０Ｓ プロアクティブ,2000,7.12,青,AC NV TV AW SR 革
マツダ,フレア 5D 4WD,2013,ＡＴ,122,MJ34S,3 - 普通,8 ～ 12,2025年09月,ＸＧ,,8.9,シルバー,660 AC NV TV AW SR 革
マツダ,ＡＺワゴンカスタムスタイル 5D 2WD,2012,ＡＴ,103,MJ23S,4 - きれい,9 ～ 11,2025年09月,ＸＳリミテッド,,9.2,パープル,660 AC NV TV AW SR 革
マツダ,デミオ 5D 2WD,2016,ＡＴ,143,DJ3FS,3 - 普通,24 ～ 29,2025年09月,１３Ｓ,1300,,紺,AC
マツダ,ＣＸ－３ 5D 4WD,2015,ＡＴ,114,DK5AW,4 - きれい,77 ～ 81,2025年09月,ＸＤ ツーリング Ｌパッケージ,1500,7.12,パール,AC NV TV AW SR 革
マツダ,デミオ 5D 2WD,2012,ＡＴ,100,DE3FS,3 - 普通,7 ～ 9,2025年09月,１３Ｃ－Ｖ スマートエディションII,1300,,黒,AC AW
マツダ,ＭＰＶ 5D 4WD,2011,ＡＴ,182,LY3P,2 - 修復必要,5 ～ 10,2025年09月,２３Ｓ,2300,,黒,AC NV TV AW SR 革
マツダ,ＣＸ－３ 5D 2WD,2022,ＡＴ,30,DKLFY,5 - すごくきれい,213 ～ 218,2025年09月,１５Ｓ スーパー エッジー,1500,,,AC NV TV AW SR 革
マツダ,ＡＺワゴンカスタムスタイル 5D 2WD,2009,ＡＴ,72,MJ23S,-1 - 修復歴あり,4 ～ 8,2025年09月,ＸＴ,,8.8,黒,660 AC NV TV AW SR 革
マツダ,ビアンテ 5D 2WD,2012,ＡＴ,95,CCEFW,3 - 普通,9 ～ 12,2025年09月,２０Ｓ,2000,,パール,AC NV TV AW 革
マツダ,ＭＰＶ 5D 2WD,2014,ＡＴ,100,LY3P,3 - 普通,4 ～ 8,2025年09月,２３Ｓ,2300,,パール,AC NV TV AW SR 革
マツダ,ボンゴトラック 2D 4WD,2014,５ＭＴ,55,SKP2L,3 - 普通,67 ～ 71,2025年09月,ＤＸ,1800,,白,AC NV TV AW SR 革
マツダ,ＭＰＶ 5D 2WD,2001,ＣＡＴ,75,LWEW,-1 - 修復歴あり,15 ～ 18,2025年09月,アストラルスポーティ,2000,,シルバー,AC NV TV AW SR 革
マツダ,ＭＡＺＤＡ２ 5D 2WD,2022,ＡＴ,7,DJLFS,5 - すごくきれい,109 ～ 115,2025年09月,１５Ｓ,1500,,シルバー,AC NV TV AW SR 革
マツダ,アクセラスポーツ 5D 2WD,2019,ＡＴ,12,BM5FS,4 - きれい,106 ～ 111,2025年09月,１５Ｓ プロアクティブ,1500,8.5,赤,AC NV TV AW SR 革
マツダ,ＭＡＺＤＡ２ 5D 2WD,2022,ＡＴ,102,DJLFS,-1 - 修復歴あり,71 ～ 75,2025年09月,１５Ｓ,1500,,グレー,AC NV TV AW SR 革
マツダ,ビアンテ 5D 2WD,2012,ＡＴ,140,CCEFW,3 - 普通,7 ～ 11,2025年09月,アイ・ストップスマートエディションII,2000,,パール,AC NV TV AW 革
