メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ミツオカ,ビュート 4D 2WD,2012,ＡＴ,97,K13,-1 - 修復歴あり,42 ～ 47,2025年09月,１２ＬＸ,1200,9.6,黒,AC NV TV AW SR 革
ミツオカ,ロックスター オープン 2WD,2021,ＡＴ,22,ND5RC改,5 - すごくきれい,526 ～ 528,2025年09月,,1500,7.10,青,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2012,ＡＴ,68,K13,4 - きれい,77 ～ 81,2025年09月,Ｄグリーン,1200,,,AC AW
ミツオカ,ビュート 2WD,2013,ＡＴ,59,K13,4 - きれい,70 ～ 75,2025年09月,,1200,8.12,茶,AC
ミツオカ,バディ 5D 4WD,2022,ＡＴ,2,MXAA54,5 - すごくきれい,697 ～ 701,2025年09月,２０ＬＸ,2000,7.10,ベージュ,AC NV TV AW SR 革
ミツオカ,ガリュー 2WD,1996,ＡＴ,189,HK30,3 - 普通,12 ～ 17,2025年09月,,2000,,グレー,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2000,ＡＴ,124,K11,3 - 普通,7 ～ 12,2025年09月,,1000,8.5,ゴールド,AC
ミツオカ,ヌエラ６－０２セダン 2WD,2009,ＡＴ,128,NZE141,-1 - 修復歴あり,23 ～ 29,2025年09月,,1500,,グレー,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2019,ＡＴ,69,K13,3 - 普通,122 ～ 126,2025年09月,マイ ビュート２５周年記念特別仕様車 １２ＬＸ,1200,,シルバー,AC 革
ミツオカ,ガリュー 2WD,1997,ＡＴ,213,HK30,3 - 普通,11 ～ 16,2025年09月,,2000,8.12,緑,AC
ミツオカ,ヒミコ 2WD,2009,ＡＴ,51,NCEC,5 - すごくきれい,247 ～ 251,2025年09月,,2000,,パール,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2007,ＡＴ,106,AK12,4 - きれい,30 ～ 34,2025年09月,,1200,8.6,ベージュ,AC
ミツオカ,ビュート 4D 2WD,2006,ＡＴ,74,AK12,3 - 普通,13 ～ 18,2025年09月,1200,1200,,赤,AC
ミツオカ,ロックスター オープン 2WD,2020,ＡＴ,0,ND5RC改,5 - すごくきれい,566 ～ 571,2025年09月,Ｓスペシャルパッケージ,1500,8.12,白,AC NV TV AW
ミツオカ,ヌエラ 2WD,2004,ＡＴ,133,CL7,3 - 普通,12 ～ 15,2025年09月,,2000,,パール,AC
ミツオカ,ビュート 4D 2WD,2021,ＡＴ,16,K13,5 - すごくきれい,239 ～ 242,2025年09月,１２ＬＸ,1200,8.5,赤,AC 革
ミツオカ,ビュート 4D 2WD,2013,ＡＴ,100,K13,3 - 普通,30 ～ 34,2025年09月,１２ＤＸ,1200,8.4,ワイン,AC
ミツオカ,ビュート 2WD,2000,ＡＴ,34,K11,-1 - 修復歴あり,24 ～ 27,2025年09月,,1000,,ピンク,AC 革
ミツオカ,ビュート 2WD,1999,ＡＴ,89,K11改,4 - きれい,31 ～ 37,2025年09月,,1000,,クリーム,AC
ミツオカ,ビュート 2WD,1999,ＡＴ,127,K11改,3 - 普通,4 ～ 7,2025年09月,,1000,,ゴールド,AC
ミツオカ,ガリューＩＩ 4DHT 2WD,2001,ＡＴ,106,MY34,3 - 普通,14 ～ 18,2025年09月,,2500,7.10,シルバー,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2014,ＡＴ,64,K13,5 - すごくきれい,146 ～ 150,2025年09月,,1200,9.7,ベージュ,AC
ミツオカ,ビュート 2WD,2007,ＡＴ,78,AK12,3 - 普通,28 ～ 33,2025年09月,アイボリー,1200,,,AC NV TV
ミツオカ,レイ 2WD,2002,ＡＴ,63,L700S,3 - 普通,15 ～ 19,2025年09月,,,7.10,緑,660 AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2000,ＡＴ,142,K11,-1 - 修復歴あり,7 ～ 9,2025年09月,,1000,,ベージュ,AC
ミツオカ,バディ 5D 4WD,2022,ＡＴ,36,AXAH54,5 - すごくきれい,539 ～ 542,2025年09月,ハイブリッドＳＴ,2500,9.7,,AC
ミツオカ,ヌエラ 4D 2WD,2006,ＡＴ,181,CL7,3 - 普通,15 ～ 19,2025年09月,ライトブルー,2000,,,AC AW 革
ミツオカ,ビュート 2WD,2002,ＡＴ,58,AK11,3 - 普通,20 ～ 24,2025年09月,,1300,,黒,AC
ミツオカ,ビュート 4D 2WD,2010,ＡＴ,81,K13,4 - きれい,65 ～ 71,2025年09月,１２ＤＸ,1200,,黒,AC
ミツオカ,ガリューＩＩＩ 4D 2WD,2009,ＡＴ,102,Y50,4 - きれい,24 ～ 28,2025年09月,,2500,,シルバー,AC NV TV AW SR 革
ミツオカ,ロックスター オープン 2WD,2021,ＡＴ,17,ND5RC改,5 - すごくきれい,535 ～ 540,2025年09月,Ｓスペシャルパッケージ,1500,8.4,青,AC NV TV AW 革
ミツオカ,ビュート 5D 2WD,2019,ＡＴ,45,K13,-1 - 修復歴あり,89 ～ 94,2025年09月,なでしこ,1200,8.6,茶,AC
ミツオカ,リューギ 4D 2WD,2023,ＡＴ,18,NRE161,-1 - 修復歴あり,172 ～ 178,2025年09月,１５ＥＸ,1500,8.8,シルバー,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2008,ＡＴ,158,AK12,3 - 普通,9 ～ 12,2025年09月,Ｄグリーン,1200,,,AC
ミツオカ,ビュート 4D 2WD,2013,ＡＴ,102,K13,4 - きれい,74 ～ 77,2025年08月,アイボリー,1200,8.11,,AC 革
ミツオカ,ビュート 2WD,2002,ＡＴ,100,AK11,3 - 普通,7 ～ 11,2025年08月,,1300,,緑,AC
ミツオカ,ラ・セード クーペ 2WD,1991,ＡＴ,32,S13,4 - きれい,129 ～ 133,2025年08月,ベースグレード,1800,,白,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2013,ＡＴ,53,K13,5 - すごくきれい,146 ～ 150,2025年08月,２０ｔｈアニバーサリー １２ＤＸ,1200,8.2,ベージュ,AC 革
ミツオカ,バディ 5D 2WD,2022,ＡＴ,15,MXAA52,5 - すごくきれい,536 ～ 540,2025年08月,２０ＳＴ,2000,,パール,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2012,ＡＴ,73,K13,4 - きれい,74 ～ 79,2025年08月,,1200,7.11,赤,AC
ミツオカ,ビュート 4D 2WD,2014,ＡＴ,61,K13,4 - きれい,110 ～ 113,2025年08月,アイボリー,1200,,,AC 革
ミツオカ,ビュート 2WD,2007,ＡＴ,74,AK12,3 - 普通,30 ～ 33,2025年08月,,1200,8.2,黒,AC
ミツオカ,ビュート 2WD,2008,ＡＴ,19,AK12,4 - きれい,107 ～ 112,2025年08月,,1200,,黒,AC 革
ミツオカ,ビュート 2WD,2007,ＡＴ,99,AK12,3 - 普通,34 ～ 38,2025年08月,,1200,8.12,黒,AC 革
ミツオカ,ビュート 2WD,2008,ＡＴ,17,AK12,4 - きれい,108 ～ 113,2025年08月,,1200,,黒,AC 革
ミツオカ,ガリュークラシック 4D 2WD,2007,ＡＴ,58,NZE141,4 - きれい,47 ～ 52,2025年08月,１５ＬＸ,1500,,ワイン,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2014,ＡＴ,63,K13,5 - すごくきれい,109 ～ 113,2025年08月,,1200,9.10,ベージュ,AC
ミツオカ,ラ・セード クーペ 2WD,1991,ＡＴ,35,PS13,5 - すごくきれい,177 ～ 182,2025年08月,ベースグレード,2000,8.4,紺,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,1997,ＡＴ,85,HK11改,2 - 修復必要,10 ～ 14,2025年08月,ベースグレード,1300,9.5,ワイン,AC
ミツオカ,ビュート 4D 2WD,2001,ＡＴ,78,K11,-1 - 修復歴あり,4 ～ 10,2025年08月,ベーシック,1000,,,AC
ミツオカ,ガリュー 2WD,1997,ＡＴ,159,HK30,3 - 普通,12 ～ 18,2025年08月,,2000,8.5,白,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2012,ＡＴ,89,K13,4 - きれい,84 ～ 88,2025年08月,ライトブルー,1200,8.7,,AC
ミツオカ,ビュート 2WD,2022,ＡＴ,29,K13,5 - すごくきれい,147 ～ 151,2025年08月,,1200,,茶,AC
ミツオカ,ビュート 2WD,2004,ＡＴ,186,AK12,3 - 普通,8 ～ 13,2025年08月,,1200,8.7,ベージュ,AC
ミツオカ,ビュート 2WD,2003,ＡＴ,26,AK11,4 - きれい,65 ～ 69,2025年08月,シルバーII,1300,8.3,,AC 革
ミツオカ,ビュート 2WD,2009,ＡＴ,104,AK12,-1 - 修復歴あり,7 ～ 11,2025年08月,,1200,,,AC
ミツオカ,ビュート 4D 2WD,2012,ＡＴ,90,K13,3 - 普通,52 ～ 57,2025年08月,１２ＬＸ,1200,,白,AC
ミツオカ,ビュート 4WD,2014,ＡＴ,74,NK13,4 - きれい,91 ～ 95,2025年08月,,1200,9.4,赤,AC
ミツオカ,ヌエラ 2WD,2004,ＡＴ,107,CL7,4 - きれい,8 ～ 13,2025年08月,,2000,,パール,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2002,ＡＴ,93,K11,-1 - 修復歴あり,9 ～ 11,2025年08月,ワインII,1000,,,AC
ミツオカ,ビュート 2WD,2011,ＡＴ,56,K13,4 - きれい,74 ～ 78,2025年08月,,1200,,緑,AC NV TV
ミツオカ,ビュート 2WD,2000,ＡＴ,81,K11,3 - 普通,8 ～ 11,2025年08月,,1000,,ベージュ,AC
ミツオカ,ビュート 2WD,2001,ＡＴ,130,K11,3 - 普通,9 ～ 13,2025年08月,,1000,,ベージュ,AC
ミツオカ,レイ 2WD,1997,５ＭＴ,130,AC6P,3 - 普通,7 ～ 13,2025年08月,,,8.10,緑,660 AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2018,ＡＴ,192,K13,-1 - 修復歴あり,25 ～ 30,2025年08月,,1200,,黒,AC
ミツオカ,ビュート 2WD,2003,ＡＴ,168,AK12,3 - 普通,3 ～ 6,2025年08月,,1200,,,AC
ミツオカ,ビュート 5D 2WD,2016,ＡＴ,73,K13,3 - 普通,51 ～ 57,2025年08月,なでしこ,1200,,ワイン,AC
ミツオカ,ガリュー 2WD,1998,ＡＴ,154,HK30,-1 - 修復歴あり,15 ～ 18,2025年08月,,2000,,シルバー,AC
ミツオカ,ビュート 4D 2WD,2014,ＡＴ,76,K13,3 - 普通,92 ～ 95,2025年08月,１２ＳＴ,1200,8.2,白,AC
ミツオカ,ビュート 4D 2WD,2017,ＡＴ,20,K13,4 - きれい,157 ～ 163,2025年08月,フレンチマカロン,1200,8.3,,AC 革
ミツオカ,ビュート 2WD,2012,ＡＴ,23,K13,3 - 普通,120 ～ 124,2025年08月,Ｄグリーン,1200,,,AC
ミツオカ,ガリューＩＩ 4DHT 2WD,2005,ＡＴ,81,MY34,3 - 普通,10 ～ 14,2025年08月,,2500,8.3,ゴールド,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2015,ＡＴ,40,K13,5 - すごくきれい,155 ～ 159,2025年08月,１２ＬＸ,1200,7.8,緑,AC
ミツオカ,バディ 5D 2WD,2022,ＡＴ,29,MXAA52,5 - すごくきれい,522 ～ 528,2025年08月,２０ＳＴ,2000,,パール,AC AW
ミツオカ,ビュート 2WD,2007,ＡＴ,83,AK12,3 - 普通,29 ～ 33,2025年08月,アイボリー,1200,,,AC NV TV
ミツオカ,ヒミコ オープン 2WD,2020,ＡＴ,13,ND5RC改,5 - すごくきれい,507 ～ 509,2025年08月,Ｓレザーパッケージ,1500,9.8,パール,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2008,ＡＴ,78,AK12,3 - 普通,37 ～ 43,2025年08月,１２ＬＸ,1200,,茶,AC
ミツオカ,ビュート 4D 4WD,2020,ＡＴ,16,NK13,5 - すごくきれい,226 ～ 229,2025年08月,１２ＬＸ,1200,,紺,AC AW 革
ミツオカ,ビュート 2WD,2006,ＡＴ,85,AK12,3 - 普通,24 ～ 26,2025年08月,黄II,1200,,,AC
ミツオカ,ビュート 4D 2WD,2018,ＡＴ,81,K13,3 - 普通,88 ～ 92,2025年08月,マイ ビュート２５周年記念特別仕様車 １２ＳＴ,1200,,赤,AC
ミツオカ,バディ 5D 2WD,2024,ＡＴ,13,MXAA52,5 - すごくきれい,587 ～ 591,2025年08月,ライトブルーII,2000,9.11,,AW
ミツオカ,ビュート 4D 2WD,2019,ＡＴ,57,K13,-1 - 修復歴あり,124 ～ 130,2025年07月,１２ＳＴプレミアム,1200,9.6,,AC 革
ミツオカ,ビュート 4D 2WD,2016,ＡＴ,57,K13,3 - 普通,145 ～ 148,2025年07月,１２ＬＸ,1200,7.7,黒,AC 革
ミツオカ,ビュート 2WD,2012,ＡＴ,59,K13,-1 - 修復歴あり,63 ～ 69,2025年07月,,1200,7.11,パープル,AC 革
ミツオカ,ビュート 2WD,2014,ＡＴ,112,K13,4 - きれい,80 ～ 85,2025年07月,,1200,9.3,ベージュ,AC NV TV AW SR 革
ミツオカ,ガリュー 2WD,2006,ＡＴ,106,HK30,3 - 普通,8 ～ 13,2025年07月,,2000,,シルバー,AC NV TV AW SR 革
ミツオカ,ヌエラ 2WD,2003,ＡＴ,100,CM2,3 - 普通,9 ～ 13,2025年07月,,2400,,パール,AC NV TV AW SR 革
ミツオカ,ビュート 5D 2WD,2019,ＡＴ,47,K13,5 - すごくきれい,126 ～ 130,2025年07月,なでしこ フレンチマカロン,1200,8.5,ピンク,AC NV TV 革
ミツオカ,ビュート 2WD,2012,ＡＴ,167,K13,3 - 普通,12 ～ 15,2025年07月,,1200,,クリーム,AC
ミツオカ,ビュート 4D 2WD,2015,ＡＴ,52,K13,5 - すごくきれい,116 ～ 119,2025年07月,１２ＳＴ,1200,8.11,緑,AC
ミツオカ,ビュート 2WD,2012,ＡＴ,91,K13,3 - 普通,30 ～ 34,2025年07月,,1200,,緑,AC
ミツオカ,バディ 5D 2WD,2022,ＡＴ,2,MXAA52,5 - すごくきれい,583 ～ 589,2025年07月,２０ＳＴ,2000,7.7,パール,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,2013,ＡＴ,101,K13,3 - 普通,58 ～ 62,2025年07月,２０ｔｈアニバーサリー １２ＤＸ,1200,8.10,ベージュ,AC 革
ミツオカ,ビュート 2WD,2014,ＡＴ,153,K13,3 - 普通,26 ～ 29,2025年07月,,1200,8.8,パール,AC
ミツオカ,ゼロワン 2WD,1997,５ＭＴ,33,MS01,4 - きれい,209 ～ 213,2025年07月,,1800,,シルバー,AC NV TV AW SR 革
ミツオカ,ビュート 2WD,2001,ＡＴ,117,K11,3 - 普通,7 ～ 10,2025年07月,,1000,,ベージュ,AC
ミツオカ,ビュート 2WD,2001,ＡＴ,94,K11,4 - きれい,26 ～ 30,2025年07月,,1000,,ベージュ,AC
ミツオカ,ビュート 2WD,2004,ＡＴ,6,AK12,5 - すごくきれい,78 ～ 82,2025年07月,,1200,,ベージュ,AC 革
ミツオカ,ヒミコ 2WD,2009,ＡＴ,37,NCEC,4 - きれい,299 ～ 304,2025年07月,,2000,,パール,AC NV TV AW SR 革
ミツオカ,ビュート 4D 2WD,1995,ＡＴ,88,HK11改,-1 - 修復歴あり,2 ～ 6,2025年07月,ベースグレード,1300,,ワイン,AC NV TV
ミツオカ,ロックスター オープン 2WD,2021,ＡＴ,19,ND5RC改,5 - すごくきれい,517 ～ 520,2025年07月,Ｓスペシャルパッケージ,1500,7.11,,AC NV TV AW SR 革
ミツオカ,ヒミコ オープン 2WD,2014,ＡＴ,88,ND5RC改,4 - きれい,192 ～ 198,2025年07月,,1500,9.2,ワイン,AC 革
ミツオカ,リョーガ 2WD,2004,ＡＴ,86,FB15,-1 - 修復歴あり,6 ～ 9,2025年07月,,1500,,紺,AC NV TV AW SR 革
ミツオカ,ビュート オープン 2WD,1997,ＡＴ,152,FHK11改,3 - 普通,9 ～ 13,2025年07月,コンバーチブル,1300,,シルバー,AC
ミツオカ,ビュート 2WD,2012,ＡＴ,100,AK12,3 - 普通,1 ～ 7,2025年07月,,1200,,ゴールド,AC
ミツオカ,ビュート 2WD,1999,ＡＴ,134,K11,4 - きれい,10 ～ 15,2025年07月,,1000,8.10,白,AC 革
