メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
モーガン,４／４ オープン 2WD,1993,５ＭＴ,47,4 - きれい,339 ～ 343,,2025年06月,２シーター,1600,7.3,緑,AC NV TV AW SR 革
モーガン,プラス８ 2WD,1996,５ＭＴ,17,4 - きれい,356 ～ 359,,2024年04月,,3900,,緑,AC NV TV AW SR 革
モーガン,プラス８ 2WD,1996,５ＭＴ,12,4 - きれい,357 ～ 360,,2024年04月,,3900,,緑,AC NV TV AW SR 革
モーガン,プラス８ 2WD,1996,５ＭＴ,16,4 - きれい,357 ～ 360,,2024年04月,,3900,,緑,AC NV TV AW SR 革
モーガン,４／４ オープン 2WD,2017,５ＭＴ,12,5 - すごくきれい,609 ～ 614,,2024年03月,２シーター,1600,,緑,AC NV TV AW SR 革
モーガン,ロードスター オープン 2WD,2020,６ＭＴ,2,5 - すごくきれい,932 ～ 937,,2024年02月,ベースグレード,3700,8.1,アイボリー,AC NV TV AW SR 革
モーガン,プラス８ 2WD,1990,５ＭＴ,25,4 - きれい,315 ～ 319,,2024年02月,,3900,6.7,紺,革
モーガン,プラス８ 2WD,1990,５ＭＴ,25,4 - きれい,313 ～ 318,,2024年02月,,3900,6.10,紺,革
モーガン,プラス６ オープン 2WD,2022,ＡＴ,5,5 - すごくきれい,979 ～ 982,,2024年02月,ベースグレード,3000,6.12,緑Ｍ,AC NV TV AW SR 革
モーガン,４／４ 2WD,2022,５ＭＴ,5,5 - すごくきれい,586 ～ 589,,2024年01月,,1600,7.11,ライトブルー,革
