メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ユーノス,ユーノスロードスター オープン 2WD,1998,ＡＴ,82,NA8C,4 - きれい,74 ～ 77,2025年09月,スペシャルパッケージ,1800,,シルバー,AC NV TV AW SR 革
ユーノス,ユーノスロードスター オープン 2WD,1997,５ＭＴ,101,NA8C,4 - きれい,163 ～ 167,2025年09月,Ｂ２リミテッド,1800,,紺,AC AW
ユーノス,ユーノスロードスター オープン 2WD,1995,５ＭＴ,104,NA8C,3 - 普通,151 ～ 155,2025年09月,Ｇリミテッド,1800,9.2,紺,AC AW
ユーノス,ユーノスロードスター オープン 2WD,1997,ＡＴ,84,NA8C,4 - きれい,106 ～ 112,2025年09月,スペシャルパッケージ,1800,8.6,白,AC AW
ユーノス,ユーノスコスモ クーペ 2WD,1990,ＡＴ,91,JCESE,3 - 普通,184 ～ 187,2025年09月,２０Ｂ タイプＳ,,,黒,000 AC NV TV AW SR 革
ユーノス,ユーノスロードスター オープン 2WD,1996,５ＭＴ,76,NA8C,5 - すごくきれい,192 ～ 197,2025年09月,Ｓスペシャル タイプII,1800,,紺,AC
ユーノス,ユーノスロードスター オープン 2WD,1991,５ＭＴ,105,NA6CE,3 - 普通,65 ～ 68,2025年09月,ノーマルベース,1600,,シルバー,AC
ユーノス,ユーノスロードスター オープン 2WD,1992,５ＭＴ,125,NA6CE,-1 - 修復歴あり,57 ～ 61,2025年09月,Ｖスペシャル,1600,8.5,緑,
ユーノス,ユーノスロードスター オープン 2WD,1994,５ＭＴ,148,NA8C,-1 - 修復歴あり,59 ～ 64,2025年09月,ＪリミテッドII,1800,9.3,黄,AC
ユーノス,ユーノスロードスター 2WD,1990,ＡＴ,48,NA6CE,-1 - 修復歴あり,35 ～ 38,2025年09月,,1600,,青,AC AW
ユーノス,ユーノスロードスター オープン 2WD,1998,ＡＴ,76,NA8C,4 - きれい,93 ～ 96,2025年09月,スペシャルパッケージ,1800,8.7,緑,AC
ユーノス,ユーノスロードスター 2WD,1989,５ＭＴ,28,NA6CE,-1 - 修復歴あり,130 ～ 136,2025年09月,,1600,8.7,青,AC
ユーノス,ユーノスロードスター オープン 2WD,1991,ＡＴ,158,NA6CE,-1 - 修復歴あり,40 ～ 44,2025年09月,Ｖスペシャル,1600,,緑,AC AW 革
ユーノス,ユーノスコスモ クーペ 2WD,1990,ＡＴ,89,JCESE,3 - 普通,139 ～ 144,2025年09月,２０Ｂ タイプＳ,,,黒,000 AC AW
ユーノス,ユーノスロードスター オープン 2WD,1997,ＡＴ,87,NA8C,3 - 普通,46 ～ 51,2025年09月,スペシャルパッケージ,1800,,白,AC
ユーノス,ユーノスロードスター オープン 2WD,1991,ＡＴ,76,NA6CE,3 - 普通,57 ～ 62,2025年09月,スペシャルパッケージ,1600,,赤,AC
ユーノス,ユーノスコスモ クーペ 2WD,1992,ＡＴ,18,JCESE,5 - すごくきれい,339 ～ 341,2025年09月,２０Ｂ タイプＥ,,,グレー,000 AC AW 革
ユーノス,ユーノスロードスター 2WD,1993,５ＭＴ,214,NA8C,-1 - 修復歴あり,20 ～ 25,2025年09月,,1800,,シルバー,AC
ユーノス,ユーノスロードスター 2WD,1989,５ＭＴ,57,NA6CE,4 - きれい,149 ～ 154,2025年09月,,1600,8.5,青,AC
ユーノス,ユーノスロードスター オープン 2WD,1991,５ＭＴ,77,NA6CE,-1 - 修復歴あり,87 ～ 92,2025年09月,Ｊリミテッド,1600,,黄,AC
ユーノス,ユーノスロードスター オープン 2WD,1994,ＡＴ,129,NA8C,3 - 普通,69 ～ 72,2025年09月,スペシャルパッケージ,1800,,白,AC AW
ユーノス,ユーノスロードスター オープン 2WD,1994,５ＭＴ,74,NA8C,-1 - 修復歴あり,57 ～ 61,2025年09月,ＲＳリミテッド,1800,,青,
ユーノス,ユーノスロードスター オープン 2WD,1995,５ＭＴ,90,NA8C,5 - すごくきれい,211 ～ 214,2025年09月,スペシャルパッケージ,1800,9.5,緑,AC
ユーノス,ユーノスロードスター オープン 2WD,1996,５ＭＴ,1000,NA8C,-1 - 修復歴あり,51 ～ 56,2025年09月,ＶＲリミテッド コンビネーションＡ,1800,,ワイン,AC
ユーノス,ユーノスロードスター オープン 2WD,1992,５ＭＴ,316,NA6CE,-1 - 修復歴あり,21 ～ 25,2025年09月,Ｖスペシャル,1600,,緑,AC
ユーノス,ユーノスロードスター オープン 2WD,1994,ＡＴ,148,NA8C,3 - 普通,26 ～ 30,2025年09月,Ｖスペシャル,1800,8.12,黒,
