メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ランチア,デルタ 4WD,1993,５ＭＴ,32,L31E5,4 - きれい,1056 ～ 1059,2025年09月,,2000,9.9,赤,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1994,５ＭＴ,26,L31E5,5 - すごくきれい,1561 ～ 1564,2025年09月,ＨＦインテグラーレ エボルツィオーネII,2000,,白,AC NV TV AW
ランチア,デルタ 5D 4WD,1991,５ＭＴ,157,L31D5,3 - 普通,180 ～ 184,2025年08月,ＨＦインテグラーレ１６Ｖ,2000,8.12,赤,AC NV TV AW SR 革
ランチア,テーマ 4D 2WD,1995,５ＭＴ,126,A834F2,4 - きれい,76 ～ 81,2025年08月,ターボ１６ｖ ＬＳ,2000,,ワイン,AC NV TV AW SR 革
ランチア,イプシロン 3D 2WD,2006,ＡＴ,65,4 - きれい,4 ～ 10,,2025年08月,ベースグレード,1400,,青,AC NV TV AW SR 革
ランチア,テーマ 4D 2WD,1995,ＡＴ,89,A834F6,3 - 普通,29 ～ 31,2025年08月,３．０ Ｖ６ ＬＳ,3000,,紺,AC AW
ランチア,テーマ 4D 2WD,1995,ＡＴ,89,A834F6,3 - 普通,19 ～ 24,2025年07月,３．０ Ｖ６ ＬＳ,3000,,紺,AC
ランチア,デルタ 4WD,1993,５ＭＴ,65,L31E5,-1 - 修復歴あり,638 ～ 640,2025年07月,,2000,,白,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1994,５ＭＴ,99,L31E5,4 - きれい,953 ～ 957,2025年07月,ＨＦインテグラーレ エボルツィオーネII,2000,,黄,AC NV TV AW 革
ランチア,デルタ 2WD,2014,ＡＴ,119,4 - きれい,24 ～ 28,,2025年07月,,1600,9.2,白,AC AW SR 革
ランチア,イプシロン 3D 2WD,2007,ＡＴ,140,3 - 普通,3 ～ 6,,2025年06月,ベースグレード,1200,,ベージュII,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1994,５ＭＴ,29,L31E5,4 - きれい,1454 ～ 1457,2025年06月,ＨＦインテグラーレ エボルツィオーネII,2000,8.1,黄,AC NV TV AW SR 革
ランチア,デルタ 2WD,2012,ＡＴ,138,3 - 普通,5 ～ 9,,2025年05月,,1600,,黒,AC NV TV AW SR 革
ランチア,イプシロン 2WD,2006,ＡＴ,56,4 - きれい,4 ～ 9,,2025年05月,,1400,,アイボリーII,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1994,５ＭＴ,94,L31E5,4 - きれい,1050 ～ 1052,2025年04月,ＨＦインテグラーレ エボルツィオーネII,2000,8.9,黄,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1999,５ＭＴ,173,L31E5,3 - 普通,625 ～ 629,2025年04月,ＨＦインテグラーレ エボルツィオーネII,2000,8.2,黄,AC AW
ランチア,デルタ 5D 4WD,1989,５ＭＴ,166,3 - 普通,227 ～ 232,,2025年04月,ＨＦ,2000,8.8,ガンＭ,AC
ランチア,イプシロン 3D 2WD,2007,６ＭＴ,120,-1 - 修復歴あり,2 ～ 4,,2025年03月,ベースグレード,1400,,ベージュII,AC NV TV AW SR 革
ランチア,デルタ 2WD,2010,ＡＴ,98,4 - きれい,28 ～ 33,,2025年03月,,1600,,シルバー,AC NV TV AW SR 革
ランチア,デルタ 2WD,2010,ＡＴ,96,4 - きれい,28 ～ 32,,2025年03月,,1600,,シルバー,AC AW 革
ランチア,デルタ 5D 4WD,1994,５ＭＴ,34,L31E5,4 - きれい,1184 ～ 1187,2025年03月,ＨＦインテグラーレ エボルツィオーネII,2000,7.2,紺,AC NV TV AW 革
ランチア,デルタ 4WD,1994,５ＭＴ,94,L31E5,4 - きれい,672 ～ 678,2025年02月,,2000,,赤,AC NV TV AW SR 革
ランチア,テージス 4D 2WD,2007,ＡＴ,72,4 - きれい,39 ～ 44,,2025年02月,,2400,7.4,グレー,AC NV TV AW SR 革
ランチア,テージス 4D 2WD,2007,ＡＴ,67,4 - きれい,38 ～ 42,,2025年02月,,2400,7.4,グレー,AC NV TV AW SR 革
ランチア,テーマ 4D 2WD,1993,５ＭＴ,23,A834F,4 - きれい,247 ～ 250,2025年02月,,3000,8.32,青,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1991,５ＭＴ,75,L31D5,-1 - 修復歴あり,204 ～ 208,2025年02月,ＨＦインテグラーレ１６Ｖ,2000,,赤,AC AW
ランチア,デルタ 5D 4WD,1992,５ＭＴ,70,L31E5,3 - 普通,546 ～ 552,2025年02月,,2000,7.12,赤,AC AW
ランチア,デルタ 4WD,1992,５ＭＴ,182,L31E5,3 - 普通,474 ～ 478,2025年01月,,2000,,黒,AC AW
ランチア,イプシロン 3D 2WD,2011,ＡＴ,40,4 - きれい,24 ～ 28,,2025年01月,ベースグレード,1200,,パール,AC NV TV AW SR 革
ランチア,テーマ 2WD,1996,ＡＴ,132,L34F,3 - 普通,16 ～ 21,2025年01月,,3000,,グレー,AC NV TV AW SR 革
ランチア,テーマ 2WD,1996,ＡＴ,133,L34F,3 - 普通,18 ～ 22,2025年01月,,3000,,グレー,AC NV TV AW SR 革
ランチア,テーマ 2WD,1996,ＡＴ,138,L34F,3 - 普通,18 ～ 20,2025年01月,,3000,,グレー,AC NV TV AW 革
ランチア,デルタ 4WD,1993,５ＭＴ,69,L31E5,4 - きれい,686 ～ 691,2025年01月,,2000,,パール,AC NV TV AW SR 革
ランチア,デルタ 5D 4WD,1991,５ＭＴ,74,L31D5,4 - きれい,282 ～ 287,2025年01月,ＨＦインテグラーレ１６Ｖ,2000,,黄,AC AW
ランチア,テージス 4D 2WD,2007,ＡＴ,69,4 - きれい,51 ～ 54,,2024年12月,,2400,,青,AC NV TV AW SR 革
ランチア,テージス 4D 2WD,2007,ＡＴ,66,4 - きれい,50 ～ 56,,2024年12月,,2400,,青,AC NV TV AW 革
ランチア,テーマ 2WD,1996,ＡＴ,51,L34F,4 - きれい,130 ～ 135,2024年11月,,3000,7.12,紺,AC NV TV AW 革
ランチア,イプシロン 3D 2WD,2008,ＡＴ,52,5 - すごくきれい,22 ～ 26,,2024年04月,ベースグレード,1400,6.12,ベージュII,AC AW
ランチア,テーマ 4D 2WD,1993,５ＭＴ,48,L34C1,4 - きれい,81 ～ 86,2024年04月,２．０ターボ１６ｖ,2000,,黒,AC AW
ランチア,イプシロン 3D 2WD,2007,５ＭＴ,102,4 - きれい,7 ～ 13,,2024年02月,ベースグレード,1400,,ベージュ,AC AW 革
