メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ルノー,カングー 2WD,2012,ＡＴ,78,KWK4M,4 - きれい,9 ～ 11,2025年09月,,1600,9.7,赤,AC AW SR 革
ルノー,カングー 5D 2WD,2007,ＡＴ,100,KCK4M,2 - 修復必要,6 ～ 8,2025年09月,1.6,1600,,緑,AC AW SR 革
ルノー,ルーテシア 2WD,2017,ＡＴ,58,RH5F1,3 - 普通,14 ～ 19,2025年09月,,1200,,ワイン,AC NV TV AW SR 革
ルノー,ルーテシア 5D 2WD,2015,ＡＴ,75,RH5F,3 - 普通,14 ～ 20,2025年09月,ＧＴ,1200,8.9,赤,AC AW
ルノー,コレオス 5D 4WD,2011,ＡＴ,150,Y2TR,3 - 普通,27 ～ 29,2025年09月,プレミアム,2500,7.12,黒,AC NV TV AW SR 革
ルノー,ルーテシア 5D 2WD,2015,５ＭＴ,102,RH4B,4 - きれい,9 ～ 15,2025年09月,ゼン,,8.7,青,900 AC AW 革
ルノー,ルーテシア 5D 2WD,2015,ＡＴ,79,RM5M,5 - すごくきれい,18 ～ 23,2025年09月,ルノースポール シャシーカップ,1600,,白,AC AW
ルノー,カングー 5D 2WD,2013,ＡＴ,103,KWK4M,4 - きれい,9 ～ 12,2025年09月,1.6,1600,,黄,AC AW 革
ルノー,キャプチャー 2WD,2022,ＡＴ,10,HJBH4MH,3 - 普通,148 ～ 153,2025年09月,パールII,1600,,,AC NV TV AW SR 革
ルノー,カングー 5D 2WD,2011,ＡＴ,128,KWK4M,3 - 普通,10 ～ 14,2025年09月,1.6,1600,8.7,黄,AC AW 革
ルノー,カングー 5D 2WD,2014,ＡＴ,116,KWK4M,3 - 普通,6 ～ 11,2025年09月,アクティフ,1600,,黄,AC AW SR 革
ルノー,ルーテシア 5D 2WD,2013,ＡＴ,96,RH5F,5 - すごくきれい,19 ～ 24,2025年09月,インテンス,1200,9.6,赤,AC AW
ルノー,カングー 2WD,2018,ＡＴ,26,KWH5F1,4 - きれい,127 ～ 132,2025年09月,,1200,,青,AC NV TV AW SR 革
ルノー,カングー 5D 2WD,2018,６ＭＴ,77,KWH5F,4 - きれい,69 ～ 71,2025年09月,ゼン,1200,,白,AC NV TV
ルノー,ルーテシア 5D 2WD,2016,ＡＴ,68,RH5F1,3 - 普通,7 ～ 13,2025年09月,インテンス,1200,,赤,AC
