メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ロールスロイス,ゴースト 4D 2WD,2010,ＣＡＴ,58,664S,4 - きれい,751 ～ 757,2025年09月,ベースグレード,6600,,青,AC NV TV AW SR 革
ロールスロイス,レイス クーペ 2WD,2014,ＣＡＴ,36,665C,5 - すごくきれい,1432 ～ 1436,2025年09月,ベースグレード,6600,,黒,AC NV TV AW SR 革
ロールスロイス,ファントム 4D 2WD,2019,ＡＴ,3,5 - すごくきれい,1698 ～ 1703,nan,2025年09月,ＥＷＢ,6700,9.1,赤,AC NV TV AW SR 革
ロールスロイス,ゴースト 4WD,2021,ＣＡＴ,7,TV02,5 - すごくきれい,2948 ～ 2953,2025年09月,黒II,6700,8.2,,AC NV TV AW 革
ロールスロイス,レイス クーペ 2WD,2017,ＡＴ,31,665C,5 - すごくきれい,2518 ～ 2524,2025年09月,,6600,8.6,黒,AC NV TV AW 革
ロールスロイス,カリナン 4WD,2024,ＡＴ,9,689X,5 - すごくきれい,3808 ～ 3813,2025年09月,,6500,9.4,白,AC NV TV AW SR 革
ロールスロイス,ファントム 4D 2WD,2017,ＣＡＴ,38,4 - きれい,745 ～ 751,nan,2025年09月,ベースグレード,6700,9.4,白,AC NV TV 革
ロールスロイス,ゴースト 4D 2WD,2020,ＡＴ,15,664S,5 - すごくきれい,1983 ～ 1987,2025年09月,,6600,,白,AC NV TV AW SR 革
ロールスロイス,ゴースト 2WD,2010,ＣＡＴ,60,664S,3 - 普通,684 ～ 689,2025年09月,紺II,6600,,,AC NV TV AW 革
ロールスロイス,ファントム 4D 2WD,2004,ＡＴ,36,1S68,5 - すごくきれい,790 ～ 793,2025年09月,ベースグレード,6700,8.3,白,AC 革
ロールスロイス,ゴースト 4D 2WD,2016,ＣＡＴ,14,664L,5 - すごくきれい,1373 ～ 1375,2025年09月,ＥＷＢ,6600,8.12,白,AC NV TV AW SR 革
ロールスロイス,レイス クーペ 2WD,2017,ＡＴ,24,665C,5 - すごくきれい,2467 ～ 2472,2025年09月,ベースグレード,6600,9.1,黒,AC NV TV AW 革
ロールスロイス,レイス 2WD,2016,ＣＡＴ,7,665C,5 - すごくきれい,1843 ～ 1846,2025年09月,,6600,9.7,白,AC NV TV 革
ロールスロイス,シルバーセラフ 4D 2WD,1998,ＣＡＴ,42,AL,4 - きれい,313 ～ 315,2025年09月,ベースグレード,5400,,シルバー,AC NV TV AW SR 革
ロールスロイス,ゴースト 4D 2WD,2012,ＡＴ,48,664S,5 - すごくきれい,930 ～ 934,2025年09月,ベースグレード,6600,9.6,,AC NV TV SR 革
ロールスロイス,ゴースト 4D 2WD,2018,ＣＡＴ,12,664S,5 - すごくきれい,1978 ～ 1983,2025年09月,,6600,9.5,黒,AC NV TV AW 革
ロールスロイス,カリナン 4WD,2024,ＡＴ,0,689X,5 - すごくきれい,5911 ～ 5915,2025年09月,,6500,9.9,白,AC NV TV AW 革
ロールスロイス,カリナン 4D 4WD,2019,ＡＴ,16,689X,5 - すごくきれい,3191 ～ 3195,2025年08月,ベースグレード,6500,8.9,,AC NV TV AW SR 革
ロールスロイス,レイス クーペ 2WD,2017,ＣＡＴ,66,665C,4 - きれい,1404 ～ 1408,2025年08月,ベースグレード,6600,7.12,,AC NV TV AW SR 革
ロールスロイス,ファントム 2WD,2004,ＡＴ,87,1S68,4 - きれい,691 ～ 694,2025年08月,,6700,9.8,白,AC NV TV AW SR 革
ロールスロイス,ドーン 2D 2WD,2017,ＣＡＴ,47,665C,5 - すごくきれい,2763 ～ 2766,2025年08月,ライトブルーII,6600,8.7,,AC NV TV AW SR 革
ロールスロイス,ファントム 4D 2WD,2004,ＣＡＴ,33,1S68,5 - すごくきれい,647 ～ 652,2025年08月,ベースグレード,6700,7.11,白,AC 革
ロールスロイス,ファントム 4D 2WD,2006,ＡＴ,74,1S68L,5 - すごくきれい,698 ～ 703,2025年08月,ＥＷＢ,6700,,紺,AC AW 革
ロールスロイス,ゴースト 2WD,2012,ＡＴ,36,664S,5 - すごくきれい,972 ～ 976,2025年08月,,6600,7.6,青,AC NV TV AW SR 革
ロールスロイス,スペクター 4WD,2024,ＡＴ,7,TK2293,5 - すごくきれい,4567 ～ 4570,2025年08月,,,9.6,黒,000 AC NV TV AW SR 革
ロールスロイス,ゴースト 4D 2WD,2012,ＡＴ,61,664S,5 - すごくきれい,946 ～ 951,2025年08月,ベースグレード,6600,,白,AC NV TV SR 革
ロールスロイス,ファントム 2WD,2006,ＡＴ,16,1S68,4 - きれい,934 ～ 940,2025年08月,,6700,7.8,白,AC NV TV AW 革
ロールスロイス,ファントム 4D 2WD,2020,ＡＴ,2,5 - すごくきれい,1622 ～ 1626,nan,2025年07月,ＥＷＢ,6700,9.4,赤,AC AW 革
ロールスロイス,ゴースト 4D 2WD,2012,ＣＡＴ,31,664L,5 - すごくきれい,980 ～ 985,2025年07月,ＥＷＢ,6600,7.10,,AC NV TV SR 革
ロールスロイス,シルバーセラフ 4D 2WD,2001,ＣＡＴ,87,AL,5 - すごくきれい,363 ～ 366,2025年07月,ベースグレード,5400,9.5,シルバー,AC NV TV AW SR 革
ロールスロイス,ファントム 2WD,2006,ＡＴ,115,1S68,4 - きれい,657 ～ 661,2025年07月,,6700,8.9,黒,AC NV TV AW SR 革
ロールスロイス,レイス 2WD,2014,ＡＴ,20,665C,5 - すごくきれい,1391 ～ 1394,2025年07月,,6600,,白,AC NV TV AW SR 革
ロールスロイス,レイス 2WD,2015,ＡＴ,19,665C,5 - すごくきれい,1697 ～ 1702,2025年07月,,6600,8.6,白,AC NV TV 革
