メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
三菱ふそう,キャンター 2D 2WD,2014,５ＭＴ,279,FEB50,3 - 普通,226 ～ 231,2025年09月,ベースグレード,3000,8.8,ゴールド,AC
三菱ふそう,キャンター 2D 2WD,2023,ＡＴ,21,FEB90,5 - すごくきれい,712 ～ 716,2025年09月,ベースグレード,3000,8.6,ゴールド,AC
三菱ふそう,キャンター 2WD,2013,５ＭＴ,186,FEB80,-1 - 修復歴あり,247 ～ 252,2025年09月,,3000,,白,AC
三菱ふそう,ファイター 2D 2WD,2013,６ＭＴ,165,FK71F,3 - 普通,216 ～ 220,2025年09月,ベースグレード,7500,,白,AC NV TV
三菱ふそう,キャンター 2D 2WD,2025,５ＭＴ,1,FBA60,5 - すごくきれい,548 ～ 551,2025年09月,ダンプ,3000,9.4,白,AC
三菱ふそう,キャンター 2WD,2007,６ＭＴ,217,FE82DG,-1 - 修復歴あり,99 ～ 101,2025年09月,,4900,8.6,,AC
三菱ふそう,キャンター 2WD,2006,５ＭＴ,519,FB70BB,2 - 修復必要,19 ～ 23,2025年09月,,3000,7.9,,AC
三菱ふそう,キャンター 2WD,2015,５ＭＴ,715,FEB80,-1 - 修復歴あり,178 ～ 181,2025年09月,,3000,,白,AC
三菱ふそう,キャンター 2WD,2017,ＡＴ,75,FBA20,3 - 普通,122 ～ 128,2025年09月,,3000,,白,AC
三菱ふそう,キャンター 2D 2WD,2020,ＡＴ,173,FEB20,3 - 普通,82 ～ 86,2025年09月,ロング,3000,,白,AC
三菱ふそう,キャンター 2WD,2022,ＡＴ,14,FEB80,5 - すごくきれい,651 ～ 655,2025年09月,,3000,8.5,シルバー,AC
三菱ふそう,キャンター 2D 4WD,2001,５ＭＴ,157,FG50EBD,-1 - 修復歴あり,56 ～ 59,2025年09月,ダンプ,5200,,青,AC
三菱ふそう,キャンター 2D 2WD,1987,５ＭＴ,94,FE305BD,3 - 普通,98 ～ 104,2025年09月,全低床ダンプ,3600,,青,AC
三菱ふそう,キャンター 2WD,2022,ＡＴ,140,FEB80,4 - きれい,456 ～ 461,2025年09月,,3000,7.11,白,AC
三菱ふそう,キャンター 2WD,2001,５ＭＴ,207,FE51CBD,-1 - 修復歴あり,75 ～ 79,2025年09月,,4200,,白,AC
三菱ふそう,キャンター 2D 2WD,1994,５ＭＴ,216,FB511B,3 - 普通,38 ～ 42,2025年09月,ベースグレード,2800,,白,AC
三菱ふそう,キャンター 4D 2WD,2019,ＡＴ,107,FB70BB,3 - 普通,41 ～ 44,2025年09月,Ｗキャブ,3000,,青,AC
三菱ふそう,ファイター 2WD,2003,６ＭＴ,431,FK61HK,3 - 普通,64 ～ 67,2025年09月,,8200,,緑,AC
三菱ふそう,キャンター 2D 2WD,1996,６ＭＴ,1001,FE638F,-1 - 修復歴あり,98 ～ 101,2025年09月,ベースグレード,4600,,白,AC
三菱ふそう,キャンター 2WD,1999,５ＭＴ,160,FE568B,3 - 普通,76 ～ 78,2025年09月,,4600,,白,AC
三菱ふそう,キャンター 4WD,1994,５ＭＴ,350,FD501B,3 - 普通,34 ～ 37,2025年09月,,2800,,白,
三菱ふそう,キャンター 2D 2WD,2015,５ＭＴ,168,FBA20,3 - 普通,67 ～ 73,2025年09月,ベースグレード,3000,,白,AC
三菱ふそう,キャンターガッツ 2WD,2005,５ＭＴ,97,FB700B,-1 - 修復歴あり,26 ～ 28,2025年09月,,2000,,白,AC
三菱ふそう,キャンター 2WD,2005,６ＭＴ,972,FE82DG,3 - 普通,41 ～ 45,2025年09月,,4900,,白,AC
三菱ふそう,キャンター 2D 2WD,2006,５ＭＴ,97,3 - 普通,44 ～ 46,nan,2025年09月,ベースグレード,4900,,白,AC
三菱ふそう,キャンター 2WD,2008,５ＭＴ,77,3 - 普通,63 ～ 66,nan,2025年09月,,,,白,000 AC
三菱ふそう,ファイター 2D 2WD,2008,６ＭＴ,900,FK71R,3 - 普通,40 ～ 42,2025年09月,ベースグレード,4800,,,AC
三菱ふそう,キャンター 2WD,1994,６ＭＴ,91,FE639F,4 - きれい,140 ～ 144,2025年09月,,3900,7.9,白,AC
三菱ふそう,キャンター 2D 2WD,2013,ＡＴ,282,FEA20,-1 - 修復歴あり,25 ～ 30,2025年09月,ベースグレード,3000,,白,AC
三菱ふそう,キャンター 2D 2WD,1996,５ＭＴ,259,FE517BD,-1 - 修復歴あり,110 ～ 113,2025年09月,ダンプ,4200,8.8,青,AC
三菱ふそう,キャンター 2D 2WD,2000,５ＭＴ,270,FE53EB,3 - 普通,42 ～ 45,2025年09月,ベースグレード,5200,,白,AC
三菱ふそう,キャンター 2WD,1997,５ＭＴ,250,FB511B,3 - 普通,25 ～ 27,2025年09月,,2800,,白,AC
三菱ふそう,ファイター 2D 2WD,2025,６ＭＴ,2,5 - すごくきれい,827 ～ 830,nan,2025年09月,ベースグレード,7500,9.7,白,AC
三菱ふそう,キャンター 2WD,2018,ＡＴ,57,FEB20,3 - 普通,169 ～ 171,2025年09月,,3000,8.1,白,AC
三菱ふそう,ファイター 2WD,2006,６ＭＴ,547,FK71F,3 - 普通,47 ～ 52,2025年09月,,7500,,,AC
三菱ふそう,キャンター 2D 4WD,1996,５ＭＴ,240,FD501B,-1 - 修復歴あり,35 ～ 39,2025年09月,ベースグレード,2800,,白,AC
三菱ふそう,キャンター 2D 2WD,1988,５ＭＴ,107,FE425E,-1 - 修復歴あり,63 ～ 68,2025年09月,ベースグレード,3600,,白,
三菱ふそう,キャンター 2D 2WD,2005,６ＭＴ,415,3 - 普通,142 ～ 147,nan,2025年09月,ベースグレード,4900,,白,AC
三菱ふそう,ファイター 2D 2WD,2003,６ＭＴ,295,FK71GJ,3 - 普通,167 ～ 171,2025年09月,ベースグレード,8200,,白,AC
三菱ふそう,キャンター 2D 2WD,2001,５ＭＴ,31,FE51CB,3 - 普通,76 ～ 78,2025年09月,ベースグレード,4200,8.7,白,AC
三菱ふそう,キャンター 2D 2WD,1996,６ＭＴ,147,FE638F,3 - 普通,153 ～ 157,2025年09月,ベースグレード,4600,,白,AC
三菱ふそう,キャンター 2D 2WD,1992,５ＭＴ,198,FE317BD,-1 - 修復歴あり,166 ～ 171,2025年09月,ダンプ,4200,,パープル,AC
三菱ふそう,キャンター 2WD,1991,５ＭＴ,75,FE337E,-1 - 修復歴あり,106 ～ 109,2025年09月,,4200,,白,
