メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
日本フォード,フェスティバミニワゴン 5D 2WD,1997,ＡＴ,16,DW5WF,3 - 普通,8 ～ 14,2025年09月,Ｓ,1500,,青,AC NV TV AW SR 革
日本フォード,フリーダ 2WD,1999,ＡＴ,83,SG5WF,3 - 普通,7 ～ 11,2025年09月,白II,2500,,,AC NV TV AW SR 革
日本フォード,Ｊ８０トラック 2WD,1992,５ＭＴ,67,SEF8TF,3 - 普通,13 ～ 15,2025年09月,,2000,,白,AC NV TV AW SR 革
日本フォード,フェスティバミニワゴン 5D 2WD,2000,５ＭＴ,77,DW3WF,4 - きれい,5 ～ 9,2025年08月,ＪＸ,1300,,シルバー,AC
日本フォード,フェスティバミニワゴン 5D 2WD,1999,ＡＴ,53,DW3WF,3 - 普通,3 ～ 8,2025年08月,ＪＸ,1300,,ベージュ,AC NV TV AW SR 革
日本フォード,フリーダ 4D 2WD,1996,ＡＴ,214,SGL3F,3 - 普通,19 ～ 22,2025年08月,ＸＬ－Ｔ,2500,,シルバー,AC NV TV AW SR 革
日本フォード,フェスティバミニワゴン 5D 2WD,1998,ＡＴ,74,DW3WF,3 - 普通,1 ～ 6,2025年08月,ＪＸ,1300,,紺,AC 革
日本フォード,フェスティバミニワゴン 5D 2WD,1997,ＡＴ,21,DW3WF,3 - 普通,24 ～ 27,2025年07月,ＪＸ,1300,8.6,紺,AC NV TV AW SR 革
日本フォード,フェスティバ 2WD,1989,ＡＴ,51,DA3PF,-1 - 修復歴あり,9 ～ 11,2025年07月,,1300,,青,AC NV TV AW SR 革
日本フォード,フリーダ 4WD,1996,ＡＴ,135,SGLRF,4 - きれい,9 ～ 14,2025年07月,,2500,,シルバー,AC NV TV AW SR 革
日本フォード,フリーダ 4D 2WD,1996,ＡＴ,219,SGL3F,3 - 普通,26 ～ 31,2025年07月,ＸＬ－Ｔ,2500,,シルバー,AC
日本フォード,フリーダ 2WD,1996,ＡＴ,49,SG5WF,3 - 普通,16 ～ 22,2025年06月,,2500,,緑,AC
日本フォード,フェスティバ 2WD,1988,５ＭＴ,167,DA3PF,-1 - 修復歴あり,4 ～ 9,2025年06月,,1300,,青,AC NV TV AW SR 革
日本フォード,フリーダ 2WD,1999,ＡＴ,67,SG5WF,3 - 普通,13 ～ 18,2025年06月,白II,2500,,,AC NV TV AW SR 革
日本フォード,フリーダ 2WD,1997,ＡＴ,154,SGLWF,2 - 修復必要,20 ～ 23,2025年06月,,2500,,シルバー,AC
日本フォード,フェスティバミニワゴン 2WD,2000,ＡＴ,85,DW3WF,3 - 普通,3 ～ 7,2025年05月,,1300,,紺,AC NV TV AW SR 革
日本フォード,フリーダ 4WD,1999,ＡＴ,81,SGL5F,2 - 修復必要,26 ～ 32,2025年05月,白II,2500,,,AC NV TV AW SR 革
日本フォード,フリーダ 2WD,1998,ＡＴ,80,SGEWF,3 - 普通,7 ～ 11,2025年05月,,2000,,白,AC
日本フォード,フリーダ 4D 2WD,1998,ＡＴ,74,SGEWF,3 - 普通,2 ～ 6,2025年04月,ＸＬ－Ｔカスタム,2000,,シルバー,AC NV TV AW SR 革
日本フォード,レーザー 2WD,1985,５ＭＴ,72,BF5PF,-1 - 修復歴あり,4 ～ 6,2025年04月,,1500,,白,AC NV TV AW SR 革
日本フォード,レーザー 2WD,1986,５ＭＴ,109,BFMPF,3 - 普通,7 ～ 10,2025年04月,黒II,1600,,,AC
日本フォード,スペクトロン 4WD,1994,ＡＴ,158,SSF8RF,3 - 普通,17 ～ 22,2025年04月,,2000,,黒,AC NV TV AW SR 革
日本フォード,テルスターワゴン 4WD,1998,ＡＴ,324,GWERF,-1 - 修復歴あり,3 ～ 7,2025年04月,,2000,,,AC NV TV AW SR 革
日本フォード,フェスティバミニワゴン 5D 2WD,1997,ＡＴ,157,DW5WF,3 - 普通,1 ～ 7,2025年04月,Ｓ,1500,,黒,AC NV TV AW SR 革
日本フォード,フリーダ 4D 2WD,1995,５ＭＴ,126,SGLWF,-1 - 修復歴あり,24 ～ 27,2025年04月,ＸＬ－Ｔ,2500,,シルバー,AC
日本フォード,Ｊ１００トラック 2WD,1991,５ＭＴ,130,SD2ATF,3 - 普通,26 ～ 29,2025年04月,,2200,,白,AC NV TV AW SR 革
日本フォード,テルスターセダン 2WD,1998,５ＭＴ,122,GF8PF,-1 - 修復歴あり,10 ～ 15,2025年03月,,1800,,シルバー,AC NV TV AW SR 革
日本フォード,フリーダ 4D 2WD,2001,ＡＴ,197,SG5WF,3 - 普通,10 ～ 12,2025年03月,,2500,,白,エアロ AC NV TV AW SR 革
日本フォード,フェスティバミニワゴン 2WD,1998,ＡＴ,59,DW3WF,-1 - 修復歴あり,5 ～ 7,2025年03月,,1300,,紺,AC NV TV AW SR 革
日本フォード,Ｊ１００トラック 2WD,1991,５ＭＴ,132,SD2ATF,-1 - 修復歴あり,18 ～ 20,2025年03月,,2200,,白,AC NV TV AW SR 革
