メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
日産,セレナ 5D 2WD,2020,ＡＴ,HFC27,4 - きれい,nan,nan,null年 月,ｅ－パワー ハイウェイスターＶ,1200,,パール,AC NV TV AW
日産,フーガ 4D 4WD,2014,ＡＴ,62,KNY51,4 - きれい,66 ～ 72,2025年09月,３７０ＧＴ ＦＯＵＲ,3700,,パール,AC NV TV AW 革
日産,ノート 5D 2WD,2020,ＡＴ,37,HE12,4 - きれい,57 ～ 62,2025年09月,ｅ－パワー Ｂ,1200,,シルバー,AC
日産,ルークス 5D 2WD,2010,ＡＴ,996,ML21S,-1 - 修復歴あり,0 ～ 4,2025年09月,Ｅ,,,シルバー,660 AC
日産,モコ 2WD,2007,ＡＴ,176,MG22S,3 - 普通,0 ～ 4,2025年09月,,,,シルバー,660 AC NV TV AW 革
日産,ノート 5D 2WD,2018,ＡＴ,10,HE12,5 - すごくきれい,77 ～ 80,2025年09月,ｅ－パワー メダリスト,1200,,赤,AC NV TV AW SR 革
日産,ノート 5D 2WD,2022,ＡＴ,29,E13,5 - すごくきれい,122 ～ 125,2025年09月,Ｓ,1200,,白,AC NV TV AW 革
日産,ルークス 5D 2WD,2013,ＡＴ,62,ML21S,4 - きれい,20 ～ 24,2025年09月,Ｘアイドリングストップ,,9.2,白,660 AC NV TV
日産,モコ 5D 4WD,2012,ＡＴ,74,MG33S,-1 - 修復歴あり,5 ～ 7,2025年09月,Ｘ ＦＯＵＲ,,,パール,660 AC NV TV AW SR 革
日産,ノート 5D 2WD,2015,ＡＴ,82,E12,-1 - 修復歴あり,10 ～ 14,2025年09月,Ｘ ＤＩＧ－Ｓ,1200,,パール,AC NV TV AW 革
日産,ルークス 5D 2WD,2010,ＡＴ,113,ML21S,3 - 普通,1 ～ 5,2025年09月,Ｇ,,,ピンク,660 AC
日産,ブルーバードシルフィ 4D 2WD,2008,ＡＴ,139,KG11,-1 - 修復歴あり,7 ～ 11,2025年09月,アクシス,2000,,パール,AC NV TV AW SR 革
日産,デイズ 2WD,2014,ＡＴ,104,B21W,3 - 普通,12 ～ 17,2025年09月,,,,黒,660 AC NV TV AW 革
日産,ティアナ 4D 2WD,2011,ＡＴ,103,J32,4 - きれい,8 ～ 13,2025年09月,２５０ＸＶ,2500,,黒,AC NV TV AW
日産,モコ 5D 4WD,2007,ＡＴ,62,MG22S,2 - 修復必要,2 ～ 4,2025年09月,Ｅ ＦＯＵＲ,,,ベージュ,660 AC NV TV AW SR 革
日産,マーチ 5D 2WD,2008,ＡＴ,49,AK12,4 - きれい,5 ～ 9,2025年09月,１２Ｓコレット,1200,,白,AC
日産,マーチ 5D 2WD,2021,ＡＴ,14,K13,-1 - 修復歴あり,39 ～ 43,2025年09月,Ｓ,1200,,パール,AC NV TV AW SR 革
日産,ノート 5D 2WD,2009,ＡＴ,119,E11,4 - きれい,9 ～ 12,2025年09月,１５Ｘ,1500,8.9,シルバー,AC NV TV AW SR 革
日産,マーチ 5D 2WD,2017,ＡＴ,83,K13,4 - きれい,17 ～ 20,2025年09月,Ｘ Ｖセレクション,1200,,ピンク,AC AW SR
日産,ノート 5D 2WD,2014,ＡＴ,67,E12,3 - 普通,7 ～ 12,2025年09月,Ｘ ＤＩＧ－Ｓ エマージェンシーブレーキパッケージ,1200,,シルバー,AC
日産,ルークス 5D 2WD,2011,ＡＴ,101,ML21S,4 - きれい,11 ～ 14,2025年09月,ハイウェイスター,,,シルバー,660 AC
日産,ノート 5D 2WD,2017,ＡＴ,116,HE12,3 - 普通,33 ～ 37,2025年09月,ｅ－パワー Ｘ,1200,8.4,グレー,AC NV TV AW 革
日産,ノート 5D 2WD,2010,ＡＴ,88,E11,4 - きれい,8 ～ 12,2025年09月,１５Ｘ,1500,,パール,AC NV TV AW SR
日産,ティーダラティオ 4D 2WD,2008,ＡＴ,33,SC11,-1 - 修復歴あり,11 ～ 15,2025年09月,１５Ｓ,1500,9.1,シルバー,AC NV TV AW
日産,ルークス 5D 2WD,2011,ＡＴ,73,ML21S,3 - 普通,9 ～ 14,2025年09月,ハイウェイスター,,8.6,パープル,660 AC NV TV AW
日産,ノート 5D 2WD,2018,ＡＴ,228,HE12,3 - 普通,31 ～ 35,2025年09月,ｅ－パワー Ｘ,1200,,シルバー,AC NV TV AW 革
日産,マーチ 5D 2WD,2009,ＡＴ,43,AK12,3 - 普通,11 ～ 15,2025年09月,１２Ｂ,1200,8.6,白,AC AW SR
日産,フーガ 4D 2WD,2012,ＡＴ,49,Y51,5 - すごくきれい,49 ～ 53,2025年09月,２５０ＧＴ,2500,,グレー,AC NV TV AW SR 革
日産,ノート 5D 2WD,2012,ＡＴ,71,E12,3 - 普通,8 ～ 12,2025年09月,Ｘ,1200,,赤,AC NV TV AW 革
