メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
日産ディーゼル,コンドル 2WD,2012,６ＭＴ,130,3 - 普通,99 ～ 102,nan,2025年09月,,,,白,000 AC
日産ディーゼル,コンドル 2WD,2012,６ＭＴ,89,3 - 普通,101 ～ 104,nan,2025年09月,,,,白,000 AC NV TV
日産ディーゼル,コンドル 2WD,2004,６ＭＴ,319,MK25A,3 - 普通,199 ～ 202,2025年09月,,6900,,青,AC
日産ディーゼル,コンドル 2WD,2008,６ＭＴ,1002,3 - 普通,57 ～ 61,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2D 2WD,1995,６ＭＴ,45,CM89ASD,3 - 普通,123 ～ 128,2025年09月,ダンプ,6900,,白,AC
日産ディーゼル,コンドル 2WD,2015,６ＭＴ,165,3 - 普通,282 ～ 286,nan,2025年09月,,,,白,000 AC
日産ディーゼル,コンドル 2WD,2011,６ＭＴ,464,3 - 普通,253 ～ 256,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2WD,2000,５ＭＴ,284,3 - 普通,44 ～ 49,nan,2025年09月,,,,白,000 AC
日産ディーゼル,コンドル 2WD,2006,６ＭＴ,300,3 - 普通,198 ～ 202,nan,2025年09月,,,8.7,青,000 AC
日産ディーゼル,コンドル 2WD,2003,６ＭＴ,997,MK25A,-1 - 修復歴あり,92 ～ 98,2025年09月,,6900,,,AC
日産ディーゼル,コンドル 2WD,2008,６ＭＴ,390,3 - 普通,132 ～ 137,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2WD,2017,６ＭＴ,941,3 - 普通,111 ～ 116,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2D 2WD,2003,６ＭＴ,998,MK25A,3 - 普通,155 ～ 159,2025年09月,ベースグレード,6900,,,AC
日産ディーゼル,コンドル 2D 2WD,2004,６ＭＴ,1002,MK25A,-1 - 修復歴あり,77 ～ 82,2025年09月,ベースグレード,6900,,,AC
日産ディーゼル,コンドル 2WD,2006,６ＭＴ,496,3 - 普通,52 ～ 57,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2D 2WD,2003,６ＭＴ,879,MK26A,3 - 普通,82 ～ 84,2025年09月,ベースグレード,9200,,,AC
日産ディーゼル,コンドル 2WD,2012,６ＭＴ,1001,3 - 普通,88 ～ 92,nan,2025年09月,,,,青,000 AC
日産ディーゼル,コンドル 2D 2WD,2004,６ＭＴ,496,MK25A,-1 - 修復歴あり,107 ～ 111,2025年09月,ベースグレード,6900,,,AC
日産ディーゼル,コンドル 2WD,2001,６ＭＴ,1000,MK252KH,-1 - 修復歴あり,97 ～ 100,2025年09月,,6900,,,AC
日産ディーゼル,ビッグサム 2WD,2003,７ＭＴ,693,3 - 普通,268 ～ 273,nan,2025年09月,,,,,000 AC NV TV
日産ディーゼル,コンドル 2WD,2004,６ＭＴ,1188,3 - 普通,57 ～ 62,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2WD,2008,６ＭＴ,977,3 - 普通,48 ～ 53,nan,2025年09月,アイボリー,,,,000 AC
日産ディーゼル,コンドル 2WD,2012,６ＭＴ,274,3 - 普通,62 ～ 67,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2WD,2004,６ＭＴ,441,3 - 普通,212 ～ 216,nan,2025年09月,,,,,000 AC
日産ディーゼル,コンドル 2WD,2016,６ＭＴ,1118,3 - 普通,176 ～ 180,nan,2025年09月,,,8.5,,000 AC
日産ディーゼル,コンドル 2D 2WD,2003,６ＭＴ,997,MK25A,-1 - 修復歴あり,196 ～ 201,2025年09月,ベースグレード,6900,,,AC
