メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
米国日産,クエスト 5D 2WD,2014,ＡＴ,70,4 - きれい,191 ～ 195,nan,2025年09月,ベースグレード,3500,7.9,黒,AC NV TV AW SR 革
米国日産,クエスト 5D 2WD,1995,ＡＴ,156,3 - 普通,14 ～ 19,nan,2025年09月,ベースグレード,3000,,ゴールド,AC AW SR 革
米国日産,アルマダ 2WD,2013,ＡＴ,101,3 - 普通,35 ～ 38,nan,2025年07月,,5600,,黒,AC NV TV AW SR 革
米国日産,クエスト 5D 2WD,2007,ＡＴ,74,3 - 普通,34 ～ 38,nan,2025年07月,,3500,8.2,黒,AC NV TV AW SR 革
米国日産,フロンティア 2WD,2025,ＡＴ,9,3 - 普通,152 ～ 157,nan,2025年06月,,4000,9.2,白,AC NV TV AW SR 革
米国日産,アルマダ 4WD,2004,ＡＴ,109,3 - 普通,34 ～ 38,nan,2025年05月,,5600,,黒,AC NV TV AW SR 革
米国日産,ダットサントラック 2D 2WD,1988,ＡＴ,84,-1 - 修復歴あり,96 ～ 98,nan,2025年05月,,3000,,黒,AC NV TV AW SR 革
米国日産,タイタン 4WD,2021,ＣＡＴ,84,5 - すごくきれい,368 ～ 372,nan,2025年04月,,5600,7.7,黒,AC NV TV AW SR 革
米国日産,タイタン 2WD,2012,ＡＴ,137,3 - 普通,58 ～ 62,nan,2025年04月,,5600,,白,AC NV TV AW
米国日産,フロンティア 2WD,2009,ＣＡＴ,152,-1 - 修復歴あり,92 ～ 97,nan,2025年03月,,2500,7.7,グレー,AC NV TV AW SR 革
米国日産,フロンティア 2WD,2009,ＣＡＴ,148,-1 - 修復歴あり,93 ～ 95,nan,2025年03月,,2500,7.12,グレー,AC NV TV AW SR 革
米国日産,ジューク 5D 2WD,2017,６ＭＴ,117,-1 - 修復歴あり,76 ～ 80,nan,2025年03月,,1600,,パール,AC NV TV AW SR 革
米国日産,アルティマ 4D 2WD,2019,ＡＴ,55,5 - すごくきれい,166 ～ 169,nan,2025年03月,ベースグレード,2500,,シルバー,AC NV TV AW SR 革
米国日産,フェアレディ クーペ 2WD,1989,ＡＴ,88,3 - 普通,178 ～ 182,nan,2025年03月,ベースグレード,3000,,グレー,AC NV TV AW SR 革
米国日産,クエスト 5D 2WD,2012,ＡＴ,54,4 - きれい,179 ～ 183,nan,2025年03月,ベースグレード,3500,9.5,パープル,AC NV TV AW SR 革
米国日産,クエスト 5D 2WD,2012,ＡＴ,106,4 - きれい,168 ～ 170,nan,2025年03月,,3500,7.12,黒,AC AW 革
米国日産,タイタン 4WD,2009,ＡＴ,90,3 - 普通,73 ～ 76,nan,2025年03月,,5600,,白,AC NV TV AW SR 革
米国日産,クエスト 5D 2WD,1996,ＣＡＴ,145,4 - きれい,49 ～ 52,nan,2025年03月,赤II,3000,,,AC AW SR 革
米国日産,アルマダ 4WD,2009,ＡＴ,113,3 - 普通,27 ～ 31,nan,2025年02月,,5600,,黒,AC NV TV AW SR 革
米国日産,アルマダ 4WD,2009,ＡＴ,111,3 - 普通,25 ～ 29,nan,2025年02月,,5600,,黒,AC NV TV AW SR 革
米国日産,クエスト 5D 2WD,2011,ＡＴ,109,4 - きれい,189 ～ 191,nan,2025年02月,ベースグレード,3500,8.10,パール,AC NV TV AW SR 革
米国日産,アルマダ 4WD,2009,ＡＴ,111,3 - 普通,32 ～ 36,nan,2025年02月,,5600,,黒,AC SR 革
米国日産,アルマダ 4WD,2009,ＡＴ,116,3 - 普通,33 ～ 36,nan,2025年02月,,5600,,黒,AC SR 革
米国日産,マキシマ 4D 2WD,2013,ＡＴ,118,3 - 普通,59 ～ 64,nan,2025年01月,,3500,8.10,黒,AC NV TV AW SR 革
米国日産,マキシマ 4D 2WD,2013,ＡＴ,116,3 - 普通,59 ～ 63,nan,2025年01月,,3500,8.7,黒,AC NV TV AW SR 革
米国日産,マキシマ 4D 2WD,2013,ＡＴ,114,3 - 普通,59 ～ 62,nan,2025年01月,,3500,8.11,黒,AC NV TV AW SR 革
米国日産,タイタン 4D 4WD,2008,ＡＴ,152,3 - 普通,65 ～ 67,nan,2025年01月,クルーキャブＳＥ,5600,,ゴールド,AC NV TV AW SR 革
米国日産,タイタン 4WD,2012,ＡＴ,54,4 - きれい,223 ～ 226,nan,2024年12月,,5600,,黒,AC
米国日産,クエスト 5D 2WD,2012,ＡＴ,71,4 - きれい,193 ～ 196,nan,2024年11月,,3500,6.12,パール,AC NV TV AW SR 革
米国日産,アルマダ 4WD,2014,ＡＴ,92,4 - きれい,82 ～ 86,nan,2024年11月,,5600,,パール,AC NV TV AW SR 革
米国日産,アルマダ 4WD,2014,ＡＴ,87,4 - きれい,81 ～ 86,nan,2024年11月,,5600,,パール,AC SR 革
米国日産,タイタン 4WD,2012,ＡＴ,58,4 - きれい,228 ～ 231,nan,2024年08月,,5600,,黒,AC
米国日産,クエスト 5D 2WD,2013,ＡＴ,96,4 - きれい,164 ～ 169,nan,2024年07月,,3500,8.1,シルバー,AC 革
