メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
アウディ,Ｑ３スポーツバック 5D 4WD,2021,ＡＴ,154,F3DFGF,3 - 普通,169 ～ 172,2025年09月,３５ＴＤＩクワトロ Ｓライン,2000,8.6,グレー,AC NV TV AW 革
アウディ,Ｑ２ 5D 2WD,2018,ＡＴ,42,GACHZ,5 - すごくきれい,121 ～ 126,2025年09月,１．０ＴＦＳＩスポーツ,1000,,赤,AC NV TV AW
アウディ,Ｑ３ 5D 2WD,2023,ＡＴ,2,F3DFY,4 - きれい,308 ～ 312,2025年09月,３５ＴＦＳＩ Ｓライン,1500,8.4,グレー,AC NV TV AW 革
アウディ,Ａ４アバント 5D 2WD,2011,ＡＴ,66,8KCDN,4 - きれい,15 ～ 21,2025年09月,２．０ＴＦＳＩ,2000,9.1,白,AC NV TV AW 革
アウディ,Ｑ３ 4WD,2016,ＡＴ,35,8UCULB,5 - すごくきれい,103 ～ 106,2025年09月,,2000,,白,AC NV TV AW
アウディ,Ａ３セダン 4D 2WD,2018,ＡＴ,48,8VCXSL,5 - すごくきれい,146 ～ 151,2025年09月,１．４ＴＦＳＩ スポーツ,1400,,青,AC NV TV AW 革
アウディ,Ａ４ 4D 4WD,2016,ＡＴ,83,8WCYRF,4 - きれい,72 ～ 74,2025年09月,２．０ＴＦＳＩクワトロスポーツ,2000,,黒,AC NV TV AW 革
アウディ,ＲＳ７スポーツバック 5D 4WD,2014,ＡＴ,18,4GCRDC,5 - すごくきれい,383 ～ 388,2025年09月,ベースグレード,4000,9.8,黒,AC NV TV AW SR 革
アウディ,Ａ３ 5D 2WD,2020,ＡＴ,60,8VCXS,5 - すごくきれい,113 ～ 115,2025年09月,スポーツバック３０ＴＦＳＩ シグネチャーエディション,1400,,パール,AC NV TV AW 革
アウディ,Ａ７スポーツバック 5D 4WD,2015,ＡＴ,83,4GCYPC,4 - きれい,77 ～ 80,2025年09月,２．０ＴＦＳＩクワトロ,2000,8.6,パール,AC NV TV AW 革
アウディ,Ｑ２ 5D 2WD,2018,ＡＴ,88,GACHZ,5 - すごくきれい,120 ～ 124,2025年09月,ハッシュタグ コントラストリミテッド,1000,,白,AC NV TV AW
アウディ,ＴＴクーペ クーペ 4WD,2021,ＡＴ,22,FVDKTF,5 - すごくきれい,366 ～ 368,2025年09月,４５ＴＦＳＩクワトロ Ｓラインパッケージ,2000,8.8,白,AC NV TV AW SR 革
アウディ,Ｑ２ 5D 2WD,2023,ＡＴ,6,GADPC,5 - すごくきれい,255 ～ 260,2025年09月,３５ＴＦＳＩアドバンスド,1500,8.10,グレー,AC NV TV AW SR 革
アウディ,Ｑ３ 5D 2WD,2016,ＡＴ,64,8UCZD,-1 - 修復歴あり,77 ～ 79,2025年09月,１．４ＴＦＳＩスポーツ,1400,,黒,AC NV TV AW
アウディ,Ｑ３ 5D 2WD,2023,ＡＴ,29,F3DFY,5 - すごくきれい,308 ～ 312,2025年09月,３５ＴＦＳＩ Ｓライン,1500,8.9,白,AC NV TV AW SR 革
アウディ,ＲＳ３ 4D 4WD,2024,ＡＴ,1,GYDNWF,5 - すごくきれい,614 ～ 618,2025年09月,ベースグレード,2500,9.3,黒,AC NV TV AW SR 革
アウディ,Ａ３ 5D 2WD,2011,ＡＴ,86,8PCAX,3 - 普通,12 ～ 15,2025年09月,スポーツバック１．４ＴＦＳＩ,1400,,黒,AC NV TV AW
アウディ,Ａ３セダン 4D 2WD,2023,ＡＴ,11,GYDLA,5 - すごくきれい,297 ～ 300,2025年09月,３０ＴＦＳＩ,1000,,黒,AC NV TV AW SR 革
アウディ,Ｓ３ 5D 4WD,2011,ＡＴ,95,8PCDLF,5 - すごくきれい,52 ～ 57,2025年09月,スポーツバック,2000,8.10,白,AC NV TV
アウディ,Ｓ６アバント 5D 4WD,2016,ＡＴ,100,4GCTGA,4 - きれい,278 ～ 281,2025年09月,ベースグレード,4000,9.4,黒,AC NV TV AW SR 革
アウディ,Ｑ５ 5D 4WD,2021,ＡＴ,17,FYDTPS,5 - すごくきれい,329 ～ 332,2025年09月,４０ＴＤＩクワトロ Ｓライン,2000,7.11,白,AC NV TV AW 革
アウディ,Ｓ４アバント 5D 4WD,2018,ＡＴ,120,8WCWGF,4 - きれい,199 ～ 203,2025年09月,ベースグレード,3000,,青,AC NV TV AW 革
アウディ,Ａ４ 4D 2WD,2015,ＡＴ,92,8KCDN,4 - きれい,39 ～ 45,2025年09月,２．０ＴＦＳＩアーバンスタイルエディション,2000,7.11,パール,AC NV TV AW 革
アウディ,Ｑ５ 5D 4WD,2019,ＡＴ,96,FYDAXS,5 - すごくきれい,184 ～ 190,2025年09月,４５ＴＦＳＩクワトロ スポーツ,2000,8.7,白,AC NV TV AW SR 革
アウディ,Ａ５スポーツバック 5D 2WD,2019,ＡＴ,68,F5CVKL,5 - すごくきれい,152 ～ 155,2025年09月,４０ＴＦＳＩスポーツ,2000,8.5,グレー,AC NV TV AW SR 革
アウディ,Ａ３ 5D 2WD,2016,ＡＴ,88,8VCXS,4 - きれい,81 ～ 83,2025年09月,スポーツバック１．４ＴＦＳＩ,1400,,白,AC NV TV AW 革
アウディ,Ａ３セダン 4D 2WD,2018,ＡＴ,31,8VCXSL,5 - すごくきれい,164 ～ 168,2025年09月,１．４ＴＦＳＩ スポーツ Ｓラインパッケージ,1400,,白,AC NV TV AW
アウディ,Ａ４ 4D 2WD,2014,ＡＴ,115,8KCDN,4 - きれい,23 ～ 26,2025年09月,２．０ＴＦＳＩ,2000,,シルバー,AC NV TV AW
