メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
アメリカホンダ,オデッセイ 5D 2WD,2011,ＡＴ,301,3 - 普通,36 ～ 40,nan,2025年09月,ベースグレード,3500,,シルバー,AC NV TV AW SR 革
アメリカホンダ,アコード 2WD,2012,ＡＴ,184,3 - 普通,37 ～ 41,nan,2025年09月,,2400,,黒,AC NV TV AW SR 革
アメリカホンダ,オデッセイ 5D 2WD,2014,ＡＴ,263,3 - 普通,69 ～ 73,nan,2025年09月,ベースグレード,3500,9.4,パール,AC AW 革
アメリカホンダ,オデッセイ 5D 2WD,2012,ＡＴ,98,4 - きれい,96 ～ 102,nan,2025年09月,ベースグレード,3500,8.11,黒,AC SR 革
アメリカホンダ,アコードワゴン 5D 2WD,1996,ＡＴ,65,4 - きれい,164 ～ 169,nan,2025年09月,ベースグレード,2200,8.10,シルバー,AC NV TV AW SR 革
アメリカホンダ,オデッセイ 5D 2WD,2019,ＡＴ,93,4 - きれい,123 ～ 126,nan,2025年08月,ＥＸ－Ｌ,3500,8.10,ゴールド,AC NV TV AW SR 革
アメリカホンダ,リッジライン 2WD,2009,ＡＴ,171,3 - 普通,94 ～ 100,nan,2025年07月,,3500,7.7,グレー,AC NV TV AW SR 革
アメリカホンダ,オデッセイ 5D 2WD,2014,ＡＴ,117,3 - 普通,59 ～ 64,nan,2025年07月,ＥＸ－Ｌ,3500,8.8,ゴールド,AC NV TV AW SR 革
アメリカホンダ,オデッセイ 5D 2WD,2011,ＡＴ,170,3 - 普通,86 ～ 88,nan,2025年07月,ＥＸ－Ｌ,3500,8.7,黒,AC NV TV AW SR 革
アメリカホンダ,リッジライン 4D 4WD,2014,ＣＡＴ,106,4 - きれい,138 ～ 143,nan,2025年07月,ＲＴＬ,3500,,白,AC NV TV AW SR 革
アメリカホンダ,リッジライン 4WD,2014,ＣＡＴ,179,3 - 普通,83 ～ 87,nan,2025年07月,,3500,8.1,黒,AC AW
アメリカホンダ,アコード 2WD,1999,ＡＴ,53,3 - 普通,80 ～ 83,nan,2025年07月,,3000,7.10,白,AC NV TV AW SR 革
アメリカホンダ,シビッククーペ クーペ 2WD,2015,６ＭＴ,95,4 - きれい,195 ～ 200,nan,2025年06月,,1600,8.4,黄,AC NV TV AW SR 革
