メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
アルファロメオ,ミト 3D 2WD,2011,ＡＴ,58,95514P,3 - 普通,11 ～ 16,2025年09月,コンペティツィオーネ,1400,,赤,AC NV TV AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2016,ＡＴ,42,940181,3 - 普通,24 ～ 28,2025年09月,クアドリフォリオ ヴェルデ,1800,,赤,AC NV TV AW 革
アルファロメオ,ミト 2WD,2010,ＡＴ,137,95514P,3 - 普通,3 ～ 7,2025年09月,,1400,,白,AC NV TV AW 革
アルファロメオ,ミト 3D 2WD,2011,ＡＴ,54,955142,4 - きれい,8 ～ 12,2025年09月,コンペティツィオーネ,1400,8.9,ワイン,AC NV TV AW 革
アルファロメオ,ミト 3D 2WD,2011,６ＭＴ,76,955143,3 - 普通,8 ～ 11,2025年09月,クアドリフォリオ ヴェルデ,1400,9.7,白,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,51,940141,3 - 普通,6 ～ 11,2025年09月,スポルティーバ,1400,,赤,AC AW 革
アルファロメオ,ジュリア 4D 4WD,2019,ＡＴ,40,95220,5 - すごくきれい,196 ～ 200,2025年09月,ヴェローチェ,2000,8.12,青,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,96,940141,4 - きれい,11 ～ 15,2025年09月,スポルティーバ,1400,,白,AC AW 革
アルファロメオ,ミト 3D 2WD,2009,６ＭＴ,88,955141,3 - 普通,2 ～ 6,2025年09月,イモラリミテッドエディション,1400,8.10,黄,AC
アルファロメオ,ミト 3D 2WD,2011,ＡＴ,51,955142,3 - 普通,11 ～ 13,2025年09月,スプリント スペシャルエデション,1400,8.11,赤,AC NV TV AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,108,940141,3 - 普通,8 ～ 12,2025年09月,スポルティーバ,1400,,赤,AC AW SR 革
アルファロメオ,ミト 3D 2WD,2013,ＡＴ,42,955142,3 - 普通,7 ～ 10,2025年09月,コンペティツィオーネ,1400,,白,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 2WD,2021,ＡＴ,8,94018P,5 - すごくきれい,290 ～ 294,2025年09月,,1800,8.8,赤,AC NV TV AW SR 革
アルファロメオ,トナーレ 5D 4WD,2024,ＡＴ,2,AV113,5 - すごくきれい,297 ～ 302,2025年09月,プラグインハイブリッドＱ４ ヴェローチェ,1300,9.3,緑,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,105,940141,3 - 普通,5 ～ 9,2025年09月,スポルティーバ,1400,,赤,AC NV TV AW 革
アルファロメオ,ミト 3D 2WD,2011,ＡＴ,121,955142,-1 - 修復歴あり,4 ～ 7,2025年09月,コンペティツィオーネ,1400,8.6,白,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,80,940141,3 - 普通,8 ～ 12,2025年09月,スプリント スペチアーレ,1400,,白,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2012,ＡＴ,86,940141,4 - きれい,7 ～ 9,2025年09月,スプリント,1400,7.10,黒,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2015,ＡＴ,75,940141,4 - きれい,8 ～ 11,2025年09月,スポルティーバ,1400,,赤,AC AW 革
アルファロメオ,アルファ１５６ 4D 2WD,2003,ＡＴ,127,932AC,4 - きれい,17 ～ 22,2025年09月,２．５ Ｖ６ ２４Ｖ Ｑシステム,2500,,パール,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2013,ＡＴ,34,940141,4 - きれい,33 ～ 35,2025年09月,スポルティーバ,1400,,黒,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,75,940141,3 - 普通,11 ～ 15,2025年09月,スプリント,1400,,黒,AC NV TV AW 革
アルファロメオ,ミト 2WD,2016,ＡＴ,33,955142,4 - きれい,21 ～ 26,2025年09月,,1400,,赤,AC 革
アルファロメオ,ジュリエッタ 5D 2WD,2016,ＡＴ,61,940141,3 - 普通,23 ～ 26,2025年09月,スポルティーバ,1400,,赤,AC NV TV AW 革
アルファロメオ,アルファ１５６ 4D 2WD,2004,５ＭＴ,101,932AXA,3 - 普通,9 ～ 13,2025年09月,２．０ ＪＴＳ,2000,,青,AC AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2016,ＡＴ,50,940141,4 - きれい,33 ～ 37,2025年09月,スポルティーバ,1400,,赤,AC NV TV AW 革
アルファロメオ,アルファ１４７ 3D 2WD,2002,５ＭＴ,76,937AB,4 - きれい,23 ～ 27,2025年09月,２．０ ツインスパーク,2000,,白,AC NV TV AW SR 革
アルファロメオ,ジュリア 4D 2WD,2017,ＡＴ,52,95220,4 - きれい,118 ～ 122,2025年09月,スーパー,2000,8.12,黒,AC AW 革
アルファロメオ,ジュリエッタ 2WD,2014,ＡＴ,46,940141,3 - 普通,19 ～ 22,2025年09月,,1400,7.12,赤,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2013,ＡＴ,51,940141,4 - きれい,19 ～ 23,2025年09月,コンペティツィオーネ,1400,8.1,白,AC NV TV AW 革
アルファロメオ,アルファ１５６ 4D 2WD,2005,６ＭＴ,152,932AC,3 - 普通,20 ～ 22,2025年09月,ＴＩ ２．５ Ｖ６ ２４Ｖ,2500,,赤,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,69,940141,4 - きれい,8 ～ 12,2025年09月,スポルティーバ,1400,,赤,AC AW 革
アルファロメオ,アルファ１５９スポーツワゴン 5D 2WD,2007,ＡＴ,998,93922,-1 - 修復歴あり,4 ～ 9,2025年09月,２．２ ＪＴＳ セレスピードプログレッション,2200,8.5,グレー,AC NV TV AW SR 革
アルファロメオ,ジュリエッタ 2WD,2012,ＡＴ,75,940141,3 - 普通,5 ～ 10,2025年09月,,1400,,赤,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,112,940141,4 - きれい,5 ～ 9,2025年09月,スプリント,1400,9.8,白,AC NV TV AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,68,940141,3 - 普通,5 ～ 10,2025年09月,スポルティーバ,1400,,赤,AC NV TV AW 革
アルファロメオ,ステルヴィオ 5D 4WD,2022,ＡＴ,30,94922,4 - きれい,291 ～ 295,2025年09月,２．２ターボ ディーゼルＱ４ヴェローチェ,2200,8.1,白,AC NV TV AW SR 革
アルファロメオ,ミト 3D 2WD,2015,ＡＴ,180,955142,3 - 普通,2 ～ 8,2025年09月,コンペティツィオーネ,1400,,黒,AC NV TV AW
アルファロメオ,ミト 3D 2WD,2012,６ＭＴ,92,955143,3 - 普通,11 ～ 13,2025年09月,クアドリフォリオ ヴェルデ,1400,,黒,AC 革
アルファロメオ,ジュリア 4D 2WD,2019,ＡＴ,24,95222,5 - すごくきれい,168 ～ 171,2025年09月,スーパー,2200,,黒,AC AW SR 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,74,940141,3 - 普通,14 ～ 18,2025年09月,スポルティーバ,1400,7.9,白,AC AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2014,ＡＴ,129,940141,4 - きれい,8 ～ 11,2025年09月,スプリント スペチアーレ,1400,,白,AC NV TV AW 革
アルファロメオ,ジュリエッタ 5D 2WD,2013,ＡＴ,22,940141,4 - きれい,33 ～ 38,2025年09月,スポルティーバ,1400,,黒,AC AW 革
アルファロメオ,アルファスパイダー オープン 2WD,1999,５ＭＴ,138,916S2B,3 - 普通,5 ～ 7,2025年09月,ベースグレード,2000,,黒,AC NV TV AW SR 革
アルファロメオ,ジュリア 4D 2WD,2017,ＡＴ,44,95220,4 - きれい,130 ～ 132,2025年09月,スーパー,2000,8.9,赤,AC 革
アルファロメオ,ジュリア 4D 2WD,2018,ＡＴ,56,95229,5 - すごくきれい,364 ～ 370,2025年09月,クアドリフォリオ カルボニオ,2900,8.12,パール,AC AW 革
アルファロメオ,ステルヴィオ 5D 4WD,2019,ＡＴ,28,94920,5 - すごくきれい,173 ～ 178,2025年09月,ファーストエディション,2000,8.1,グレー,AC NV TV AW 革
アルファロメオ,トナーレ 5D 2WD,2023,ＡＴ,29,AV115,5 - すごくきれい,279 ～ 282,2025年09月,ヴェローチェ,1500,8.10,グレー,AC NV TV AW SR 革
アルファロメオ,ジュリア 4D 2WD,2019,ＡＴ,33,95220,5 - すごくきれい,236 ～ 240,2025年09月,ヴェローチェ,2000,8.8,白,AC AW 革
