メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
クライスラー・ジープ,ジープ・チェロキー 5D 4WD,2014,ＡＴ,39,KL32,4 - きれい,59 ～ 63,2025年09月,リミテッド,3200,,青,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・レネゲード 5D 2WD,2019,ＡＴ,75,BU14,4 - きれい,66 ～ 71,2025年09月,リミテッド,1400,,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・パトリオット 5D 4WD,2010,ＡＴ,90,MK74,4 - きれい,24 ～ 29,2025年09月,スポーツ,2400,8.4,黒,AC AW
クライスラー・ジープ,ジープ・パトリオット 5D 4WD,2011,ＡＴ,107,MK74,3 - 普通,17 ～ 23,2025年09月,スポーツ,2400,,白,AC
クライスラー,クライスラー・グランドボイジャー 5D 2WD,2005,ＣＡＴ,103,RG33L,4 - きれい,22 ～ 26,2025年09月,リミテッド,3300,,黒,AC NV TV AW SR 革
クライスラー,クライスラー・３００Ｃ 4D 2WD,2005,ＡＴ,95,LX57,4 - きれい,24 ～ 27,2025年09月,５．７ＨＥＭＩ,5700,,白,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・コンパス 5D 4WD,2014,ＡＴ,68,MK4924,3 - 普通,18 ～ 23,2025年09月,リミテッド,2400,,赤,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラー 2D 4WD,2003,ＡＴ,62,TJ40S,3 - 普通,58 ～ 62,2025年09月,スポーツ,4000,8.9,,AC
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2019,ＡＴ,58,JL20L,5 - すごくきれい,356 ～ 359,2025年09月,サハラ,2000,8.8,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・パトリオット 5D 4WD,2013,ＡＴ,91,MK74,4 - きれい,39 ～ 43,2025年09月,リミテッド,2400,8.3,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・グランドチェロキー 4WD,2002,ＡＴ,58,WJ47,5 - すごくきれい,36 ～ 40,2025年09月,,4700,,グレー,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・レネゲード 5D 2WD,2016,ＡＴ,146,BU14,4 - きれい,24 ～ 29,2025年09月,リミテッド,1400,,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラー 3D 4WD,2003,ＡＴ,114,TJ40S,4 - きれい,95 ～ 98,2025年09月,サハラ,4000,8.6,,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 4WD,2022,ＡＴ,14,JL36L,5 - すごくきれい,438 ～ 443,2025年09月,,3600,8.12,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・パトリオット 5D 2WD,2012,ＡＴ,124,MK7420,3 - 普通,14 ～ 18,2025年09月,スポーツ,2000,9.6,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・コンパス 5D 4WD,2015,ＡＴ,120,MK4924,3 - 普通,19 ～ 22,2025年09月,ノース,2400,8.5,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・ラングラー 2D 4WD,2004,ＡＴ,121,TJ40S,4 - きれい,23 ～ 27,2025年09月,スポーツ,4000,9.5,赤,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2020,ＡＴ,35,WK36TA,4 - きれい,250 ～ 253,2025年09月,トレイルホーク,3600,,グレー,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2018,ＡＴ,111,JK36LR,4 - きれい,143 ～ 147,2025年09月,スポーツ,3600,,黒,AC NV TV AW
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2014,ＡＴ,209,WK36TA,3 - 普通,34 ～ 38,2025年09月,アルティテュード,3600,,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2016,ＡＴ,122,JK36L,4 - きれい,115 ～ 120,2025年09月,サハラ,3600,,白,AC NV TV AW
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2022,ＡＴ,56,JL20L,5 - すごくきれい,381 ～ 383,2025年09月,サハラ,2000,9.8,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・レネゲード 5D 4WD,2016,ＡＴ,97,BU24,4 - きれい,39 ～ 43,2025年09月,トレイルホーク,2400,,黄,AC NV TV AW
クライスラー・ジープ,ジープ・パトリオット 5D 4WD,2008,ＡＴ,128,MK74,-1 - 修復歴あり,15 ～ 21,2025年09月,リミテッド,2400,8.4,黒,AC SR 革
クライスラー・ジープ,ジープ・グランドチェロキーＬ 5D 4WD,2025,ＡＴ,0,WL36LA,5 - すごくきれい,686 ～ 691,2025年09月,サミット リザーブ,3600,9.12,グレー,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・レネゲード 5D 2WD,2021,ＡＴ,50,BV13PM,5 - すごくきれい,189 ～ 195,2025年09月,リミテッド,1300,8.7,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・レネゲード 5D 2WD,2023,ＡＴ,20,BV13PM,5 - すごくきれい,259 ～ 262,2025年09月,リミテッド,1300,8.6,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2019,ＡＴ,94,WK36TA,4 - きれい,127 ～ 132,2025年09月,リミテッド,3600,8.9,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・パトリオット 5D 4WD,2012,ＡＴ,95,MK74,4 - きれい,54 ～ 57,2025年09月,リミテッド,2400,7.10,黒,AC 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2017,ＡＴ,22,JK36LR,5 - すごくきれい,264 ～ 267,2025年09月,,3600,8.1,黄,AC 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2024,ＡＴ,6,JL20L,5 - すごくきれい,573 ～ 577,2025年09月,サハラ,2000,10.3,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・パトリオット 5D 2WD,2012,ＡＴ,92,MK7420,3 - 普通,14 ～ 19,2025年09月,スポーツ,2000,7.10,白,AC
クライスラー・ジープ,ジープ・コンパス 5D 4WD,2019,ＡＴ,25,M624,5 - すごくきれい,168 ～ 172,2025年09月,リミテッド,2400,7.12,パール,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・チェロキー 5D 4WD,2014,ＡＴ,116,KL32L,4 - きれい,24 ～ 27,2025年09月,トレイルホーク,3200,8.6,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2023,ＡＴ,19,JL20L,5 - すごくきれい,439 ～ 443,2025年09月,サハラ,2000,,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・レネゲード 5D 2WD,2019,ＡＴ,51,BU14,4 - きれい,95 ～ 98,2025年09月,リミテッド,1400,,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・レネゲード 5D 4WD,2022,ＡＴ,24,BV13PM,5 - すごくきれい,225 ～ 230,2025年09月,トレイルホーク,1300,9.8,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2020,ＡＴ,18,JL20L,5 - すごくきれい,366 ～ 369,2025年09月,フリーダムエディション,2000,7.11,シルバー,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2014,ＡＴ,74,WK36T,3 - 普通,61 ～ 65,2025年09月,,3600,,グレー,AC NV TV AW 革
クライスラー・ジープ,ジープ・コンパス 5D 2WD,2021,ＡＴ,26,M624,5 - すごくきれい,225 ～ 227,2025年09月,ロンジチュード,2400,8.10,,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2023,ＡＴ,17,WL20,5 - すごくきれい,485 ～ 489,2025年09月,リミテッド,2000,8.5,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラー 3D 4WD,1996,ＡＴ,173,TJ40H,3 - 普通,31 ～ 34,2025年09月,サハラ,4000,,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2012,ＡＴ,106,JK36L,4 - きれい,146 ～ 148,2025年09月,サハラ,3600,8.5,緑,AC 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2012,ＡＴ,165,WK36,3 - 普通,27 ～ 32,2025年09月,ラレード,3600,,黒,AC AW
クライスラー・ジープ,ジープ・レネゲード 5D 4WD,2016,ＡＴ,113,BU24,4 - きれい,56 ～ 60,2025年09月,トレイルホーク,2400,8.6,白,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2012,ＡＴ,90,WK36,4 - きれい,45 ～ 48,2025年09月,ラレード,3600,,黒,AC AW
クライスラー・ジープ,ジープ・レネゲード 5D 4WD,2016,ＡＴ,70,BU24,4 - きれい,78 ～ 81,2025年09月,トレイルホーク,2400,9.3,白,AC NV TV AW 革
クライスラー,クライスラー・３００Ｃ 4D 2WD,2007,ＡＴ,100,LX57,4 - きれい,13 ～ 18,2025年09月,,5700,,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2017,ＡＴ,83,JK36L,4 - きれい,136 ～ 138,2025年09月,サハラ,3600,7.11,青,AC NV TV AW
クライスラー・ジープ,ジープ・コンパス 5D 2WD,2017,ＡＴ,51,MK49,5 - すごくきれい,50 ～ 54,2025年09月,スポーツ,2000,8.6,白,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2020,ＡＴ,48,JL36L,5 - すごくきれい,355 ～ 360,2025年09月,サハラ,3600,7.12,黒,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・レネゲード 5D 4WD,2019,ＡＴ,89,BU13,4 - きれい,96 ～ 100,2025年09月,トレイルホーク,1300,9.2,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・パトリオット 5D 4WD,2008,ＡＴ,82,MK74,4 - きれい,8 ～ 13,2025年09月,リミテッド,2400,7.12,黒,AC SR 革
クライスラー・ジープ,ジープ・ラングラー 2D 4WD,2014,ＡＴ,172,JK36S,3 - 普通,84 ～ 88,2025年09月,サハラ,3600,9.3,黒,AC AW
クライスラー・ジープ,ジープ・コンパス 2WD,2015,ＡＴ,55,MK49,3 - 普通,26 ～ 31,2025年09月,,2000,,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・グランドチェロキーＬ 5D 4WD,2023,ＡＴ,5,WL36L,5 - すごくきれい,493 ～ 498,2025年09月,リミテッド,3600,8.7,ワイン,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2017,ＡＴ,25,JK36L,5 - すごくきれい,235 ～ 240,2025年09月,スポーツ,3600,,グレー,AC AW
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2020,ＡＴ,56,JL36L,5 - すごくきれい,358 ～ 363,2025年09月,サハラ,3600,,グレー,AC NV TV AW 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2004,ＡＴ,134,WJ40,3 - 普通,27 ～ 31,2025年09月,リミテッド,4000,,黒,AC AW 革
クライスラー・ジープ,ジープ・コンパス 2WD,2015,ＡＴ,129,MK49,3 - 普通,13 ～ 15,2025年09月,,2000,,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラー 2D 4WD,2002,ＡＴ,109,TJ40S,4 - きれい,34 ～ 38,2025年09月,スポーツ,4000,8.5,黒,AC NV TV
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2014,ＡＴ,111,WK36T,4 - きれい,58 ～ 61,2025年09月,,3600,,黒,AC NV TV AW
クライスラー・ジープ,ジープ・チェロキー 5D 4WD,2017,ＡＴ,49,KL32L,4 - きれい,68 ～ 74,2025年09月,トレイルホーク,3200,,白,AC NV TV AW SR 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2018,ＡＴ,82,JK36LR,5 - すごくきれい,172 ～ 176,2025年09月,スポーツ,3600,9.4,白,AC NV TV AW
クライスラー・ジープ,ジープ・コンパス 5D 2WD,2016,ＡＴ,68,MK49,4 - きれい,40 ～ 44,2025年09月,スポーツ,2000,9.3,白,AC NV TV AW 革
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2011,ＡＴ,113,WK36,4 - きれい,38 ～ 42,2025年09月,ラレード,3600,,黒,AC
クライスラー・ジープ,ジープ・グランドチェロキー 5D 4WD,2018,ＡＴ,27,WK36TA,5 - すごくきれい,242 ～ 246,2025年09月,リミテッド,3600,8.11,白,AC AW 革
クライスラー・ジープ,ジープ・コンパス 5D 4WD,2018,ＡＴ,48,M624,4 - きれい,85 ～ 88,2025年09月,リミテッド,2400,,青,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2023,ＡＴ,23,JL20L,5 - すごくきれい,474 ～ 477,2025年09月,サハラ,2000,7.10,黒,AC NV TV AW 革
クライスラー・ジープ,ジープ・ラングラーアンリミテッド 5D 4WD,2008,ＡＴ,159,JK38L,3 - 普通,95 ～ 99,2025年09月,スポーツ,3800,,黒,AC NV TV AW
