メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ケータハム,セブン２７０ オープン 2WD,2023,５ＭＴ,6,5 - すごくきれい,617 ～ 620,,2025年08月,Ｓ,1600,9.1,ツートン,AC NV TV AW SR 革
ケータハム,スーパー７ 2WD,1991,４ＭＴ,34,4 - きれい,267 ～ 272,,2025年06月,,1600,,赤,AC NV TV AW SR 革
ケータハム,セブン４８０ 2WD,2017,６ＭＴ,17,5 - すごくきれい,779 ～ 782,,2025年06月,,2000,9.3,パール,AC NV TV AW SR 革
ケータハム,セブン１６０ オープン 2WD,2016,５ＭＴ,13,5 - すごくきれい,381 ～ 387,,2025年06月,ベースグレード,660,8.2,ツートン,AC NV TV AW SR 革
ケータハム,セブン２７０ オープン 2WD,2024,５ＭＴ,0,5 - すごくきれい,576 ～ 581,,2025年04月,Ｓ,1600,9.8,緑,AC NV TV AW SR 革
ケータハム,セブン１６０ オープン 2WD,2015,５ＭＴ,23,5 - すごくきれい,398 ～ 402,,2025年03月,ベースグレード,660,8.4,黄II,AC NV TV AW SR 革
ケータハム,スーパー７ 2WD,1993,５ＭＴ,93,4 - きれい,165 ～ 169,,2025年02月,,1600,,緑,AC NV TV AW SR 革
ケータハム,セブン１６０ オープン 2WD,2020,５ＭＴ,3,5 - すごくきれい,559 ～ 565,,2025年02月,Ｓ,660,7.11,緑,AC NV TV AW SR 革
ケータハム,スーパー７ 2WD,1993,５ＭＴ,95,4 - きれい,164 ～ 169,,2025年02月,,1600,,緑,AC NV TV AW SR 革
ケータハム,セブンロードスポーツ オープン 2WD,2012,５ＭＴ,21,3 - 普通,407 ～ 412,,2024年11月,,1600,8.1,黒,AC NV TV AW SR 革
ケータハム,セブンロードスポーツ オープン 2WD,2012,５ＭＴ,22,3 - 普通,407 ～ 411,,2024年11月,,1600,8.1,黒,AC NV TV AW SR 革
ケータハム,セブンロードスポーツ オープン 2WD,2012,５ＭＴ,19,3 - 普通,408 ～ 410,,2024年11月,,1600,7.7,黒,AC NV TV AW SR 革
ケータハム,スーパー７ 2WD,2022,５ＭＴ,1,5 - すごくきれい,636 ～ 639,,2024年06月,,1600,7.10,緑,AC AW 革
ケータハム,スーパー７ 2WD,2022,５ＭＴ,2,5 - すごくきれい,635 ～ 641,,2024年06月,,1600,7.9,緑,AW
ケータハム,スーパー７ 2WD,1994,５ＭＴ,4,3 - 普通,233 ～ 237,,2024年05月,,1600,,白,
ケータハム,スーパー７ 2WD,1994,５ＭＴ,2,3 - 普通,233 ～ 238,,2024年05月,,1600,,白,AC
ケータハム,スーパー７ オープン 2WD,1997,４ＭＴ,24,4 - きれい,262 ～ 264,,2024年04月,ベースグレード,1600,6.9,緑II,
ケータハム,セブン１６０ オープン 2WD,2015,５ＭＴ,22,5 - すごくきれい,404 ～ 406,,2024年03月,ベースグレード,660,,黒,AC
ケータハム,スーパー７ オープン 2WD,1994,５ＭＴ,98,4 - きれい,176 ～ 179,,2024年02月,ベースグレード,1600,7.1,Ｄグリーン,AW
ケータハム,スーパー７ オープン 2WD,1994,４ＭＴ,37,3 - 普通,160 ～ 165,,2024年02月,ベースグレード,1600,6.8,赤II,
