メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ジャガー,ＸＪ 4D 2WD,2010,ＡＴ,32,J12LA,5 - すごくきれい,69 ～ 75,2025年09月,ＸＪ ラグジュアリー,5000,8.12,グレー,AC NV TV AW SR 革
ジャガー,ＸＦ 4D 2WD,2008,ＡＴ,47,J05FA,3 - 普通,14 ～ 19,2025年09月,３．０プレミアムラグジュアリー,3000,,青,AC NV TV AW SR 革
ジャガー,Ｅペイス 5D 4WD,2018,ＡＴ,38,DF2NA,5 - すごくきれい,199 ～ 201,2025年09月,,2000,,グレー,AC NV TV AW SR 革
ジャガー,ＸＪ 4D 2WD,2008,ＡＴ,135,J72SB,3 - 普通,13 ～ 17,2025年09月,ＸＪ ４．２エグゼクティブ,4200,9.4,白,AC NV TV AW SR 革
ジャガー,ＸＥ 4D 2WD,2015,ＡＴ,59,JA2GA,4 - きれい,58 ～ 63,2025年09月,ＸＥ ポートフォリオ,2000,9.6,紺,AC NV TV AW SR 革
ジャガー,ＸＪ 4D 2WD,1998,ＡＴ,73,JLGB,3 - 普通,16 ～ 21,2025年09月,ＸＪ エグゼクティブ３．２－Ｖ８,3200,,緑,AC NV TV AW SR 革
ジャガー,Ｅペイス 5D 4WD,2019,ＡＴ,51,DF2NA,5 - すごくきれい,112 ～ 117,2025年09月,Ｓ １８０ＰＳ,2000,,紺,AC NV TV 革
ジャガー,ＸＦ 4D 2WD,2017,ＡＴ,39,JB2GA,4 - きれい,86 ～ 91,2025年09月,プレステージ,2000,,青,AC NV TV AW SR 革
ジャガー,ＸＦ 2WD,2013,ＡＴ,145,J05PC,3 - 普通,13 ～ 16,2025年09月,,2000,,黒,AC NV TV AW SR 革
ジャガー,ＸＥ 2WD,2016,ＡＴ,73,JA2GA,5 - すごくきれい,58 ～ 64,2025年09月,,2000,,シルバー,AC NV TV AW SR 革
ジャガー,ＸＦスポーツブレイク 2WD,2019,ＡＴ,33,JBS2NC,5 - すごくきれい,207 ～ 211,2025年09月,,2000,9.2,黒,AC NV TV AW SR 革
ジャガー,ＸＦスポーツブレイク 5D 4WD,2019,ＡＴ,73,JBS2NC,-1 - 修復歴あり,76 ～ 81,2025年09月,ＸＦスポーツブレイク プレステージ,2000,,紺,AC NV TV AW SR 革
ジャガー,ＸＥ 2WD,2017,ＡＴ,45,JA2XB,3 - 普通,46 ～ 52,2025年09月,,2000,,黒,AC NV TV AW SR 革
ジャガー,Ｅペイス 4WD,2019,ＡＴ,37,DF2NA,5 - すごくきれい,145 ～ 147,2025年09月,,2000,8.6,白,AC NV TV AW 革
ジャガー,Ｅペイス 4WD,2020,ＡＴ,42,DF2XA,4 - きれい,159 ～ 163,2025年09月,,2000,8.12,パール,AC NV TV AW 革
ジャガー,Ｆペイス 4WD,2021,ＡＴ,71,DC2NC,4 - きれい,282 ～ 285,2025年09月,,2000,8.10,黒,AC NV TV AW SR 革
ジャガー,Ｆペイス 5D 4WD,2016,ＡＴ,45,DC2NA,4 - きれい,152 ～ 155,2025年09月,プレステージ,2000,8.1,白,AC NV TV AW 革
ジャガー,Ｆペイス 5D 4WD,2017,ＡＴ,28,DC2NA,5 - すごくきれい,197 ～ 202,2025年09月,プレステージ,2000,8.2,白,AC NV TV AW SR 革
ジャガー,ＸＦ 4D 2WD,2008,ＡＴ,46,J05FA,3 - 普通,16 ～ 20,2025年09月,３．０ラグジュアリー,3000,,ベージュ,AC NV TV AW SR 革
ジャガー,ＸＥ 4D 2WD,2019,ＡＴ,9,JA2XC,5 - すごくきれい,119 ～ 121,2025年09月,ＸＥ ピュア,2000,8.9,白,AC NV TV AW SR 革
ジャガー,Ｅペイス 4WD,2018,ＡＴ,90,DF2NA,5 - すごくきれい,90 ～ 93,2025年09月,,2000,,白,AC NV TV AW 革
ジャガー,Ｆペイス 5D 4WD,2018,ＡＴ,29,DC2NA,5 - すごくきれい,238 ～ 242,2025年09月,Ｒ－スポーツ,2000,,黒,AC NV TV AW 革
ジャガー,Ｆタイプ 2WD,2018,ＡＴ,57,J60XB,5 - すごくきれい,273 ～ 276,2025年09月,,2000,9.7,黒,AC NV TV AW SR 革
ジャガー,ＸＥ 4D 2WD,2016,ＡＴ,77,JA2NA,5 - すごくきれい,61 ～ 65,2025年09月,ＸＥ プレステージ,2000,,白,AC NV TV AW SR 革
