メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ダイハツ,ムーヴコンテ 5D 2WD,2016,ＣＡＴ,96,L575S,-1 - 修復歴あり,15 ～ 21,2025年09月,Ｌ ＶＳII,,9.11,パール,660 AC NV TV AW
ダイハツ,ミライース 5D 2WD,2018,ＡＴ,84,LA350S,-1 - 修復歴あり,21 ～ 24,2025年09月,Ｌ ＳＡIII,,9.1,白,660 AC NV TV AW SR 革
ダイハツ,ミラカスタム 5D 2WD,2009,ＡＴ,92,L275S,3 - 普通,1 ～ 7,2025年09月,Ｌ,,8.3,シルバー,660 AC NV TV AW SR 革
ダイハツ,ムーヴ 5D 4WD,2013,ＡＴ,45,LA110S,3 - 普通,16 ～ 19,2025年09月,Ｘ ＳＡ,,,シルバー,660 AC NV TV AW 革
ダイハツ,ムーヴ 5D 2WD,2011,ＡＴ,61,LA100S,4 - きれい,13 ～ 19,2025年09月,カスタム Ｇ,,,シルバー,660 AC NV TV AW SR 革
ダイハツ,ムーヴ 5D 2WD,2010,ＡＴ,154,L175S,3 - 普通,2 ～ 6,2025年09月,カスタム Ｘ,,,茶,660 AC NV TV AW
ダイハツ,ミラココア 5D 4WD,2013,ＡＴ,76,L685S,2 - 修復必要,27 ～ 32,2025年09月,ココアプラスＸ,,8.2,茶,660 AC NV TV AW SR 革
ダイハツ,ミラ 5D 4WD,2011,ＡＴ,88,L285S,3 - 普通,2 ～ 5,2025年09月,Ｘスペシャル,,8.8,シルバー,660 AC NV TV AW SR 革
ダイハツ,ハイゼットトラック 4WD,2013,ＡＴ,30,S211P,3 - 普通,36 ～ 41,2025年09月,,,7.12,シルバー,660 AC NV TV AW SR 革
ダイハツ,ムーヴ 5D 2WD,2015,ＡＴ,89,LA150S,-1 - 修復歴あり,15 ～ 20,2025年09月,カスタム Ｘ ハイパーＳＡII,,8.6,黒,660 AC NV TV AW SR 革
ダイハツ,ミライース 5D 2WD,2011,ＡＴ,195,LA300S,3 - 普通,9 ～ 12,2025年09月,Ｇ,,8.10,シルバー,660 AC NV TV AW
ダイハツ,ムーヴキャンバス 4WD,2020,ＡＴ,74,LA810S,3 - 普通,80 ～ 84,2025年09月,,,9.9,ベージュ,660 AC NV TV AW
ダイハツ,ハイゼットトラック 4WD,2013,ＡＴ,1001,S211P,-1 - 修復歴あり,18 ～ 21,2025年09月,,,,シルバー,660 AC NV TV AW
ダイハツ,ミライース 5D 2WD,2015,ＡＴ,87,LA300S,-1 - 修復歴あり,8 ～ 13,2025年09月,Ｌ ＳＡ,,,ピンク,660 AC NV TV AW
ダイハツ,ムーヴコンテ 5D 4WD,2009,ＡＴ,62,L585S,-1 - 修復歴あり,5 ～ 7,2025年09月,Ｘスペシャル,,8.10,青,660 AC NV TV AW
ダイハツ,ムーヴ 5D 4WD,2015,ＡＴ,43,LA160S,3 - 普通,68 ～ 72,2025年09月,カスタム ＲＳ ハイパーＳＡ,,,グレー,660 AC NV TV AW 革
ダイハツ,ミライース 5D 2WD,2012,ＡＴ,111,LA300S,3 - 普通,5 ～ 9,2025年09月,Ｌ,,,黒,660 AC NV TV AW SR 革
ダイハツ,ムーヴラテ 5D 2WD,2007,ＣＡＴ,58,L550S,3 - 普通,2 ～ 5,2025年09月,Ｘ,,,パール,660 AC NV TV AW
ダイハツ,ムーヴ 5D 4WD,2011,ＡＴ,42,LA110S,3 - 普通,18 ～ 20,2025年09月,Ｘリミテッド,,8.2,ゴールド,660 AC NV TV AW 革
ダイハツ,ムーヴ 5D 2WD,2017,ＡＴ,103,LA150S,3 - 普通,17 ～ 20,2025年09月,Ｌ ＳＡIII,,,赤,660 AC NV TV AW SR 革
ダイハツ,ムーヴ 5D 4WD,2014,ＡＴ,166,LA160S,-1 - 修復歴あり,15 ～ 18,2025年09月,カスタム ＲＳ ハイパーＳＡ,,,,660 AC NV TV AW
ダイハツ,ムーヴ 5D 4WD,2013,ＡＴ,130,LA110S,-1 - 修復歴あり,6 ～ 12,2025年09月,Ｌ ＳＡ,,8.7,ピンク,660 AC NV TV AW SR 革
ダイハツ,ミライース 5D 2WD,2015,ＡＴ,32,LA300S,3 - 普通,15 ～ 17,2025年09月,Ｌ ＳＡ,,9.1,赤,660 AC NV TV AW SR 革
ダイハツ,ミライース 4WD,2014,ＡＴ,202,LA310S,3 - 普通,1 ～ 7,2025年09月,,,,黒,660 AC NV TV AW
ダイハツ,ミライース 5D 4WD,2014,ＡＴ,127,LA310S,3 - 普通,2 ～ 5,2025年09月,Ｘｆ ＳＡ,,,シルバー,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2012,ＡＴ,237,LA100S,-1 - 修復歴あり,3 ～ 6,2025年09月,カスタム ＲＳ,,,黒,660 AC NV TV AW
ダイハツ,ハイゼットカーゴ 5D 4WD,2021,ＡＴ,88,S331V,-1 - 修復歴あり,42 ～ 45,2025年09月,ＤＸ ＳＡIII,,,白,660 AC NV TV AW SR 革
ダイハツ,ムーヴコンテ 5D 2WD,2015,ＣＡＴ,107,L575S,4 - きれい,25 ～ 27,2025年09月,カスタム Ｇ,,8.6,黒,660 AC NV TV AW
ダイハツ,ミライース 4WD,2014,ＡＴ,197,LA310S,3 - 普通,2 ～ 5,2025年09月,,,,黒,660 AC NV TV AW
ダイハツ,ムーヴラテ 5D 2WD,2006,ＡＴ,137,L550S,3 - 普通,1 ～ 4,2025年09月,クール,,,,660 AC NV TV AW
ダイハツ,ムーヴキャンバス 5D 4WD,2016,ＡＴ,113,LA810S,3 - 普通,36 ～ 41,2025年09月,Ｌ,,,黒,660 AC NV TV AW
ダイハツ,ミラココア 5D 2WD,2014,ＡＴ,44,L675S,3 - 普通,27 ～ 33,2025年09月,ココアプラスＸ,,,茶,660 AC NV TV AW
ダイハツ,ハイゼットカーゴ 5D 2WD,2013,ＡＴ,115,S321V,-1 - 修復歴あり,20 ～ 26,2025年09月,クルーズ,,,白,660 AC NV TV AW
ダイハツ,キャスト 5D 2WD,2016,ＡＴ,93,LA250S,4 - きれい,35 ～ 38,2025年09月,スタイルＸ,,9.5,,660 AC NV TV AW 革
ダイハツ,ミライース 5D 4WD,2011,ＡＴ,168,LA310S,2 - 修復必要,0 ～ 3,2025年09月,ライトブルー,,8.11,,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2010,ＡＴ,67,L175S,3 - 普通,8 ～ 12,2025年09月,Ｘ ＶＳ III,,9.3,パープル,660 AC NV TV AW
ダイハツ,ムーヴキャンバス 5D 4WD,2018,ＡＴ,35,LA810S,4 - きれい,107 ～ 113,2025年09月,Ｘブラックインテリアリミテッド ＳＡIII,,,黒,660 AC NV TV AW
ダイハツ,タント 5D 2WD,2008,ＡＴ,158,L375S,3 - 普通,3 ～ 6,2025年09月,カスタムＸ,,9.2,ベージュ,660 AC NV TV AW SR
ダイハツ,ミラ 5D 2WD,2007,ＡＴ,96,L275S,3 - 普通,1 ～ 6,2025年09月,Ｘリミテッド,,,シルバー,660 AC NV TV AW
ダイハツ,タントエグゼ 5D 2WD,2010,ＣＡＴ,178,L455S,3 - 普通,5 ～ 8,2025年09月,Ｘスペシャル,,9.6,白,660 AC NV TV AW SR 革
ダイハツ,ムーヴ 5D 2WD,2009,ＡＴ,79,L175S,-1 - 修復歴あり,0 ～ 6,2025年09月,Ｘ,,,白,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2007,ＡＴ,155,L175S,-1 - 修復歴あり,2 ～ 5,2025年09月,カスタム メモリアルエディション,,,グレー,660 AC NV TV AW
ダイハツ,ムーヴコンテ 5D 2WD,2009,ＣＡＴ,93,L575S,-1 - 修復歴あり,0 ～ 4,2025年09月,Ｘ リミテッド,,8.8,ピンク,660 AC NV TV AW
ダイハツ,ミライース 5D 2WD,2019,ＡＴ,73,LA350S,4 - きれい,21 ～ 25,2025年09月,Ｘ ＳＡIII,,,白,660 AC NV TV AW
ダイハツ,ミラ 5D 2WD,2004,ＡＴ,77,L250S,3 - 普通,0 ～ 5,2025年09月,Ｌ,,,ゴールド,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2011,ＡＴ,100,LA100S,3 - 普通,3 ～ 7,2025年09月,Ｌ,,8.2,ピンク,660 AC NV TV AW
ダイハツ,タント 5D 2WD,2012,ＡＴ,73,L375S,4 - きれい,25 ～ 30,2025年09月,カスタムＸ,,9.1,パール,660 AC NV TV AW SR
ダイハツ,ムーヴ 5D 2WD,2005,ＣＡＴ,52,L150S,3 - 普通,0 ～ 6,2025年09月,カスタム Ｘ,,8.10,グレー,660 AC NV TV AW
ダイハツ,ムーヴ 2WD,2000,ＡＴ,141,L900S,-1 - 修復歴あり,0 ～ 5,2025年09月,,,,パール,660 AC NV TV
ダイハツ,ムーヴコンテ 5D 4WD,2009,ＣＡＴ,146,L585S,4 - きれい,3 ～ 7,2025年09月,Ｘ,,8.3,シルバー,660 AC NV TV AW
ダイハツ,テリオスキッド 5D 2WD,2001,ＡＴ,149,J131G,3 - 普通,0 ～ 4,2025年09月,ＣＬリミテッド,,,赤,660 AC NV TV AW SR 革
ダイハツ,タント 5D 2WD,2015,ＡＴ,155,LA600S,3 - 普通,5 ～ 7,2025年09月,Ｘ,,,黒,660 AC NV TV AW SR
ダイハツ,ミラ 5D 2WD,2012,ＡＴ,47,L275S,3 - 普通,9 ～ 15,2025年09月,Ｘリミテッド,,,シルバー,660 AC NV TV AW
ダイハツ,タント 5D 2WD,2012,ＡＴ,81,L375S,4 - きれい,13 ～ 15,2025年09月,Ｌ,,,シルバー,660 AC NV TV AW SR
ダイハツ,ムーヴ 5D 2WD,2011,ＡＴ,66,LA100S,3 - 普通,8 ～ 12,2025年09月,Ｘリミテッド,,8.3,パール,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2022,ＡＴ,14,LA150S,-1 - 修復歴あり,74 ～ 78,2025年09月,ＸリミテッドII ＳＡIII,,,シルバー,660 AC AW
ダイハツ,ミライース 5D 2WD,2018,ＡＴ,63,LA350S,4 - きれい,31 ～ 36,2025年09月,Ｘ ＳＡIII,,,白,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2007,ＡＴ,56,L175S,3 - 普通,0 ～ 3,2025年09月,カスタム Ｘ,,,グレー,660 AC NV TV AW 革
ダイハツ,ミラ 3D 2WD,2011,ＡＴ,189,L275V,3 - 普通,0 ～ 4,2025年09月,ＴＸスペシャル,,,白,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2014,ＡＴ,44,LA100S,-1 - 修復歴あり,7 ～ 11,2025年09月,Ｘ ＳＡ,,9.3,青,660 AC NV TV AW
ダイハツ,ミラココア 5D 2WD,2011,ＡＴ,86,L675S,4 - きれい,10 ～ 15,2025年09月,ココアＸ,,8.4,グレー,660 AC NV TV AW
ダイハツ,タント 5D 2WD,2015,ＡＴ,115,LA600S,3 - 普通,19 ～ 23,2025年09月,カスタムＸ トップエディションＳＡ,,8.4,黒,660 AC NV TV AW SR
ダイハツ,ムーヴ 5D 4WD,2015,ＡＴ,131,LA160S,3 - 普通,12 ～ 17,2025年09月,Ｘ ＳＡ,,,パール,660 AC NV TV AW
ダイハツ,ムーヴ 5D 2WD,2008,ＡＴ,124,L175S,-1 - 修復歴あり,2 ～ 6,2025年09月,Ｌ,,9.3,白,660 AC NV TV AW SR 革
ダイハツ,ミライース 5D 4WD,2016,ＡＴ,36,LA310S,3 - 普通,20 ～ 23,2025年09月,Ｌｆ ＳＡ,,,茶,660 AC AW
