メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ダッジ,ダッジ・ナイトロ 5D 4WD,2007,ＡＴ,45,KA37,-1 - 修復歴あり,19 ～ 22,2025年09月,ＳＸＴ,3700,,白,AC NV TV AW SR 革
ダッジ,ダッジ・チャレンジャー クーペ 2WD,2019,ＡＴ,27,5 - すごくきれい,797 ～ 803,nan,2025年09月,ＳＲＴ ヘルキャット,6200,8.7,白,AC NV TV AW SR 革
ダッジ,ダッジ・ナイトロ 5D 4WD,2011,ＡＴ,103,KA37,4 - きれい,28 ～ 30,2025年09月,ＳＸＴ,3700,7.10,グレー,AC AW SR 革
ダッジ,ダッジ・チャージャー 4D 2WD,2009,ＡＴ,78,4 - きれい,28 ～ 32,nan,2025年09月,ＳＸＴ,3500,,黒,AC NV TV AW SR 革
ダッジ,ダッジ・デュランゴ 5D 4WD,2000,ＡＴ,44,-1 - 修復歴あり,28 ～ 32,nan,2025年09月,ＳＬＴ,5900,8.2,白,AC NV TV AW SR 革
ダッジ,ダッジ・チャレンジャー 2WD,2022,ＡＴ,42,5 - すごくきれい,562 ～ 566,nan,2025年09月,緑II,6400,,,AC AW SR 革
ダッジ,ダッジ・ラム 2WD,2004,ＣＡＴ,82,3 - 普通,231 ～ 237,nan,2025年09月,,5900,7.11,白,AC NV TV AW SR 革
ダッジ,ダッジ・ラム 2WD,2006,ＡＴ,98,4 - きれい,180 ～ 184,nan,2025年09月,青Ｍ,5900,8.6,,AC AW SR 革
ダッジ,ダッジ・チャレンジャー クーペ 2WD,2020,ＡＴ,14,3 - 普通,398 ～ 402,nan,2025年09月,ＳＸＴ プラス,3600,7.8,黒,AC NV TV AW SR 革
ダッジ,ダッジ・ナイトロ 5D 4WD,2012,ＡＴ,104,KA37,3 - 普通,30 ～ 33,2025年09月,ＳＸＴ,3700,9.4,黒,AC AW SR 革
ダッジ,ダッジ・ラム 4D 4WD,2003,ＣＡＴ,108,3 - 普通,49 ～ 53,nan,2025年09月,ベースグレード,5700,,赤,AC NV TV AW SR 革
ダッジ,ダッジ・チャレンジャー クーペ 2WD,2013,６ＭＴ,120,4 - きれい,195 ～ 201,nan,2025年09月,Ｒ／Ｔ,5700,,オレンジ,AC AW
