メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ヒョンデ,アイオニック５ 5D 2WD,2023,ＣＡＴ,11,NE2LRG,5 - すごくきれい,251 ～ 255,2025年09月,ラウンジ,,8.8,緑,000 AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 2WD,2023,ＣＡＴ,16,NE21LRG,5 - すごくきれい,232 ～ 236,2025年09月,ラウンジ,,8.6,グレー,000 AC NV TV AW SR 革
ヒョンデ,ＸＧ 4DHT 2WD,2004,ＡＴ,52,TXG25,4 - きれい,15 ～ 18,2025年09月,250,2500,9.5,パール,AC AW 革
ヒョンデ,ソナタ 4D 2WD,2010,ＡＴ,103,NF24,4 - きれい,19 ～ 23,2025年09月,２．４ＧＬ,2400,,シルバー,AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 4WD,2024,ＣＡＴ,3,NE4LRG,5 - すごくきれい,271 ～ 274,2025年09月,ボヤージュ ＡＷＤ,,8.8,グレー,000 AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 4WD,2024,ＣＡＴ,6,NE4LRG,5 - すごくきれい,250 ～ 254,2025年09月,ボヤージュ ＡＷＤ,,8.8,白,000 AC NV TV AW
ヒョンデ,ＸＧ 4DHT 2WD,2003,ＡＴ,40,XG30,5 - すごくきれい,24 ～ 29,2025年09月,３００Ｌ,3000,8.7,黒,AC SR 革
ヒョンデ,グレンジャー 4D 2WD,2006,ＡＴ,69,TG33,3 - 普通,20 ～ 24,2025年08月,３．３ＧＬＳ Ｌパッケージ,3300,,黒,AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 4WD,2022,ＣＡＴ,18,NE4LRG,5 - すごくきれい,234 ～ 238,2025年08月,ラウンジ ＡＷＤ,,,緑,000 AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 2WD,2024,ＣＡＴ,17,NE2LRG,5 - すごくきれい,261 ～ 266,2025年08月,ラウンジ,,9.2,ゴールド,000 AC NV TV AW SR 革
ヒョンデ,コナ 5D 2WD,2024,ＣＡＴ,2,SX2LRG,5 - すごくきれい,226 ～ 229,2025年07月,ラウンジ,,8.4,白,000 AC NV TV AW SR 革
ヒョンデ,コナ 5D 2WD,2024,ＣＡＴ,8,SX2LRG,5 - すごくきれい,223 ～ 228,2025年07月,ボヤージュ,,9.6,紺,000 AC NV TV AW 革
