メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,,,,排気量
メルセデス・ベンツ,Ｓクラス 2WD,2003,ＡＴ,72,220174,4 - きれい,161 ～ 163,2025年09月,,5500,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 2WD,2013,ＡＴ,113,204048,4 - きれい,44 ～ 49,2025年09月,,1800,9.4,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 4D 2WD,2001,ＡＴ,108,210065,3 - 普通,33 ～ 37,2025年09月,Ｅ３２０,3200,,シルバー,
メルセデス・ベンツ,ＣＬＫ クーペ 2WD,1998,ＡＴ,21,208335,3 - 普通,19 ～ 24,2025年09月,ＣＬＫ２００,2000,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2010,ＡＴ,156,204048,3 - 普通,27 ～ 31,2025年09月,Ｃ２００ＣＧＩブルーエフィシェンシーアバンＧ,1800,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラスステーションワゴン 5D 2WD,2010,ＡＴ,78,204248,4 - きれい,24 ～ 27,2025年09月,Ｃ２００ＣＧＩブルーエフィシェンシＷアバンＧ,1800,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラスステーションワゴン 5D 2WD,2008,ＡＴ,64,204241,3 - 普通,16 ～ 19,2025年09月,Ｃ２００コンプレッサーワゴン アバンギャルド,1800,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｓクラス 4D 2WD,2006,ＣＡＴ,92,221171,-1 - 修復歴あり,51 ～ 54,2025年09月,Ｓ５００ロング,5500,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2012,ＣＡＴ,68,246242,3 - 普通,13 ～ 17,2025年09月,Ｂ１８０ ブルーエフィシェンシー,1600,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 2WD,2012,ＡＴ,81,212055C,4 - きれい,45 ～ 48,2025年09月,,3500,,白,AC NV TV AW SR 革
メルセデス・ベンツ,ＳＬＫ 2WD,2012,ＡＴ,27,172448,5 - すごくきれい,108 ～ 114,2025年09月,,1800,7.11,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラスステーションワゴン 5D 2WD,2012,ＡＴ,19,204249,4 - きれい,25 ～ 29,2025年09月,Ｃ１８０ ブルーエフィシェンシー ステーションワゴン,1800,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｖクラス 5D 2WD,2017,ＣＡＴ,132,447811,3 - 普通,149 ～ 152,2025年09月,Ｖ２２０ｄ トレンド,2200,7.12,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＡクラス 4DHT 2WD,2013,ＣＡＴ,62,117344,4 - きれい,78 ～ 84,2025年09月,ＣＬＡ２５０,2000,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 2WD,2015,ＣＡＴ,27,212036C,5 - すごくきれい,108 ～ 113,2025年09月,,2000,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラスステーションワゴン 5D 2WD,2009,ＡＴ,116,211254C,3 - 普通,22 ～ 25,2025年09月,Ｅ３００ ステーションワゴン,3000,8.7,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｓクラス 4WD,2017,ＡＴ,54,222186,5 - すごくきれい,597 ～ 601,2025年09月,,4000,8.12,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 4D 2WD,2003,ＡＴ,144,211070,3 - 普通,42 ～ 44,2025年09月,Ｅ５００ アバンギャルド,5000,,緑,AC
メルセデス・ベンツ,Ｃクラスステーションワゴン 2WD,2012,ＡＴ,83,204249,5 - すごくきれい,36 ～ 39,2025年09月,,1800,8.1,白,AC NV TV AW 革
メルセデス・ベンツ,Ｅクラス 2WD,2016,ＡＴ,36,212036C,5 - すごくきれい,111 ～ 113,2025年09月,,2000,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2006,ＡＴ,76,169032,3 - 普通,6 ～ 10,2025年09月,Ａ１７０,1700,,,AC
メルセデス・ベンツ,ＣＬＡクラス シューティングブレーク 5D 2WD,2015,ＣＡＴ,61,117942,5 - すごくきれい,77 ～ 81,2025年09月,ＣＬＡ１８０ シューティングブレーク,1600,8.11,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,1996,ＡＴ,148,202023,3 - 普通,26 ～ 30,2025年09月,Ｃ２３０,2300,,,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2014,ＡＴ,122,205042C,4 - きれい,93 ～ 98,2025年09月,Ｃ２００アバンギャルド,2000,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2012,ＣＡＴ,83,176042,3 - 普通,22 ～ 26,2025年09月,Ａ１８０ ブルーエフィシェンシーエディションネクスト,1600,7.11,赤,AC NV TV AW 革
メルセデス・ベンツ,Ｓクラス 4D 2WD,2016,ＣＡＴ,272,222004,3 - 普通,110 ～ 114,2025年09月,Ｓ３００ｈ ＡＭＧライン,2200,8.6,パール,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 2WD,2014,ＡＴ,70,205040C,4 - きれい,119 ～ 125,2025年09月,,1600,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2016,ＡＴ,106,246242,4 - きれい,26 ～ 30,2025年09月,Ｂ１８０,1600,7.11,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 4D 2WD,2006,ＡＴ,142,211054C,4 - きれい,23 ～ 28,2025年09月,Ｅ３００,3000,7.11,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 2WD,2016,ＣＡＴ,77,212036C,5 - すごくきれい,98 ～ 103,2025年09月,,2000,9.2,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2012,ＣＡＴ,73,246242,3 - 普通,14 ～ 18,2025年09月,Ｂ１８０ ブルーエフィシェンシースポーツナイトＰＫＧ,1600,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｓクラス 2WD,2011,ＣＡＴ,117,221171,4 - きれい,61 ～ 65,2025年09月,,5500,8.2,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 2WD,2010,ＡＴ,170,212072,3 - 普通,58 ～ 63,2025年09月,,5500,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラスステーションワゴン 5D 2WD,2011,ＡＴ,138,204248,4 - きれい,24 ～ 26,2025年09月,Ｃ２００ＣＧＩブルーエフィシェンシＷアバンＧ,1800,8.2,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2011,ＡＴ,51,169032,4 - きれい,6 ～ 11,2025年09月,Ａ１８０ エレガンス,1700,,青,AC
メルセデス・ベンツ,Ｅクラス 2WD,2012,ＡＴ,61,212047C,3 - 普通,49 ～ 54,2025年09月,,1800,8.1,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｖクラス 5D 2WD,2009,ＡＴ,41,639350C,3 - 普通,20 ～ 24,2025年09月,Ｖ３５０ トレンド,3500,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2000,ＡＴ,117,202020,-1 - 修復歴あり,22 ～ 28,2025年09月,Ｃ２００セレクション,2000,,シルバー,AC AW SR
メルセデス・ベンツ,Ｂクラス 5D 2WD,2010,ＡＴ,146,245232,3 - 普通,3 ～ 7,2025年09月,Ｂ１８０,1700,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2011,ＡＴ,36,245232,3 - 普通,4 ～ 8,2025年09月,Ｂ１８０ １２５！グランドエディション,1700,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｓクラス 2WD,2015,ＡＴ,157,222057,3 - 普通,106 ～ 110,2025年09月,,3500,9.7,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＡクラス シューティングブレーク 5D 2WD,2017,ＣＡＴ,99,117942,5 - すごくきれい,78 ～ 80,2025年09月,ＣＬＡ１８０ シューティングブレーク,1600,8.10,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2006,ＡＴ,115,169032,-1 - 修復歴あり,4 ～ 7,2025年09月,Ａ１７０,1700,,シルバー,AC
メルセデス・ベンツ,Ｃクラス 2WD,2012,ＡＴ,43,204349,4 - きれい,37 ～ 41,2025年09月,,1800,,グレー,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2011,ＡＴ,52,169032,3 - 普通,6 ～ 8,2025年09月,Ａ１８０,1700,,赤,AC AW SR
メルセデス・ベンツ,Ｍクラス 4WD,2013,ＡＴ,15,166057,5 - すごくきれい,153 ～ 158,2025年09月,,3500,8.10,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 2WD,2015,ＣＡＴ,49,212036C,4 - きれい,80 ～ 85,2025年09月,,2000,8.1,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2004,ＡＴ,100,203046,4 - きれい,12 ～ 16,2025年09月,Ｃ１８０コンプレッサー,1800,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2008,ＡＴ,1001,169032,3 - 普通,4 ～ 10,2025年09月,Ａ１７０,1700,,白,AC
メルセデス・ベンツ,Ｓクラス 2WD,2015,ＡＴ,92,222104,5 - すごくきれい,243 ～ 247,2025年09月,,2200,8.12,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2004,ＡＴ,47,203061,3 - 普通,17 ～ 23,2025年09月,Ｃ２４０,2600,,紺,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,1996,ＡＴ,82,202020,-1 - 修復歴あり,23 ～ 27,2025年09月,Ｃ２００,2000,,グレー,AC NV TV SR 革
メルセデス・ベンツ,Ｇクラス 4WD,2016,ＡＴ,62,463348,5 - すごくきれい,502 ～ 506,2025年09月,,3000,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラスステーションワゴン 5D 2WD,2010,ＡＴ,89,204248,4 - きれい,24 ～ 27,2025年09月,Ｃ２００ＣＧＩブルーエフィシェンシＷアバンＧ,1800,8.9,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラスセダン 4D 2WD,2022,ＣＡＴ,16,177186,5 - すごくきれい,275 ～ 278,2025年09月,Ａ２５０ｅ セダン,1300,,パール,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＣ 5D 4WD,2018,ＣＡＴ,47,253946,4 - きれい,176 ～ 180,2025年09月,ＧＬＣ２５０ ４マチックスポーツ,2000,9.5,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｇクラス 5D 4WD,2023,ＣＡＴ,12,463350,5 - すごくきれい,1334 ～ 1336,2025年09月,Ｇ４００ｄ ＡＭＧライン,3000,8.4,パール,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＳクラス 4D 2WD,2016,ＣＡＴ,157,218301,-1 - 修復歴あり,96 ～ 99,2025年09月,ＣＬＳ２２０ｄ ＡＭＧライン,2200,9.8,黒,AC SR 革
メルセデス・ベンツ,ＧＬＥ 5D 4WD,2022,ＣＡＴ,50,167323,5 - すごくきれい,649 ～ 652,2025年09月,ＧＬＥ４００ｄ ４マチック クーペスポーツ,3000,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｅクラス 4D 2WD,2018,ＣＡＴ,59,213004C,4 - きれい,190 ～ 195,2025年09月,Ｅ２２０ｄ アバンギャルド スポーツ,2000,8.12,白,AC 革
メルセデス・ベンツ,ＧＬクラス 5D 4WD,2011,ＡＴ,125,164886,4 - きれい,106 ～ 110,2025年09月,ＧＬ５５０ ４マチック グランドエディション,5500,9.1,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 4WD,2015,ＣＡＴ,60,176046,5 - すごくきれい,67 ～ 69,2025年09月,Ａ２５０ シュポルト ４マチック,2000,,白,AC SR
メルセデス・ベンツ,ＧＬＣ 5D 4WD,2021,ＣＡＴ,99,253915,5 - すごくきれい,334 ～ 336,2025年09月,ＧＬＣ２２０ｄ ４マチック ＡＭＧライン,2000,,パール,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラスステーションワゴン 5D 2WD,2017,ＣＡＴ,105,205204,4 - きれい,73 ～ 77,2025年09月,Ｃ２２０ｄ ステーションワゴンローレウスエディション,2200,,白,AC SR 革
メルセデス・ベンツ,Ｂクラス 2WD,2013,ＣＡＴ,128,246242,4 - きれい,14 ～ 16,2025年09月,,1600,,白,AC NV TV
メルセデス・ベンツ,ＥＱＳ 5D 2WD,2024,ＣＡＴ,10,297123,5 - すごくきれい,598 ～ 602,2025年09月,ＥＱＳ４５０＋ ＡＭＧラインパッケージ,,9.1,シルバー,000 AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 4WD,2019,ＣＡＴ,49,205078,5 - すごくきれい,209 ～ 215,2025年09月,Ｃ２００ ４マチックアバンギャルド ＡＭＧライン,1500,8.5,パール,AC NV TV AW 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2015,ＣＡＴ,23,205042C,5 - すごくきれい,105 ～ 110,2025年09月,Ｃ２００アバンギャルド,2000,8.2,黒,AC NV TV AW 革
メルセデス・ベンツ,ＣＬＳクラス 4D 2WD,2018,ＡＴ,65,257314,4 - きれい,244 ～ 248,2025年09月,ＣＬＳ２２０ｄ スポーツ エクスクルーシブパッケージ,2000,9.9,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｖクラス 5D 2WD,2022,ＣＡＴ,3,447813N,5 - すごくきれい,646 ～ 649,2025年09月,Ｖ２２０ｄ アバンギャルド ロング ＡＭＧライン,2000,7.12,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2018,ＣＡＴ,60,205014,5 - すごくきれい,214 ～ 219,2025年09月,Ｃ２２０ｄアバンギャルド ＡＭＧライン,2000,,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｓクラス 4D 2WD,2017,ＡＴ,50,222057,5 - すごくきれい,183 ～ 187,2025年09月,Ｓ４００ｈ ＡＭＧライン,3500,8.1,パール,AC NV TV AW 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2019,ＣＡＴ,11,247084,5 - すごくきれい,145 ～ 151,2025年09月,Ｂ１８０,1300,8.12,青,AC NV TV AW 革
メルセデス・ベンツ,ＣＬＳクラス 4D 2WD,2007,ＡＴ,68,219377,4 - きれい,191 ～ 193,2025年09月,ＣＬＳ６３ ＡＭＧ,6300,8.10,グレー,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＣ 5D 4WD,2016,ＡＴ,57,253946C,4 - きれい,143 ～ 149,2025年09月,ＧＬＣ２５０ ４マチックスポーツ,2000,,白,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＡクラス 4DHT 2WD,2018,ＣＡＴ,27,117342,5 - すごくきれい,150 ～ 154,2025年09月,ＣＬＡ１８０ ＡＭＧ スタイル,1600,8.2,グレー,AC NV TV AW SR
メルセデス・ベンツ,Ｃクラス 4D 2WD,2017,ＣＡＴ,81,205004C,4 - きれい,92 ～ 96,2025年09月,Ｃ２２０ｄアバンギャルド,2200,7.12,白,AC NV TV AW SR
メルセデス・ベンツ,Ｇクラス 5D 4WD,2006,ＡＴ,104,463248,4 - きれい,295 ～ 299,2025年09月,Ｇ５００ ロング,5000,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラスセダン 4D 2WD,2020,ＣＡＴ,15,177184,5 - すごくきれい,151 ～ 154,2025年09月,Ａ１８０ スタイルセダン,1300,,パール,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2018,ＣＡＴ,48,205040C,5 - すごくきれい,172 ～ 177,2025年09月,Ｃ１８０ ローレウスエディション,1600,,黒,AC 革
メルセデス・ベンツ,Ｃクラス オープン 2WD,2019,ＡＴ,28,205440,5 - すごくきれい,322 ～ 326,2025年09月,Ｃ１８０カブリオレスポーツレザエクスクルシブパッケジ,1600,7.12,パール,AC NV TV AW 革
メルセデス・ベンツ,Ｃクラス クーペ 2WD,2018,ＣＡＴ,25,205340,5 - すごくきれい,253 ～ 258,2025年09月,,1600,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＥ 5D 4WD,2023,ＣＡＴ,16,167133,5 - すごくきれい,698 ～ 703,2025年09月,ＧＬＥ４５０ｄ ４マチックスポーツ,3000,9.3,赤,AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2016,ＣＡＴ,44,246242,5 - すごくきれい,45 ～ 51,2025年09月,Ｂ１８０,1600,9.6,シルバー,AC
メルセデス・ベンツ,Ｂクラス 5D 2WD,2019,ＣＡＴ,74,247012,3 - 普通,75 ～ 81,2025年09月,Ｂ２００ｄ ＡＭＧライン,2000,,シルバー,AC NV TV
メルセデス・ベンツ,ＧＬＥ 5D 4WD,2018,ＡＴ,63,166024,4 - きれい,300 ～ 302,2025年09月,ＧＬＥ３５０ｄ ４マチックスポーツ,3000,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2015,ＣＡＴ,71,205040C,5 - すごくきれい,167 ～ 171,2025年09月,Ｃ１８０アバンギャルド ＡＭＧライン,1600,8.2,黒,AC NV TV AW 革
メルセデス・ベンツ,Ｓクラス 4D 4WD,2021,ＣＡＴ,13,223176,5 - すごくきれい,825 ～ 827,2025年09月,Ｓ５８０ ４マチックロング,4000,8.10,白,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2018,ＣＡＴ,32,205040C,3 - 普通,157 ～ 162,2025年09月,Ｃ１８０ ローレウスエディション,1600,,パール,AC 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2017,ＣＡＴ,55,205042,5 - すごくきれい,107 ～ 111,2025年09月,Ｃ２００アバンギャルド ＡＭＧライン,2000,,シルバー,AC NV TV AW SR 革
メルセデス・ベンツ,Ａクラス 5D 2WD,2015,ＣＡＴ,68,176042,4 - きれい,62 ～ 65,2025年09月,Ａ１８０,1600,,白,AC AW
メルセデス・ベンツ,ＣＬＳクラス 4D 2WD,2022,ＣＡＴ,43,257314,5 - すごくきれい,356 ～ 360,2025年09月,ＣＬＳ２２０ｄ スポーツ エクスクルーシブパッケージ,2000,,グレー,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＢ 5D 4WD,2021,ＣＡＴ,29,247613M,5 - すごくきれい,339 ～ 344,2025年09月,ＧＬＢ２００ｄ ４マチック,2000,8.8,グレー,AC NV TV AW SR 革
