メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ホンダ,Ｎ－ＷＧＮカスタム 5D 4WD,2018,ＡＴ,JH2,4 - きれい,nan,nan,null年 月,Ｇ ＳＳパッケージII,,,パール,AC NV TV AW SR 革
ホンダ,シャトル 5D 2WD,2016,ＡＴ,122,GP7,3 - 普通,45 ～ 50,2025年09月,ハイブリッドＸ,1500,9.6,黒,AC NV TV AW SR 革
ホンダ,ステップワゴンスパーダ 5D 2WD,2013,ＡＴ,253,RK5,-1 - 修復歴あり,9 ～ 12,2025年09月,Ｚ インターナビセレクション,2000,,シルバー,AC NV TV AW SR 革
ホンダ,ゼスト 5D 2WD,2009,ＡＴ,62,JE1,-1 - 修復歴あり,4 ～ 8,2025年09月,Ｄ,,8.9,グレー,660 AC NV TV AW SR 革
ホンダ,ステップワゴンスパーダ 5D 4WD,2020,ＡＴ,95,RP4,5 - すごくきれい,227 ～ 231,2025年09月,スパーダ ホンダセンシング,1500,,パール,AC NV TV AW SR 革
ホンダ,ライフ 2WD,2007,ＡＴ,58,JB5,3 - 普通,2 ～ 5,2025年09月,,,,シルバー,660 AC NV TV AW 革
ホンダ,ライフ 2WD,2007,ＡＴ,82,JB5,3 - 普通,0 ～ 5,2025年09月,ライトブルー,,,,660 AC NV TV AW 革
ホンダ,フィット 5D 4WD,2020,ＡＴ,119,GR2,4 - きれい,59 ～ 64,2025年09月,ベーシック,1300,,シルバー,AC NV TV AW SR 革
ホンダ,グレイス 4D 2WD,2015,ＡＴ,123,GM4,3 - 普通,37 ～ 42,2025年09月,ハイブリッドＥＸ,1500,,シルバー,AC NV TV AW SR 革
ホンダ,ゼストスパーク 5D 2WD,2010,ＡＴ,182,JE1,-1 - 修復歴あり,4 ～ 6,2025年09月,Ｗ,,9.5,グレー,660 AC NV TV AW SR 革
ホンダ,ステップワゴン 5D 2WD,2008,ＡＴ,118,RG1,3 - 普通,7 ～ 11,2025年09月,Ｇ,2000,,グレー,AC NV TV AW SR 革
ホンダ,ゼストスパーク 5D 2WD,2009,ＡＴ,95,JE1,3 - 普通,3 ～ 7,2025年09月,Ｗターボ,,,黒,660 AC NV TV AW SR 革
ホンダ,フィット 5D 2WD,2008,ＡＴ,104,GE6,-1 - 修復歴あり,8 ～ 10,2025年09月,Ｇ,1300,,シルバー,AC NV TV AW SR 革
ホンダ,ザッツ 5D 2WD,2007,ＣＡＴ,114,JD1,3 - 普通,3 ～ 6,2025年09月,ベースグレード,,,黒,660 AC NV TV AW SR 革
ホンダ,フリード 5D 2WD,2011,ＡＴ,108,GB3,-1 - 修復歴あり,4 ～ 8,2025年09月,Ｇ ジャストセレクション,1500,,黒,AC NV TV AW 革
ホンダ,ストリーム 5D 4WD,2001,ＡＴ,66,RN4,3 - 普通,7 ～ 11,2025年09月,ｉＬ,2000,,シルバー,AC NV TV AW SR 革
ホンダ,ステップワゴンスパーダ 5D 2WD,2013,ＡＴ,175,RK5,-1 - 修復歴あり,8 ～ 14,2025年09月,Ｚ クールスピリット,2000,,黒,AC NV TV AW SR 革
ホンダ,ライフ 5D 2WD,2009,ＡＴ,200,JC1,3 - 普通,0 ～ 4,2025年09月,パステル,,8.5,クリーム,660 AC NV TV AW SR 革
ホンダ,フィットハイブリッド 5D 4WD,2015,ＡＴ,89,GP6,-1 - 修復歴あり,32 ～ 36,2025年09月,Ｌパッケージ,1500,,黒,AC NV TV AW 革
ホンダ,ステップワゴン 5D 4WD,2008,ＡＴ,176,RG2,2 - 修復必要,6 ～ 11,2025年09月,スパーダＳ Ｚ ＨＤＤナビパッケージ,2000,,パープル,AC NV TV AW 革
ホンダ,フリードスパイクハイブリッド 5D 2WD,2012,ＡＴ,148,GP3,3 - 普通,5 ～ 8,2025年09月,ジャストセレクション,1500,,黒,AC NV TV AW 革
ホンダ,フィット 5D 2WD,2012,ＡＴ,192,GE6,3 - 普通,9 ～ 14,2025年09月,１３Ｇ・スマートセレクション ファインスタイル,1300,,黒,AC NV TV AW
ホンダ,フィット 5D 4WD,2013,ＡＴ,106,GE7,3 - 普通,14 ～ 17,2025年09月,１３Ｇ,1300,,白,AC NV TV AW SR 革
ホンダ,フィット 5D 2WD,2023,ＡＴ,16,GR3,5 - すごくきれい,153 ～ 158,2025年09月,ｅ：ＨＥＶホーム,1500,8.6,,AC NV TV AW
ホンダ,ヴェゼル 5D 2WD,2015,ＡＴ,297,RU3,3 - 普通,41 ～ 43,2025年09月,ハイブリッドＺ,1500,,ワイン,AC AW
ホンダ,フリード 5D 2WD,2018,ＡＴ,85,GB5,5 - すごくきれい,122 ～ 124,2025年09月,Ｇ・ホンダセンシング,1500,,黒,AC NV TV AW 革
ホンダ,Ｎ－ＯＮＥ 5D 2WD,2015,ＡＴ,38,JG1,1 - 改造車,30 ～ 34,2025年09月,プレミアム ツアラー・ローダウン,,8.11,,660 AC NV TV AW 革
ホンダ,Ｎ－ＶＡＮ 5D 4WD,2024,ＡＴ,10,JJ2,5 - すごくきれい,111 ～ 113,2025年09月,Ｇ・ホンダセンシング,,8.7,シルバー,660 AC NV TV AW SR 革
ホンダ,ライフ 2WD,2013,ＡＴ,151,JC1,3 - 普通,0 ～ 4,2025年09月,,,,茶,660 AC NV TV AW SR 革
ホンダ,フィット 5D 2WD,2009,ＡＴ,77,GE6,-1 - 修復歴あり,9 ～ 15,2025年09月,Ｌ スマートスタイルエディション,1300,,黒,AC AW
ホンダ,ヴェゼル 5D 2WD,2014,ＡＴ,86,RU1,4 - きれい,124 ～ 129,2025年09月,Ｘ,1500,,黒,AC AW
ホンダ,Ｎ－ＢＯＸカスタム 5D 4WD,2013,ＡＴ,121,JF2,3 - 普通,21 ～ 26,2025年09月,Ｇ ターボＳＳパッケージ,,8.9,パール,660 AC AW
ホンダ,フィット 5D 2WD,2012,ＡＴ,16,GE6,-1 - 修復歴あり,16 ～ 21,2025年09月,１３Ｇ,1300,,シルバー,AC NV TV AW
ホンダ,Ｎ－ＯＮＥ 5D 2WD,2015,ＡＴ,79,JG1,-1 - 修復歴あり,13 ～ 19,2025年09月,プレミアム ＳＳパッケージ,,,,660 AC NV TV AW 革
ホンダ,ライフ 5D 2WD,2003,ＡＴ,1001,JB5,-1 - 修復歴あり,1 ～ 4,2025年09月,Ｆ,,,ベージュ,660 AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸカスタム 5D 2WD,2019,ＡＴ,41,JF3,4 - きれい,107 ～ 109,2025年09月,Ｇ・Ｌターボホンダセンシング,,8.10,パープル,660 AC NV TV AW 革
ホンダ,フリード 5D 2WD,2011,ＡＴ,51,GB3,3 - 普通,24 ～ 29,2025年09月,フレックス エアロ,1500,,黒,AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸ 5D 4WD,2021,ＡＴ,34,JF4,2 - 修復必要,93 ～ 97,2025年09月,ＥＸ・ターボ,,8.8,シルバー,660 AC NV TV AW
ホンダ,ステップワゴンスパーダ 5D 2WD,2014,ＡＴ,182,RK5,-1 - 修復歴あり,20 ～ 23,2025年09月,Ｓ,2000,,パール,AC NV TV AW
ホンダ,フリード 5D 2WD,2020,ＡＴ,28,GB5,5 - すごくきれい,185 ～ 190,2025年09月,Ｇ・ホンダセンシング,1500,,パール,AC NV TV AW 革
ホンダ,ステップワゴン 5D 4WD,2022,ＡＴ,42,RP7,4 - きれい,334 ～ 337,2025年09月,スパーダ プレミアムライン,1500,9.9,黒,AC NV TV AW 革
ホンダ,フィット 5D 4WD,2009,ＡＴ,371,GE7,3 - 普通,2 ～ 6,2025年09月,Ｇ,1300,,シルバー,AC AW
ホンダ,Ｎ－ＢＯＸカスタム 5D 2WD,2016,ＡＴ,59,JF1,4 - きれい,75 ～ 78,2025年09月,Ｇ・Ｌパッケージ,,9.10,パール,660 AC NV TV AW
ホンダ,フィット 5D 2WD,2008,ＡＴ,61,GE6,3 - 普通,11 ～ 15,2025年09月,Ｇ,1300,,シルバー,AC
ホンダ,Ｎ－ＷＧＮ 5D 2WD,2014,ＡＴ,94,JH1,3 - 普通,16 ～ 19,2025年09月,Ｇ・ターボパッケージ,,,シルバー,660 AC NV TV AW
ホンダ,ヴェゼル 5D 2WD,2017,ＡＴ,83,RU3,4 - きれい,73 ～ 77,2025年09月,ハイブリッドＲＳ・ホンダセンシング,1500,,青,AC AW
ホンダ,Ｎ－ＢＯＸ 5D 2WD,2020,ＡＴ,25,JF3,5 - すごくきれい,121 ～ 125,2025年09月,Ｇ・Ｌホンダセンシング,,,,660 AC NV TV AW
ホンダ,モビリオスパイク 5D 2WD,2006,ＡＴ,153,GK1,3 - 普通,5 ～ 9,2025年09月,ＡＵ ＨＤＤナビアクティブエディション,1500,,グレー,AC NV TV AW SR 革
ホンダ,フィットシャトルハイブリッド 5D 2WD,2014,ＡＴ,66,GP2,-1 - 修復歴あり,18 ～ 21,2025年09月,ハイブリッド・スマートセレクションクールエディション,1300,9.4,シルバー,AC NV TV AW 革
ホンダ,Ｎ－ＷＧＮカスタム 5D 4WD,2014,ＡＴ,92,JH2,3 - 普通,34 ～ 36,2025年09月,Ｇ・ターボパッケージ,,,パープル,660 AC NV TV AW
ホンダ,Ｎ－ＷＧＮ 5D 4WD,2023,ＡＴ,14,JH4,5 - すごくきれい,99 ～ 104,2025年09月,Ｌ,,8.1,黒,660 AC NV TV AW 革
ホンダ,フリードスパイク 5D 2WD,2010,ＡＴ,149,GB3,-1 - 修復歴あり,2 ～ 7,2025年09月,ブルーグリーン,1500,,,AC NV TV AW 革
ホンダ,フリード 5D 2WD,2012,ＡＴ,130,GB3,3 - 普通,6 ～ 12,2025年09月,Ｇ ジャストセレクション,1500,,パール,AC NV TV AW 革
ホンダ,ステップワゴンスパーダ 5D 2WD,2015,ＡＴ,67,RP3,4 - きれい,185 ～ 190,2025年09月,スパーダ・クールスピリット,1500,8.6,パール,AC AW
ホンダ,ヴェゼル 5D 2WD,2016,ＡＴ,151,RU3,3 - 普通,85 ～ 89,2025年09月,ハイブリッドＺ・ホンダセンシング,1500,,赤,AC AW
ホンダ,ライフ 5D 2WD,2011,ＡＴ,74,JC1,3 - 普通,9 ～ 15,2025年09月,ディーバスマートスタイル,,8.1,黒,660 AC AW
ホンダ,Ｎ－ＯＮＥ 5D 2WD,2014,ＡＴ,83,JG1,3 - 普通,30 ～ 34,2025年09月,ツアラー ＳＳパッケージ,,,パール,660 AC NV TV AW 革
ホンダ,フリード＋ 5D 2WD,2017,ＡＴ,64,GB5,4 - きれい,100 ～ 103,2025年09月,Ｇ・ホンダセンシング,1500,7.12,赤,AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸ 5D 2WD,2025,ＡＴ,3,JF5,5 - すごくきれい,133 ～ 137,2025年09月,ベースグレード,,9.12,パール,660 AC NV TV AW SR 革
ホンダ,フィットシャトルハイブリッド 5D 2WD,2013,ＡＴ,102,GP2,3 - 普通,17 ～ 21,2025年09月,ハイブリッド・スマートセレクション ファインライン,1300,8.3,,AC AW
ホンダ,オデッセイハイブリッド 5D 2WD,2025,ＡＴ,2,RC5,5 - すごくきれい,385 ～ 389,2025年09月,ｅ：ＨＥＶアブソルート,2000,10.8,パール,AC NV TV AW SR 革
ホンダ,ステップワゴンスパーダ 5D 2WD,2016,ＡＴ,119,RP3,4 - きれい,180 ～ 183,2025年09月,スパーダ・クールスピリット ホンダセンシング,1500,,パール,AC AW
ホンダ,Ｎ－ＢＯＸカスタム 5D 4WD,2016,ＡＴ,172,JF2,-1 - 修復歴あり,13 ～ 16,2025年09月,Ｇ ＳＳブラックスタイルパッケージ,,,黒,660 AC NV TV AW
ホンダ,フィットシャトルハイブリッド 5D 2WD,2013,ＡＴ,167,GP2,3 - 普通,5 ～ 8,2025年09月,ハイブリッド,1300,,黒,AC AW
ホンダ,ゼストスパーク 5D 4WD,2010,ＡＴ,108,JE2,3 - 普通,11 ～ 16,2025年09月,Ｗターボ,,,黒,660 AC AW
ホンダ,フィット 5D 2WD,2011,ＡＴ,55,GE6,-1 - 修復歴あり,11 ～ 13,2025年09月,Ｇ,1300,,黒,AC NV TV AW SR
ホンダ,フリード＋ 5D 2WD,2016,ＡＴ,175,GB5,3 - 普通,35 ～ 39,2025年09月,Ｇ・ホンダセンシング,1500,,シルバー,AC NV TV
ホンダ,ステップワゴン 5D 4WD,2010,ＡＴ,185,RK2,3 - 普通,7 ～ 9,2025年09月,Ｇ Ｌパッケージ,2000,,黒,AC
ホンダ,フィットハイブリッド 5D 2WD,2018,ＡＴ,26,GP5,3 - 普通,104 ～ 109,2025年09月,ハイブリッド・モデューロスタイル ホンダセンシング,1500,,パール,AC NV TV AW 革
ホンダ,グレイス 4D 2WD,2014,ＡＴ,46,GM4,3 - 普通,40 ～ 44,2025年09月,ハイブリッドＥＸ,1500,,茶,AC NV TV AW
ホンダ,バモス 5D 2WD,2007,５ＭＴ,101,HM1,-1 - 修復歴あり,4 ～ 8,2025年09月,Ｌローダウン,,,パール,660 AC AW
ホンダ,Ｎ－ＢＯＸカスタム 5D 2WD,2022,ＡＴ,18,JF3,5 - すごくきれい,124 ～ 129,2025年09月,Ｌ,,,黒,660 AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸ 5D 4WD,2018,ＡＴ,97,JF4,3 - 普通,34 ～ 39,2025年09月,Ｇ・ＥＸホンダセンシング,,,,660 AC NV TV AW
ホンダ,モビリオスパイク 2WD,2005,ＡＴ,62,GK1,3 - 普通,9 ～ 13,2025年09月,,1500,8.12,グレー,AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸ 5D 2WD,2025,ＡＴ,1,JF5,5 - すごくきれい,123 ～ 128,2025年09月,ベースグレード,,9.3,パープル,660 AC NV TV AW 革
ホンダ,ステップワゴン 5D 2WD,2009,ＡＴ,100,RG1,3 - 普通,14 ～ 17,2025年09月,スパーダＳ ＨＤＤナビ スマートスタイルＥＤ,2000,8.6,パール,AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸ 5D 2WD,2020,ＡＴ,32,JF3,3 - 普通,81 ～ 85,2025年09月,Ｇ・Ｌホンダセンシング,,,黒,660 AC NV TV AW
ホンダ,フリード 5D 2WD,2012,ＡＴ,116,GB3,3 - 普通,19 ～ 25,2025年09月,Ｇ ジャストセレクション,1500,,黒,AC NV TV AW 革
ホンダ,フリードスパイク 5D 2WD,2010,ＡＴ,167,GB3,3 - 普通,3 ～ 8,2025年09月,Ｇ エアロ,1500,,パール,AC NV TV AW 革
ホンダ,Ｎ－ＷＧＮ 5D 4WD,2020,ＡＴ,51,JH4,4 - きれい,78 ～ 81,2025年09月,Ｌホンダセンシング,,,緑,660 AC NV TV AW 革
ホンダ,フィット 5D 2WD,2022,ＡＴ,20,GR3,5 - すごくきれい,138 ～ 143,2025年09月,ｅ：ＨＥＶホーム,1500,,赤,AC NV TV AW
ホンダ,フリード 5D 2WD,2008,ＡＴ,115,GB3,-1 - 修復歴あり,8 ～ 14,2025年09月,Ｇ Ｌパッケージ,1500,,グレー,AC NV TV AW 革
ホンダ,フリードハイブリッド 5D 2WD,2020,ＡＴ,51,GB7,4 - きれい,176 ～ 180,2025年09月,ハイブリッド・クロスターホンダセンシング,1500,,グレー,AC NV TV AW 革
ホンダ,ヴェゼル 5D 2WD,2018,ＡＴ,50,RU3,4 - きれい,136 ～ 140,2025年09月,ハイブリッドＺ・ホンダセンシング,1500,9.8,赤,AC NV TV AW
ホンダ,フリード 5D 2WD,2024,ＡＴ,2,GT1,5 - すごくきれい,227 ～ 230,2025年09月,エアー ＥＸ,1500,9.5,グレー,AC NV TV AW 革
ホンダ,モビリオスパイク 5D 2WD,2007,ＡＴ,94,GK1,2 - 修復必要,8 ～ 13,2025年09月,Ｗ アクティブエディション,1500,8.11,グレー,AC NV TV AW 革
ホンダ,Ｎ－ＶＡＮ 5D 4WD,2025,ＡＴ,2,JJ2,5 - すごくきれい,147 ～ 151,2025年09月,ファン,,9.12,黒,660 AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸカスタム 5D 4WD,2025,ＡＴ,2,JF6,5 - すごくきれい,165 ～ 168,2025年09月,ベースグレード,,10.8,黒,660 AC NV TV AW 革
ホンダ,フィット 5D 2WD,2017,ＡＴ,57,GK3,3 - 普通,43 ～ 46,2025年09月,１３Ｇ・Ｆ,1300,9.3,黒,AC NV TV AW SR
ホンダ,ステップワゴン 5D 2WD,2006,ＡＴ,171,RG1,3 - 普通,7 ～ 12,2025年09月,Ｇ スタイルエディション,2000,,シルバー,AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸカスタム 5D 2WD,2013,ＡＴ,56,JF1,-1 - 修復歴あり,18 ～ 21,2025年09月,Ｇ・Ｌパッケージ,,,グレー,660 AC AW
ホンダ,ステップワゴンスパーダ 5D 2WD,2018,ＡＴ,51,RP3,-1 - 修復歴あり,225 ～ 230,2025年09月,スパーダ・クールスピリット ホンダセンシング,1500,,パール,AC NV TV AW
ホンダ,シビック 5D 2WD,2025,６ＭＴ,2,FL1,5 - すごくきれい,342 ～ 346,2025年09月,ＲＳ,1500,10.9,グレー,AC NV TV AW SR 革
ホンダ,バモス 5D 4WD,2004,ＡＴ,76,HM2,2 - 修復必要,0 ～ 5,2025年09月,Ｌ,,,パール,660 AC AW
ホンダ,エディックス 5D 2WD,2006,ＡＴ,132,BE3,3 - 普通,9 ～ 13,2025年09月,ＨＤＤナビエディション,2000,,黒,AC NV TV AW SR 革
ホンダ,Ｎ－ＢＯＸカスタム 5D 2WD,2019,ＡＴ,58,JF3,4 - きれい,86 ～ 90,2025年09月,Ｇ・Ｌホンダセンシング,,7.12,パープル,660 AC NV TV AW 革
ホンダ,ジェイド 5D 2WD,2015,ＡＴ,113,FR4,3 - 普通,37 ～ 43,2025年09月,ハイブリッドＸ,1500,,パール,AC NV TV AW 革
ホンダ,Ｎ－ＢＯＸカスタム 5D 2WD,2013,ＡＴ,193,JF1,3 - 普通,11 ～ 16,2025年09月,Ｇ・Ｌパッケージ,,,パール,660 AC AW
ホンダ,モビリオ 5D 2WD,2002,ＡＴ,168,GB1,2 - 修復必要,4 ～ 8,2025年09月,Ｗ,1500,,パール,AC NV TV AW 革
ホンダ,ステップワゴンスパーダ 5D 4WD,2020,ＡＴ,81,RP4,4 - きれい,257 ～ 261,2025年09月,スパーダ・クールスピリット ホンダセンシング,1500,,パール,AC AW
ホンダ,ステップワゴンスパーダ 5D 4WD,2011,ＡＴ,137,RK6,-1 - 修復歴あり,8 ～ 11,2025年09月,Ｚ,2000,,シルバー,AC NV TV AW
ホンダ,フリード 5D 2WD,2009,ＡＴ,136,GB3,3 - 普通,5 ～ 10,2025年09月,Ｇ Ｌパッケージ,1500,,黒,AC NV TV AW 革
