メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,,,,排気量
ポルシェ,カイエン 5D 4WD,2011,ＡＴ,50,92ACGE,4 - きれい,119 ～ 121,2025年09月,Ｓ ハイブリッド,3000,,白,AC NV TV AW SR 革
ポルシェ,カイエン 5D 4WD,2010,ＡＴ,158,92AM5502,3 - 普通,67 ～ 72,2025年09月,ベースグレード,3600,8.1,黒,AC SR 革
ポルシェ,７１８スパイダー オープン 2WD,2022,ＡＴ,12,982L40,5 - すごくきれい,1146 ～ 1150,2025年09月,７１８スパイダー,4000,9.6,白,AC NV TV AW SR 革
ポルシェ,マカン 5D 4WD,2018,ＡＴ,91,J1H2,5 - すごくきれい,239 ～ 242,2025年09月,マカンＧＴＳ,3000,9.3,黒,AC NV TV AW SR 革
ポルシェ,カイエン 5D 4WD,2008,ＡＴ,116,9PAM5501,4 - きれい,40 ～ 43,2025年09月,ベースグレード,3600,,黒,AC SR 革
ポルシェ,マカン 5D 4WD,2016,ＡＴ,42,95BCTM,5 - すごくきれい,226 ～ 230,2025年09月,マカンＳ,3000,9.3,パール,AC NV TV AW SR 革
ポルシェ,マカン 5D 4WD,2018,ＡＴ,51,J1H1,5 - すごくきれい,248 ～ 251,2025年09月,マカン,2000,8.3,パール,AC NV TV AW SR 革
ポルシェ,マカン 5D 4WD,2016,ＡＴ,151,95BCNCA,3 - 普通,87 ～ 90,2025年09月,マカン,2000,,紺,AC NV TV AW SR 革
ポルシェ,ボクスター オープン 2WD,1998,ＡＴ,169,986K,3 - 普通,31 ～ 33,2025年09月,ボクスター,2500,,シルバー,AC NV TV AW SR 革
ポルシェ,マカン 5D 4WD,2017,ＡＴ,47,5 - すごくきれい,475 ～ 478,nan,2025年09月,マカンＧＴＳ,3000,7.11,黒,AC NV TV AW SR
ポルシェ,ボクスター オープン 2WD,2012,ＡＴ,28,981MA122,3 - 普通,252 ～ 257,2025年09月,ボクスター,2700,,茶,AC NV TV AW SR 革
ポルシェ,マカン 5D 4WD,2019,ＡＴ,17,J1K30,5 - すごくきれい,434 ～ 440,2025年09月,マカンＳ,3000,8.2,青,AC NV TV AW SR 革
ポルシェ,カイエン 5D 4WD,2009,ＡＴ,95,9PAM5501,5 - すごくきれい,43 ～ 48,2025年09月,ベースグレード,3600,8.8,黒,AC NV TV AW SR 革
ポルシェ,マカン 5D 4WD,2018,ＡＴ,67,95BCTM,4 - きれい,237 ～ 240,2025年09月,マカンＳ,3000,9.8,白,AC NV TV AW SR 革
ポルシェ,９１１ クーペ 2WD,1978,５ＭＴ,109,3 - 普通,651 ～ 656,nan,2025年09月,９１１ＳＣ,3000,,赤,AC NV TV AW 革
ポルシェ,７１８ボクスター オープン 2WD,2016,ＡＴ,71,982H1,5 - すごくきれい,347 ～ 349,2025年09月,７１８ボクスター,2000,,白,AC NV TV AW SR 革
ポルシェ,カイエン 5D 4WD,2013,ＡＴ,120,9PAM4801,3 - 普通,46 ～ 49,2025年09月,Ｓ,4800,,黒,AC AW
ポルシェ,マカン 5D 4WD,2016,ＡＴ,68,J1H1,5 - すごくきれい,198 ～ 202,2025年09月,マカン,2000,7.11,白,AC NV TV AW SR 革
ポルシェ,９１１ クーペ 4WD,2006,ＡＴ,55,99705,5 - すごくきれい,384 ～ 389,2025年09月,９１１カレラ４,3600,7.9,シルバー,AC NV TV AW 革
ポルシェ,９１１ クーペ 2WD,2017,ＡＴ,50,991H1,5 - すごくきれい,703 ～ 705,2025年09月,９１１カレラ,3000,8.11,パール,AC NV TV AW SR 革
ポルシェ,カイエン 5D 4WD,2008,ＡＴ,73,9PAM5501,4 - きれい,31 ～ 36,2025年09月,ベースグレード,3600,,黒,AC AW 革
ポルシェ,カイエン 5D 4WD,2009,ＡＴ,63,9PAM4851A,3 - 普通,114 ～ 117,2025年09月,ターボ,4800,8.5,白,AC AW
