メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
リンカーン,リンカーンＭＫＸ 5D 4WD,2012,ＡＴ,99,4 - きれい,29 ～ 31,nan,2025年09月,ベースグレード,3700,,黒,AC NV TV AW SR 革
リンカーン,リンカーンナビゲーター 5D 4WD,2008,ＡＴ,108,4 - きれい,42 ～ 46,nan,2025年09月,ベースグレード,5400,,パール,AC NV TV AW SR 革
リンカーン,リンカーンナビゲーター 5D 4WD,2008,ＡＴ,107,4 - きれい,74 ～ 78,nan,2025年09月,アルティメイト,5400,8.5,パール,AC NV TV AW SR 革
リンカーン,リンカーンＭＫＸ 5D 2WD,2010,ＡＴ,120,-1 - 修復歴あり,16 ～ 20,nan,2025年09月,ベースグレード,3500,,,AC NV TV
リンカーン,リンカーン・マークＶＩＩＩ クーペ 2WD,1993,ＡＴ,55,L90V,4 - きれい,35 ～ 38,2025年09月,ベースグレード,4600,,紺,AC NV TV AW SR 革
リンカーン,リンカーンＭＫＸ 5D 4WD,2012,ＡＴ,30,4 - きれい,74 ～ 76,nan,2025年09月,ベースグレード,3700,,,AC
リンカーン,リンカーンナビゲーター 5D 2WD,2008,ＡＴ,152,3 - 普通,26 ～ 28,nan,2025年09月,ベースグレード,5400,8.1,パール,AC NV TV AW 革
リンカーン,リンカーン・タウンカー 2WD,2003,ＣＡＴ,72,1LNWM82,3 - 普通,16 ～ 18,2025年09月,,4600,,白,AC NV TV AW SR 革
リンカーン,リンカーンＭＫＸ 5D 4WD,2009,ＡＴ,82,4 - きれい,26 ～ 30,nan,2025年08月,ベースグレード,3500,,黒,AC AW SR 革
リンカーン,リンカーンナビゲーター 5D 2WD,2006,ＡＴ,107,3 - 普通,10 ～ 14,nan,2025年08月,ベースグレード,5400,,黒,AC AW SR 革
