メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
レクサス,ＬＳ 4D 2WD,2013,ＡＴ,156,USF41,3 - 普通,78 ～ 83,2025年09月,ＬＳ４６０Ｌ エグゼクティブパッケージ,4600,8.12,シルバー,AC NV TV AW SR 革
レクサス,ＧＳ 4D 2WD,2017,ＡＴ,61,AWL10,4 - きれい,174 ～ 178,2025年09月,ＧＳ３００ｈ,2500,,黒,AC NV TV AW SR 革
レクサス,ＩＳ 2WD,2006,ＡＴ,997,GSE20,3 - 普通,18 ～ 21,2025年09月,青II,2500,,,AC NV TV AW 革
レクサス,ＬＳ 4D 2WD,2006,ＡＴ,101,USF40,-1 - 修復歴あり,31 ～ 35,2025年09月,ＬＳ４６０,4600,,パール,AC NV TV AW
レクサス,ＮＸ 5D 2WD,2023,ＡＴ,7,AAZA20,5 - すごくきれい,425 ～ 431,2025年09月,ＮＸ２５０,2500,8.10,パール,AC NV TV AW SR 革
レクサス,ＩＳ 4D 2WD,2010,ＡＴ,217,GSE20,-1 - 修復歴あり,29 ～ 33,2025年09月,ＩＳ２５０,2500,,パール,AC NV TV AW SR 革
レクサス,ＬＸ 5D 4WD,2023,ＡＴ,6,VJA310W,5 - すごくきれい,1264 ～ 1268,2025年09月,ＬＸ６００,3500,9.1,グレー,AC NV TV AW SR 革
レクサス,ＵＸ 5D 2WD,2018,ＡＴ,23,MZAH10,5 - すごくきれい,310 ～ 312,2025年09月,ＵＸ２５０ｈ Ｆスポーツ,2000,,黒,AC NV TV AW 革
レクサス,ＩＳ 4D 2WD,2006,ＡＴ,156,GSE20,-1 - 修復歴あり,25 ～ 29,2025年09月,ＩＳ２５０ バージョンＳ,2500,,シルバー,AC NV TV AW SR 革
レクサス,ＩＳ 4D 2WD,2010,ＡＴ,187,GSE20,3 - 普通,31 ～ 33,2025年09月,ＩＳ２５０ バージョンＬ,2500,,黒,AC NV TV AW SR 革
レクサス,ＮＸ 5D 2WD,2018,ＡＴ,31,AGZ10,5 - すごくきれい,272 ～ 274,2025年09月,ＮＸ３００ Ｉパッケージ,2000,,黒,AC NV TV AW SR 革
レクサス,ＲＸ 4WD,2024,ＡＴ,5,TALA15,5 - すごくきれい,674 ～ 676,2025年09月,,2400,9.7,パール,AC NV TV AW SR 革
レクサス,ＮＸ 5D 2WD,2025,ＡＴ,4,AAZH20,5 - すごくきれい,615 ～ 620,2025年09月,ＮＸ３５０ｈ Ｆスポーツ,2500,10.4,パール,AC NV TV AW SR 革
レクサス,ＲＸ 5D 4WD,2023,ＡＴ,37,AALH16,3 - 普通,588 ～ 592,2025年09月,ＲＸ４５０ｈ＋ バージョンＬ,2500,,パール,AC NV TV AW SR 革
レクサス,ＲＸ 5D 4WD,2015,ＡＴ,71,GYL25W,-1 - 修復歴あり,248 ～ 253,2025年09月,ＲＸ４５０ｈ Ｆスポーツ,3500,8.10,黒,AC NV TV AW 革
レクサス,ＲＸ 5D 4WD,2023,ＡＴ,42,TALH17,4 - きれい,650 ～ 653,2025年09月,ＲＸ５００ｈ Ｆスポーツパフォーマンス,2400,8.3,パール,AC NV TV AW SR 革
レクサス,ＲＸ 5D 4WD,2023,ＡＴ,6,TALA15,5 - すごくきれい,734 ～ 738,2025年09月,ＲＸ３５０ Ｆスポーツ,2400,8.3,パール,AC NV TV AW SR 革
レクサス,ＮＸ 5D 2WD,2024,ＡＴ,13,AAZH20,5 - すごくきれい,469 ～ 473,2025年09月,ＮＸ３５０ｈ,2500,9.2,黒,AC NV TV AW SR 革
レクサス,ＲＸ 5D 2WD,2019,ＡＴ,38,AGL20W,5 - すごくきれい,378 ～ 382,2025年09月,ＲＸ３００ Ｆスポーツ,2000,,黒,AC NV TV AW 革
レクサス,ＮＸ 5D 2WD,2018,ＡＴ,100,AYZ10,4 - きれい,200 ～ 202,2025年09月,ＮＸ３００ｈ Ｉパッケージ,2500,7.11,黒,AC NV TV AW SR 革
レクサス,ＮＸ 5D 4WD,2022,ＡＴ,26,AAZH26,5 - すごくきれい,520 ～ 523,2025年09月,ＮＸ４５０ｈ＋ Ｆスポーツ,2500,,黒,AC NV TV AW SR 革
レクサス,ＮＸ 5D 2WD,2015,ＡＴ,50,AGZ10,4 - きれい,138 ～ 143,2025年09月,ＮＸ２００ｔ,2000,,赤,AC NV TV AW SR 革
レクサス,ＲＸ 5D 4WD,2016,ＡＴ,89,GYL25W,4 - きれい,259 ～ 263,2025年09月,ＲＸ４５０ｈ バージョンＬ,3500,9.4,黒,AC NV TV AW 革
