メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ロータス,エキシージ オープン 2WD,2015,ＡＴ,69,5 - すごくきれい,408 ～ 412,nan,2025年09月,Ｓロードスター,3500,8.1,ワイン,AC NV TV AW SR 革
ロータス,エキシージ クーペ 2WD,2014,６ＭＴ,3,5 - すごくきれい,723 ～ 728,nan,2025年09月,Ｓ,3500,7.7,黄,AC NV TV AW SR 革
ロータス,エリーゼ オープン 2WD,2005,５ＭＴ,46,111,5 - すごくきれい,323 ～ 327,2025年09月,111,1800,7.9,黒,AC NV TV AW SR 革
ロータス,エリーゼ 2WD,2013,６ＭＴ,54,1117,5 - すごくきれい,347 ～ 351,2025年09月,,1800,8.11,シルバー,AC NV TV AW SR 革
ロータス,エリーゼ 2WD,2013,６ＭＴ,55,1117,5 - すごくきれい,346 ～ 352,2025年09月,,1800,9.3,シルバー,AC NV TV AW SR 革
ロータス,エリーゼ 2WD,2013,６ＭＴ,58,1117,5 - すごくきれい,346 ～ 352,2025年09月,,1800,9.3,シルバー,AC NV TV AW SR 革
ロータス,エキシージ クーペ 2WD,2015,６ＭＴ,22,5 - すごくきれい,626 ～ 632,nan,2025年09月,Ｓ,3500,9.4,赤,AC NV TV AW 革
ロータス,エキシージ オープン 2WD,2015,ＡＴ,66,5 - すごくきれい,387 ～ 392,nan,2025年09月,Ｓロードスター,3500,8.1,赤,AC NV TV AW SR 革
ロータス,エリーゼ 2WD,2008,６ＭＴ,998,1117,3 - 普通,208 ～ 212,2025年09月,,1800,,シルバー,AC NV TV AW 革
ロータス,エリーゼ 2WD,2008,６ＭＴ,997,1117,3 - 普通,210 ～ 212,2025年09月,,1800,,シルバー,AC NV TV AW 革
ロータス,エリーゼ 2WD,2008,６ＭＴ,997,1117,3 - 普通,208 ～ 212,2025年09月,,1800,,シルバー,AC NV TV AW 革
ロータス,エリーゼ オープン 2WD,2005,６ＭＴ,50,1117,5 - すごくきれい,379 ～ 383,2025年08月,Ｒ,1800,8.2,白,AC NV TV AW SR 革
ロータス,エリーゼ オープン 2WD,2005,６ＭＴ,44,1117,5 - すごくきれい,379 ～ 382,2025年08月,,1800,8.6,白,AC NV TV AW SR 革
ロータス,エミーラ クーペ 2WD,2023,６ＭＴ,1,5 - すごくきれい,765 ～ 768,nan,2025年08月,Ｖ６ ファーストエディション,3500,,青,AC NV TV AW SR 革
ロータス,エリーゼ オープン 2WD,2003,５ＭＴ,90,111,4 - きれい,206 ～ 212,2025年08月,111,1800,8.8,シルバー,AC AW 革
ロータス,エリーゼ 2WD,2005,５ＭＴ,42,111,4 - きれい,268 ～ 272,2025年08月,,1800,,赤,AC
ロータス,エミーラ クーペ 2WD,2024,ＡＴ,3,5 - すごくきれい,898 ～ 902,nan,2025年07月,ファーストエディション,2000,9.9,青,AC AW 革
