メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
日野,デュトロ 2D 2WD,2001,５ＭＴ,997,XZU312T,3 - 普通,59 ～ 65,2025年09月,ダンプ,4600,,白,AC
日野,ヒノレンジャー 2D 2WD,2011,６ＭＴ,114,3 - 普通,221 ～ 227,nan,2025年09月,ベースグレード,6400,,白,AC
日野,デュトロ 2D 2WD,2017,ＡＴ,25,4 - きれい,199 ～ 205,nan,2025年09月,ベースグレード,4000,7.9,白,AC
日野,デュトロ 2WD,2011,ＡＴ,21,XZU334M,4 - きれい,63 ～ 66,2025年09月,,4000,,赤,AC
日野,リエッセＩＩ 1D 2WD,2012,ＡＴ,116,XZB50M,4 - きれい,110 ～ 113,2025年09月,幼児専用車,4000,,黄,AC NV TV
日野,ヒノレンジャー 2D 2WD,2012,６ＭＴ,125,3 - 普通,183 ～ 187,nan,2025年09月,ダンプ,5100,,白,AC
日野,デュトロ 2D 2WD,2012,ＡＴ,116,XZU605M,4 - きれい,169 ～ 172,2025年09月,ベースグレード,4000,8.12,白,AC
日野,リエッセ 2WD,1997,ＡＴ,204,RX4JFAA,3 - 普通,234 ～ 238,2025年09月,グレーII,5300,9.4,,AC NV TV
日野,デュトロ 2WD,2012,５ＭＴ,109,XZC710M,3 - 普通,134 ～ 140,2025年09月,,4000,,白,AC
日野,デュトロ 2D 2WD,2019,６ＭＴ,19,5 - すごくきれい,285 ～ 290,nan,2025年09月,ベースグレード,4000,8.7,白,AC NV TV
日野,ヒノレンジャー 2D 2WD,1996,６ＭＴ,165,FD2JLBA,-1 - 修復歴あり,210 ～ 213,2025年09月,ベースグレード,8000,,パープル,AC
日野,ヒノレンジャー 2D 2WD,2020,６ＭＴ,45,4 - きれい,379 ～ 385,nan,2025年09月,ダンプ,5100,,白,AC NV TV
日野,デュトロ 2WD,2012,５ＭＴ,119,XZC710M,3 - 普通,93 ～ 98,2025年09月,,4000,,白,AC
日野,デュトロ 2WD,2012,５ＭＴ,148,XZC710M,3 - 普通,94 ～ 96,2025年09月,,4000,,白,AC
日野,デュトロ 2WD,2013,５ＭＴ,128,XZU620T,3 - 普通,135 ～ 139,2025年09月,,4000,,白,AC
日野,ヒノレンジャー 2D 2WD,1997,６ＭＴ,571,3 - 普通,138 ～ 141,nan,2025年09月,ベースグレード,8000,8.3,,AC
日野,ヒノレンジャー 2WD,2013,６ＭＴ,100,3 - 普通,141 ～ 145,nan,2025年09月,,,,白,000 AC
日野,ヒノレンジャー 2D 2WD,2005,６ＭＴ,511,3 - 普通,78 ～ 81,nan,2025年09月,ベースグレード,6400,,,AC
日野,ヒノレンジャー 2WD,2004,６ＭＴ,997,2 - 修復必要,119 ～ 125,nan,2025年09月,,,,,000 AC
日野,デュトロ 2WD,2011,６ＭＴ,379,XZU414M,3 - 普通,85 ～ 88,2025年09月,,4000,,,AC
日野,デュトロ 2D 2WD,2005,ＡＴ,118,XZU351T,3 - 普通,61 ～ 65,2025年09月,ダンプ,4900,7.7,赤,AC
日野,デュトロ 2WD,2007,５ＭＴ,52,3 - 普通,44 ～ 49,nan,2025年09月,,,,,000 AC
日野,デュトロ 2WD,2006,６ＭＴ,391,XZU424M,3 - 普通,116 ～ 118,2025年09月,,4000,,白,AC
日野,デュトロ 2D 2WD,2015,６ＭＴ,170,3 - 普通,111 ～ 116,nan,2025年09月,ベースグレード,4000,,,AC
日野,デュトロ 2WD,2009,５ＭＴ,1001,XZU334M,3 - 普通,141 ～ 144,2025年09月,,4000,,白,AC
日野,ヒノレンジャー 2D 2WD,2013,６ＭＴ,99,FC9JCAP,3 - 普通,133 ～ 137,2025年09月,ダンプ,5100,,白,AC
日野,デュトロ 2WD,2003,５ＭＴ,450,XZU347M,-1 - 修復歴あり,96 ～ 101,2025年09月,,4600,,青,AC
日野,ヒノレンジャー 2WD,2005,６ＭＴ,146,3 - 普通,80 ～ 84,nan,2025年09月,,4700,,白,AC
日野,デュトロ 2D 2WD,2003,５ＭＴ,490,XZU307M,3 - 普通,75 ～ 78,2025年09月,ベースグレード,4600,,白,AC
日野,デュトロ 2D 2WD,2004,５ＭＴ,263,XZU346M,-1 - 修復歴あり,28 ～ 34,2025年09月,ベースグレード,4900,,,AC
日野,デュトロ 2WD,2005,５ＭＴ,224,XZU354T,3 - 普通,61 ～ 63,2025年09月,,4000,,白,AC
日野,デュトロ 2WD,2005,５ＭＴ,996,XZU414M,-1 - 修復歴あり,69 ～ 71,2025年09月,,4000,7.11,白,AC
日野,デュトロ 2D 2WD,2002,５ＭＴ,534,XZU307M,3 - 普通,43 ～ 45,2025年09月,ベースグレード,4600,,白,AC
